PRCP       063005 19080701 20180131 missing_value=99999.9 BATHURST AGRICULTURAL STATION             
19080701 19080731    21.7
19080801 19080831    36.5
19080901 19080930    49.3
19081001 19081031    14.7
19081101 19081130    43.2
19081201 19081231    21.1
19090101 19090131    80.6
19090201 19090228    73.5
19090301 19090331    38.6
19090401 19090430    39.5
19090501 19090531    13.8
19090601 19090630    57.5
19090701 19090731     9.0
19090801 19090831    46.9
19090901 19090930    70.3
19091001 19091031    44.2
19091101 19091130    30.8
19091201 19091231    54.2
19100101 19100131   181.9
19100201 19100228    14.8
19100301 19100331    65.4
19100401 19100430    12.7
19100501 19100531    29.7
19100601 19100630    54.4
19100701 19100731    33.5
19100801 19100831    13.7
19100901 19100930    33.0
19101001 19101031    54.6
19101101 19101130    13.0
19101201 19101231    64.5
19110101 19110131    96.9
19110201 19110228    69.0
19110301 19110331    38.0
19110401 19110430     8.6
19110501 19110531    41.7
19110601 19110630    28.7
19110701 19110731    41.3
19110801 19110831    17.8
19110901 19110930    46.4
19111001 19111031    39.3
19111101 19111130    95.0
19111201 19111231    99.3
19120101 19120131    38.1
19120201 19120229    24.4
19120301 19120331     3.6
19120401 19120430     3.6
19120501 19120531     1.6
19120601 19120630    67.3
19120701 19120731   114.8
19120801 19120831    77.7
19120901 19120930    22.2
19121001 19121031    48.0
19121101 19121130    25.5
19121201 19121231     8.5
19130101 19130131    41.1
19130201 19130228    20.4
19130301 19130331    76.0
19130401 19130430    61.3
19130501 19130531    71.0
19130601 19130630    46.2
19130701 19130731    18.8
19130801 19130831    19.1
19130901 19130930    40.3
19131001 19131031    79.5
19131101 19131130    10.7
19131201 19131231    19.0
19140101 19140131    34.1
19140201 19140228    32.0
19140301 19140331   113.4
19140401 19140430    39.2
19140501 19140531    46.6
19140601 19140630    22.1
19140701 19140731    51.1
19140801 19140831     1.4
19140901 19140930    29.2
19141001 19141031    57.7
19141101 19141130    87.9
19141201 19141231    57.7
19150101 19150131     6.7
19150201 19150228    27.3
19150301 19150331    58.0
19150401 19150430    12.9
19150501 19150531    73.5
19150601 19150630    59.5
19150701 19150731    62.5
19150801 19150831    43.8
19150901 19150930    42.1
19151001 19151031    53.9
19151101 19151130     0.8
19151201 19151231    42.4
19160101 19160131    36.1
19160201 19160229    40.7
19160301 19160331    24.1
19160401 19160430    57.9
19160501 19160531    14.5
19160601 19160630   193.1
19160701 19160731    91.7
19160801 19160831    99.3
19160901 19160930    39.2
19161001 19161031    84.2
19161101 19161130    70.3
19161201 19161231   152.8
19170101 19170131    42.6
19170201 19170228    76.5
19170301 19170331    16.5
19170401 19170430    19.9
19170501 19170531    27.8
19170601 19170630    46.8
19170701 19170731    66.3
19170801 19170831    91.0
19170901 19170930    50.0
19171001 19171031    89.7
19171101 19171130   132.3
19171201 19171231    55.9
19180101 19180131   104.3
19180201 19180228    25.2
19180301 19180331    13.9
19180401 19180430    36.5
19180501 19180531    21.7
19180601 19180630    29.9
19180701 19180731    47.9
19180801 19180831    92.9
19180901 19180930    15.7
19181001 19181031    49.2
19181101 19181130    22.5
19181201 19181231    12.0
19190101 19190131    15.1
19190201 19190228    41.4
19190301 19190331    14.0
19190401 19190430    10.7
19190501 19190531    69.3
19190601 19190630    15.7
19190701 19190731     9.5
19190801 19190831    31.6
19190901 19190930    40.5
19191001 19191031    13.3
19191101 19191130    17.7
19191201 19191231    68.3
19200101 19200131    69.1
19200201 19200229     4.6
19200301 19200331    29.5
19200401 19200430    15.6
19200501 19200531    19.9
19200601 19200630   103.0
19200701 19200731   119.9
19200801 19200831    89.0
19200901 19200930    47.6
19201001 19201031    27.0
19201101 19201130    37.8
19201201 19201231   139.2
19210101 19210131    55.7
19210201 19210228    66.8
19210301 19210331    66.8
19210401 19210430    97.9
19210501 19210531   101.7
19210601 19210630    71.2
19210701 19210731    68.1
19210801 19210831    59.8
19210901 19210930    38.4
19211001 19211031    46.5
19211101 19211130    81.9
19211201 19211231   152.0
19220101 19220131    36.6
19220201 19220228    52.5
19220301 19220331     6.3
19220401 19220430    35.6
19220501 19220531    31.3
