PRCP       064008 18790401 20180131 missing_value=99999.9 COONABARABRAN (NAMOI STREET)              
18790401 18790430    66.0
18790501 18790531   124.9
18790601 18790630    22.2
18790701 18790731    97.7
18790801 18790831   107.7
18790901 18790930   101.4
18791001 18791031    46.1
18791101 18791130    67.8
18791201 18791231    77.7
18800101 18800131    55.1
18800201 18800229    60.2
18800301 18800331   126.8
18800401 18800430   159.5
18800501 18800531    26.1
18800601 18800630    15.6
18800701 18800731     9.4
18800801 18800831     6.6
18800901 18800930   132.1
18801001 18801031    57.9
18801101 18801130    23.9
18801201 18801231    33.7
18810101 18810131    38.2
18810201 18810228   113.3
18810301 18810331    58.5
18810401 18810430     0.3
18810501 18810531    47.1
18810601 18810630    41.1
18810701 18810731    12.0
18810801 18810831    69.9
18810901 18810930    31.8
18811001 18811031    50.3
18811101 18811130    71.8
18811201 18811231    12.7
18820101 18820131    11.2
18820201 18820228   102.6
18820301 18820331    13.5
18820401 18820430    69.4
18820501 18820531    90.4
18820601 18820630    74.1
18820701 18820731    29.2
18820801 18820831    35.9
18820901 18820930     5.9
18821001 18821031    85.2
18821101 18821130   111.3
18821201 18821231   102.6
18830101 18830131    23.8
18830201 18830228   112.5
18830301 18830331    32.0
18830401 18830430    99.5
18830501 18830531    90.8
18830601 18830630     9.0
18830701 18830731     3.8
18830801 18830831    60.5
18830901 18830930    29.0
18831001 18831031   100.9
18831101 18831130    28.5
18831201 18831231     6.4
18840101 18840131     5.6
18840201 18840229     5.1
18840301 18840331     5.6
18840401 18840430    71.1
18840501 18840531    19.8
18840601 18840630    73.8
18840701 18840731    53.3
18840801 18840831    14.0
18840901 18840930   124.2
18841001 18841031    14.5
18841101 18841130    66.6
18841201 18841231    26.1
18850101 18850131    87.4
18850201 18850228    47.5
18850301 18850331    83.7
18850401 18850430    26.7
18850501 18850531    33.5
18850601 18850630   116.3
18850701 18850731     8.4
18850801 18850831     1.5
18850901 18850930    26.8
18851001 18851031    26.3
18851101 18851130    39.7
18851201 18851231    45.2
18860101 18860131   110.3
18860201 18860228     5.4
18860301 18860331     1.5
18860401 18860430   109.8
18860501 18860531   128.1
18860601 18860630    81.2
18860701 18860731    89.5
18860801 18860831   224.6
18860901 18860930    14.8
18861001 18861031   108.6
18861101 18861130    95.5
18861201 18861231   133.0
18870101 18870131   121.1
18870201 18870228   240.2
18870301 18870331   117.6
18870401 18870430    68.7
18870501 18870531    10.6
18870601 18870630    51.9
18870701 18870731   123.8
18870801 18870831   156.2
18870901 18870930    14.9
18871001 18871031    75.4
18871101 18871130    86.4
18871201 18871231   154.2
18880101 18880131    21.1
18880201 18880229   201.8
18880301 18880331     6.6
18880401 18880430    13.2
18880501 18880531    47.4
18880601 18880630    34.9
18880701 18880731     7.9
18880801 18880831     6.3
18880901 18880930    40.2
18881001 18881031    40.9
18881101 18881130    17.5
18881201 18881231    58.5
18890101 18890131    50.0
18890201 18890228    32.0
18890301 18890331    56.1
18890401 18890430   215.3
18890501 18890531   329.8
18890601 18890630   110.8
18890701 18890731    57.8
18890801 18890831    70.2
18890901 18890930    36.9
18891001 18891031    93.1
18891101 18891130    81.9
18891201 18891231   105.0
18900101 18900131   112.5
18900201 18900228   236.5
18900301 18900331   111.3
18900401 18900430    49.3
18900501 18900531   151.4
18900601 18900630   119.8
18900701 18900731    58.3
18900801 18900831    62.9
18900901 18900930    89.4
18901001 18901031    34.3
18901101 18901130    24.9
18901201 18901231    38.8
18910101 18910131   235.4
18910201 18910228    38.2
18910301 18910331   134.5
18910401 18910430    67.1
18910501 18910531    74.0
18910601 18910630    85.3
18910701 18910731    69.6
18910801 18910831    95.3
18910901 18910930   114.9
18911001 18911031    34.1
18911101 18911130    53.6
18911201 18911231    57.5
18920101 18920131    49.9
18920201 18920229     7.1
18920301 18920331    18.6
18920401 18920430    49.8
18920501 18920531   132.9
18920601 18920630    48.0
18920701 18920731    93.2
18920801 18920831    23.7
18920901 18920930   129.6
18921001 18921031   133.9
18921101 18921130    98.8
18921201 18921231   178.4
18930101 18930131    69.8
18930201 18930228    43.5
18930301 18930331   122.8
18930401 18930430   101.9
18930501 18930531    73.6
18930601 18930630    93.6
18930701 18930731    61.2
18930801 18930831    98.2
18930901 18930930    12.0
18931001 18931031    49.6
