PRCP       065022 18880501 20180131 missing_value=99999.9 MANILDRA (HAZELDALE)                      
18880501 18880531    38.4
18880601 18880630    24.9
18880701 18880731    40.7
18880801 18880831     5.3
18880901 18880930    59.9
18881001 18881031     7.9
18881101 18881130     5.3
18881201 18881231    39.3
18890101 18890131    28.0
18890201 18890228    37.3
18890301 18890331     0.8
18890401 18890430   102.3
18890501 18890531    65.8
18890601 18890630    98.8
18890701 18890731    22.9
18890801 18890831    69.8
18890901 18890930    55.0
18891001 18891031    72.1
18891101 18891130    85.7
18891201 18891231   105.9
18900101 18900131    16.3
18900201 18900228   190.7
18900301 18900331   161.0
18900401 18900430    36.3
18900501 18900531   122.2
18900601 18900630   102.6
18900701 18900731    65.3
18900801 18900831    40.3
18900901 18900930    68.4
18901001 18901031    85.7
18901101 18901130    23.4
18901201 18901231    46.4
18910101 18910131   149.9
18910201 18910228    39.7
18910301 18910331    25.4
18910401 18910430    83.3
18910501 18910531    91.5
18910601 18910630   132.7
18910701 18910731   100.3
18910801 18910831    54.1
18910901 18910930   109.6
18911001 18911031    44.3
18911101 18911130    61.0
18911201 18911231    23.6
18920101 18920131    94.2
18920201 18920229     7.1
18920301 18920331     4.5
18920401 18920430    68.4
18920501 18920531    99.9
18920601 18920630    55.1
18920701 18920731    46.8
18920801 18920831    64.8
18920901 18920930   179.3
18921001 18921031    78.9
18921101 18921130    20.8
18921201 18921231    65.4
18930101 18930131   106.9
18930201 18930228    43.7
18930301 18930331    72.7
18930401 18930430    71.5
18930501 18930531    77.1
18930601 18930630    63.2
18930701 18930731    45.3
18930801 18930831    44.9
18930901 18930930    29.1
18931001 18931031    44.6
18931101 18931130    80.8
18931201 18931231    53.8
18940101 18940131    97.5
18940201 18940228    41.4
18940301 18940331   126.5
18940401 18940430   135.4
18940501 18940531    71.4
18940601 18940630    66.9
18940701 18940731    86.1
18940801 18940831    49.4
18940901 18940930    65.3
18941001 18941031    48.2
18941101 18941130     8.1
18941201 18941231    58.0
18950101 18950131    77.5
18950201 18950228    16.3
18950301 18950331     2.3
18950401 18950430    12.7
18950501 18950531    29.4
18950601 18950630    62.0
18950701 18950731    31.0
18950801 18950831    53.0
