PRCP       068016 19040101 20130131 missing_value=99999.9 CATARACT DAM                              
19040101 19040131    41.6
19040201 19040229   132.1
19040301 19040331    86.9
19040401 19040430   420.5
19040501 19040531    47.4
19040601 19040630     1.3
19040701 19040731   594.0
19040801 19040831    39.1
19040901 19040930    20.7
19041001 19041031    46.2
19041101 19041130     7.4
19041201 19041231    10.8
19050101 19050131    54.4
19050201 19050228    70.4
19050301 19050331    42.7
19050401 19050430   104.1
19050501 19050531   106.0
19050601 19050630   123.5
19050701 19050731     6.1
19050801 19050831     8.1
19050901 19050930    42.5
19051001 19051031    59.3
19051101 19051130    15.0
19051201 19051231   102.7
19060101 19060131    34.0
19060201 19060228    20.6
19060301 19060331    95.9
19060401 19060430    10.1
19060501 19060531    67.4
19060601 19060630    17.8
19060701 19060731     1.0
19060801 19060831   201.9
19060901 19060930    30.0
19061001 19061031    37.2
19061101 19061130    69.8
19061201 19061231    37.0
19070101 19070131    73.2
19070201 19070228    58.4
19070301 19070331   146.6
19070401 19070430    52.1
19070501 19070531    50.0
19070601 19070630   112.8
19070701 19070731     6.9
19070801 19070831     4.8
19070901 19070930    11.4
19071001 19071031     8.1
19071101 19071130    94.7
19071201 19071231    40.4
19080101 19080131   109.0
19080201 19080229   326.4
19080301 19080331    26.9
19080401 19080430    33.0
19080501 19080531    15.0
19080601 19080630     7.6
19080701 19080731    48.8
19080801 19080831   234.7
19080901 19080930    22.6
19081001 19081031    18.0
19081101 19081130    26.2
19081201 19081231    12.4
19090101 19090131    22.1
19090201 19090228    91.2
19090301 19090331     7.6
19090401 19090430     8.4
19090501 19090531    14.5
19090601 19090630   185.2
19090701 19090731    16.3
19090801 19090831    27.4
19090901 19090930    35.1
19091001 19091031    31.5
19091101 19091130    26.9
19091201 19091231   169.4
19100101 19100131   172.6
19100201 19100228     7.2
19100301 19100331   114.1
19100401 19100430    25.9
19100501 19100531    22.1
19100601 19100630    36.5
19100701 19100731   244.2
19100801 19100831     6.6
19100901 19100930    34.5
19101001 19101031    66.1
19101101 19101130    17.6
19101201 19101231   153.2
19110101 19110131   337.2
19110201 19110228   143.6
19110301 19110331    99.6
19110401 19110430    30.3
19110501 19110531    28.4
19110601 19110630     5.3
19110701 19110731   111.3
19110801 19110831   128.1
19110901 19110930    53.2
19111001 19111031    35.5
19111101 19111130    39.3
19111201 19111231    57.9
19120101 19120131    23.2
19120201 19120229   171.4
19120301 19120331    75.6
19120401 19120430    85.5
19120501 19120531   116.3
19120601 19120630   100.8
19120701 19120731   345.4
19120801 19120831    77.2
19120901 19120930    16.8
19121001 19121031    23.7
19121101 19121130    33.3
19121201 19121231    20.7
19130101 19130131    13.5
19130201 19130228    32.1
19130301 19130331   152.5
19130401 19130430   125.3
19130501 19130531   364.4
19130601 19130630   232.1
19130701 19130731    68.3
19130801 19130831     0.3
19130901 19130930    38.1
19131001 19131031    44.8
19131101 19131130    37.8
19131201 19131231     4.0
19140101 19140131    51.4
19140201 19140228    31.7
19140301 19140331   321.1
19140401 19140430    58.2
19140501 19140531    63.9
19140601 19140630    78.5
19140701 19140731   122.3
19140801 19140831    26.2
19140901 19140930   116.6
19141001 19141031   109.6
19141101 19141130   174.3
19141201 19141231   197.5
19150101 19150131    21.4
19150201 19150228    15.7
19150301 19150331    57.9
19150401 19150430   102.8
19150501 19150531    92.7
19150601 19150630    97.6
19150701 19150731    97.6
19150801 19150831    18.9
19150901 19150930    53.3
19151001 19151031    11.7
19151101 19151130     0.0
19151201 19151231    52.2
19160101 19160131    23.5
19160201 19160229    51.8
19160301 19160331    75.0
19160401 19160430    56.0
19160501 19160531    26.9
19160601 19160630    58.9
19160701 19160731    64.9
19160801 19160831    28.6
19160901 19160930    79.5
19161001 19161031   300.4
19161101 19161130   126.6
19161201 19161231   137.4
19170101 19170131    82.1
19170201 19170228    47.4
19170301 19170331    27.1
19170401 19170430   185.2
19170501 19170531    35.9
19170601 19170630    46.3
19170701 19170731    15.8
19170801 19170831    21.8
19170901 19170930   124.4
19171001 19171031    63.2
19171101 19171130   186.0
19171201 19171231    34.1
19180101 19180131   302.7
19180201 19180228    68.6
19180301 19180331    17.6
19180401 19180430    55.8
19180501 19180531     6.4
19180601 19180630     2.1
19180701 19180731   202.5
19180801 19180831    61.8
19180901 19180930    61.8
19181001 19181031    10.4
19181101 19181130    29.3
19181201 19181231    15.5
19190101 19190131    26.0
19190201 19190228   134.0
19190301 19190331   123.5
19190401 19190430    20.5
19190501 19190531   398.2
19190601 19190630     6.1
19190701 19190731    20.0
19190801 19190831    19.8
19190901 19190930    49.5
19191001 19191031    25.7
19191101 19191130    80.0
19191201 19191231   167.6
19200101 19200131   132.1
19200201 19200229    24.9
19200301 19200331    62.0
19200401 19200430    48.1
19200501 19200531     2.5
