PRCP       068034 18990701 20040630 missing_value=99999.9 POINT PERPENDICULAR LIGHTHOUSE COMPARISON 
18990701 18990731   166.7
18990801 18990831   340.7
18990901 18990930    71.8
18991001 18991031   199.3
18991101 18991130    88.3
18991201 18991231    54.6
19000101 19000131    79.7
19000201 19000228    45.9
19000301 19000331   193.4
19000401 19000430   421.2
19000501 19000531   428.0
19000601 19000630   192.1
19000701 19000731   301.2
19000801 19000831    34.0
19000901 19000930   152.6
19001001 19001031     9.6
19001101 19001130   216.1
19001201 19001231    37.3
19010101 19010131    80.9
19010201 19010228    38.4
19010301 19010331   145.2
19010401 19010430   314.8
19010501 19010531    34.1
19010601 19010630    77.5
19010701 19010731   177.1
19010801 19010831   348.1
19010901 19010930    78.5
19011001 19011031    88.5
19011101 19011130    38.8
19011201 19011231     0.0
19020101 19020131    97.7
19020201 19020228    52.8
19020301 19020331   172.8
19020401 19020430    54.2
19020501 19020531    68.1
19020601 19020630    64.7
19020701 19020731   204.9
19020801 19020831   205.5
19020901 19020930    22.8
19021001 19021031   160.6
19021101 19021130    34.5
19021201 19021231   155.2
19030101 19030131    23.9
19030201 19030228   111.4
19030301 19030331    65.9
19030401 19030430    34.3
19030501 19030531   269.7
19030601 19030630    52.1
19030701 19030731   184.4
19030801 19030831   236.5
19030901 19030930    89.2
19031001 19031031    80.7
19031101 19031130    62.9
19031201 19031231   172.5
19040101 19040131    88.3
19040201 19040229   124.6
19040301 19040331   147.1
19040401 19040430   255.1
19040501 19040531    53.0
19040601 19040630    23.6
19040701 19040731   237.7
19040801 19040831    38.1
19040901 19040930   121.2
19041001 19041031    71.6
19041101 19041130     9.7
19041201 19041231    28.3
19050101 19050131    38.4
19050201 19050228    44.1
19050301 19050331    57.8
19050401 19050430   123.0
19050501 19050531   191.3
19050601 19050630   117.0
19050701 19050731    23.8
19050801 19050831    47.0
19050901 19050930    29.4
19051001 19051031   116.0
19051101 19051130    30.6
19051201 19051231   126.0
19060101 19060131    24.5
19060201 19060228    19.3
19060301 19060331   182.3
19060401 19060430    45.2
19060501 19060531    43.0
19060601 19060630    33.7
19060701 19060731     5.6
19060801 19060831   112.8
19060901 19060930    74.1
19061001 19061031    33.5
19061101 19061130    29.9
19061201 19061231    38.9
19070101 19070131   129.2
19070201 19070228    41.7
19070301 19070331    61.0
19070401 19070430    70.9
19070501 19070531    77.2
19070601 19070630   235.4
19070701 19070731    35.2
19070801 19070831    26.7
19070901 19070930    23.4
19071001 19071031    13.9
19071101 19071130    82.5
19071201 19071231    29.8
19080101 19080131    41.9
19080201 19080229   187.5
19080301 19080331    56.4
19080401 19080430    99.1
19080501 19080531    71.8
19080601 19080630    56.2
19080701 19080731   173.6
19080801 19080831   189.0
19080901 19080930    79.5
19081001 19081031    48.6
19081101 19081130    25.2
19081201 19081231    40.7
19090101 19090131    73.8
19090201 19090228   202.8
19090301 19090331    21.1
19090401 19090430    13.9
19090501 19090531    54.3
19090601 19090630   120.8
19090701 19090731    88.5
19090801 19090831    54.6
19090901 19090930    92.6
19091001 19091031    40.6
19091101 19091130    13.3
19091201 19091231   137.0
19100101 19100131   116.3
19100201 19100228    22.0
19100301 19100331   139.3
19100401 19100430    22.8
19100501 19100531    38.3
19100601 19100630    62.4
19100701 19100731   121.1
19100801 19100831    39.4
19100901 19100930    38.7
19101001 19101031    71.4
19101101 19101130    80.3
19101201 19101231   129.6
19110101 19110131   321.6
19110201 19110228    41.9
19110301 19110331   197.3
19110401 19110430    36.9
19110501 19110531    94.7
19110601 19110630    21.1
19110701 19110731   129.9
19110801 19110831   175.4
19110901 19110930    43.6
19111001 19111031    27.4
19111101 19111130    82.3
19111201 19111231    80.9
19120101 19120131    44.8
19120201 19120229   102.5
19120301 19120331   120.9
19120401 19120430    53.5
19120501 19120531   134.6
19120601 19120630   135.1
19120701 19120731   252.6
19120801 19120831    43.6
19120901 19120930    23.2
19121001 19121031    13.1
19121101 19121130    52.8
19121201 19121231    43.8
19130101 19130131    15.0
19130201 19130228    17.8
19130301 19130331   104.4
19130401 19130430   118.3
19130501 19130531   385.1
19130601 19130630   235.1
19130701 19130731    43.9
19130801 19130831     4.8
19130901 19130930   116.9
19131001 19131031   104.0
19131101 19131130    28.1
19131201 19131231    13.6
19140101 19140131    37.9
19140201 19140228    19.1
19140301 19140331   572.3
19140401 19140430    71.9
19140501 19140531   139.0
19140601 19140630    62.8
19140701 19140731   267.0
19140801 19140831    78.6
19140901 19140930   133.8
19141001 19141031    55.7
19141101 19141130   110.1
19141201 19141231   218.9
19150101 19150131    99.6
19150201 19150228    42.0
19150301 19150331    96.2
19150401 19150430   269.8
19150501 19150531    87.1
19150601 19150630   143.9
19150701 19150731   153.4
19150801 19150831    35.3
19150901 19150930    82.5
19151001 19151031    55.8
19151101 19151130     3.8
19151201 19151231   110.5
19160101 19160131    31.5
19160201 19160229    81.4
19160301 19160331   105.5
19160401 19160430   104.1
19160501 19160531    41.7
19160601 19160630    71.9
19160701 19160731   106.8
19160801 19160831    45.0
19160901 19160930   213.7
19161001 19161031   275.8
19161101 19161130   138.1
19161201 19161231   222.0
19170101 19170131   115.9
19170201 19170228    70.3
19170301 19170331    73.7
19170401 19170430   167.9
19170501 19170531    83.3
19170601 19170630    98.6
19170701 19170731    13.3
19170801 19170831    29.6
19170901 19170930   169.8
19171001 19171031   111.9
19171101 19171130   233.1
19171201 19171231   129.7
19180101 19180131   378.6
