PRCP       069006 18960401 20180131 missing_value=99999.9 BETTOWYND (CONDRY)                        
18960401 18960430    10.4
18960501 18960531   152.4
18960601 18960630   136.4
18960701 18960731     6.6
18960801 18960831    52.6
18960901 18960930     3.3
18961001 18961031    19.3
18961101 18961130    87.9
18961201 18961231    48.3
18970101 18970131   110.8
18970201 18970228    37.4
18970301 18970331     7.6
18970401 18970430    16.6
18970501 18970531    14.0
18970601 18970630    96.7
18970701 18970731    33.0
18970801 18970831    82.0
18970901 18970930    62.5
18971001 18971031    48.8
18971101 18971130    13.4
18971201 18971231    71.8
18980101 18980131     7.6
18980201 18980228   360.7
18980301 18980331     6.1
18980401 18980430    11.0
18980501 18980531    34.2
18980601 18980630   103.8
18980701 18980731    16.0
18980801 18980831   129.7
18980901 18980930    13.4
18981001 18981031    54.1
18981101 18981130     4.8
18981201 18981231    11.8
18990101 18990131    40.2
18990201 18990228     3.1
18990301 18990331    15.1
18990401 18990430   157.4
18990501 18990531    57.7
18990601 18990630   109.8
18990701 18990731   108.4
18990801 18990831   158.1
18990901 18990930    34.0
18991001 18991031    29.7
18991101 18991130    56.9
18991201 18991231    17.7
19000101 19000131    56.3
19000201 19000228    44.5
19000301 19000331    76.8
19000401 19000430    96.1
19000501 19000531   241.6
19000601 19000630    74.1
19000701 19000731   190.6
19000801 19000831    20.1
19000901 19000930    42.0
19001001 19001031     1.5
19001101 19001130   104.6
19001201 19001231    45.4
19010101 19010131    78.5
19010201 19010228    12.1
19010301 19010331    72.6
19010401 19010430    32.0
19010501 19010531     0.5
19010601 19010630    25.7
19010701 19010731    24.3
19010801 19010831   196.0
19010901 19010930    34.8
19011001 19011031    69.6
19011101 19011130    15.4
19011201 19011231     3.0
19020101 19020131    74.6
19020201 19020228     2.1
19020301 19020331    51.7
19020401 19020430    10.6
19020501 19020531     3.8
19020601 19020630    11.7
19020701 19020731    60.5
19020801 19020831    39.1
19020901 19020930    37.9
19021001 19021031    62.3
19021101 19021130    19.3
19021201 19021231   136.5
19030101 19030131    12.4
19030201 19030228    20.7
19030301 19030331    26.3
19030401 19030430    36.3
19030501 19030531    20.4
19030601 19030630    23.4
19030701 19030731   100.6
19030801 19030831    55.6
19030901 19030930    99.8
19031001 19031031    56.7
19031101 19031130    58.2
19031201 19031231   110.4
19040101 19040131    76.3
19040201 19040229    61.4
19040301 19040331    25.3
19040401 19040430   125.6
19040501 19040531    25.4
19040601 19040630     6.6
19040701 19040731    64.5
19040801 19040831     6.1
19040901 19040930    19.7
19041001 19041031    23.9
19041101 19041130    13.2
19041201 19041231    36.0
19050101 19050131    92.7
19050201 19050228    39.5
19050301 19050331    33.0
19050401 19050430    55.4
19050501 19050531    32.9
19050601 19050630    49.0
19050701 19050731     8.9
19050801 19050831     4.4
19050901 19050930     6.5
19051001 19051031    50.7
19051101 19051130     6.1
19051201 19051231    69.5
19060101 19060131    19.5
19060201 19060228     2.9
19060301 19060331   172.3
19060401 19060430    14.8
19060501 19060531    35.5
19060601 19060630     8.3
19060701 19060731    12.4
19060801 19060831   124.5
19060901 19060930    48.7
19061001 19061031    50.8
19061101 19061130    32.8
19061201 19061231    31.5
19070101 19070131    68.6
19070201 19070228    32.0
19070301 19070331    56.9
19070401 19070430    56.1
19070501 19070531     3.6
19070601 19070630    89.3
19070701 19070731     7.1
19070801 19070831    11.3
19070901 19070930    11.2
19071001 19071031     5.9
19071101 19071130    48.0
19071201 19071231    26.6
19080101 19080131    29.0
19080201 19080229   135.8
19080301 19080331    31.6
19080401 19080430   106.2
19080501 19080531    17.6
19080601 19080630     1.5
19080701 19080731     8.4
19080801 19080831   154.2
19080901 19080930    42.5
19081001 19081031    19.7
19081101 19081130    56.4
19081201 19081231    20.1
19090101 19090131    42.8
19090201 19090228   116.6
19090301 19090331    13.3
