PRCP       069018 18750701 20180131 missing_value=99999.9 MORUYA HEADS PILOT STATION                
18750701 18750731    14.8
18750801 18750831    16.0
18750901 18750930     7.0
18751001 18751031    72.8
18751101 18751130    42.8
18751201 18751231    50.5
18760101 18760131    24.1
18760201 18760229    41.7
18760301 18760331    29.7
18760401 18760430    24.9
18760501 18760531   124.5
18760601 18760630    95.1
18760701 18760731    99.5
18760801 18760831    19.0
18760901 18760930   117.9
18761001 18761031   197.2
18761101 18761130   204.2
18761201 18761231    15.8
18770101 18770131    56.5
18770201 18770228    26.9
18770301 18770331   218.9
18770401 18770430    58.2
18770501 18770531   137.8
18770601 18770630    13.8
18770701 18770731   116.6
18770801 18770831     2.5
18770901 18770930   104.2
18771001 18771031    74.4
18771101 18771130    22.6
18771201 18771231    29.5
18780101 18780131    53.6
18780201 18780228   493.8
18780301 18780331    54.1
18780401 18780430    18.2
18780501 18780531     0.0
18780601 18780630     5.1
18780701 18780731    35.1
18780801 18780831    58.7
18780901 18780930    91.7
18781001 18781031     6.3
18781101 18781130    93.3
18781201 18781231   100.4
18790101 18790131   127.8
18790201 18790228   202.0
18790301 18790331   288.2
18790401 18790430    20.9
18790501 18790531   279.7
18790601 18790630    30.5
18790701 18790731    23.3
18790801 18790831   144.4
18790901 18790930   266.3
18791001 18791031    77.0
18791101 18791130    92.0
18791201 18791231    68.2
18800101 18800131    35.6
18800201 18800229    89.0
18800301 18800331   190.4
18800401 18800430   225.6
18800501 18800531    36.8
18800601 18800630     7.6
18800701 18800731   188.2
18800801 18800831    10.7
18800901 18800930    93.2
18801001 18801031    45.2
18801101 18801130   178.6
18801201 18801231    36.3
18810101 18810131   106.3
18810201 18810228    68.0
18810301 18810331   131.7
18810401 18810430    17.4
18810501 18810531    71.6
18810601 18810630    64.2
18810701 18810731    12.7
18810801 18810831    22.1
18810901 18810930    55.2
18811001 18811031   250.4
18811101 18811130   100.6
18811201 18811231    63.8
18820101 18820131    18.5
18820201 18820228     6.2
18820301 18820331    79.2
18820401 18820430   220.7
18820501 18820531    48.4
18820601 18820630    83.4
18820701 18820731    13.2
18820801 18820831    55.8
18820901 18820930     9.6
18821001 18821031   196.5
18821101 18821130    32.9
18821201 18821231   103.3
18830101 18830131    70.6
18830201 18830228   148.0
18830301 18830331    12.0
18830401 18830430   105.0
18830501 18830531    84.5
18830601 18830630     1.3
18830701 18830731     8.9
18830801 18830831    13.0
18830901 18830930    64.1
18831001 18831031    58.4
18831101 18831130    29.8
18831201 18831231    28.7
18840101 18840131    62.0
18840201 18840229    16.3
18840301 18840331    39.6
18840401 18840430   205.2
18840501 18840531    72.1
18840601 18840630    36.6
18840701 18840731    48.6
18840801 18840831    13.0
18840901 18840930    10.7
18841001 18841031   113.6
18841101 18841130    34.5
18841201 18841231     3.6
18850101 18850131    93.2
18850201 18850228    20.1
18850301 18850331    38.1
18850401 18850430    17.5
18850501 18850531    18.5
18850601 18850630    36.4
18850701 18850731    65.5
18850801 18850831    11.8
18850901 18850930    16.1
18851001 18851031    28.8
18851101 18851130    71.6
18851201 18851231    82.6
18860101 18860131   109.8
18860201 18860228    47.0
18860301 18860331    30.2
18860401 18860430    68.1
18860501 18860531     4.8
18860601 18860630     8.9
18860701 18860731    38.1
18860801 18860831    62.5
18860901 18860930    12.5
18861001 18861031   110.6
18861101 18861130    46.8
18861201 18861231   144.6
18870101 18870131   165.3
18870201 18870228    78.5
18870301 18870331    84.5
18870401 18870430   163.5
18870501 18870531    26.2
18870601 18870630   116.1
18870701 18870731    37.0
18870801 18870831    90.1
18870901 18870930    34.8
18871001 18871031    42.5
18871101 18871130    95.1
18871201 18871231   147.4
18880101 18880131    24.5
18880201 18880229    60.8
18880301 18880331    65.8
18880401 18880430     0.0
18880501 18880531    31.3
18880601 18880630    37.9
18880701 18880731    12.5
18880801 18880831    15.4
18880901 18880930    59.2
18881001 18881031    34.4
18881101 18881130    14.1
18881201 18881231   194.7
18890101 18890131   112.1
18890201 18890228    43.7
18890301 18890331    20.6
18890401 18890430    48.2
18890501 18890531   164.9
18890601 18890630    32.3
18890701 18890731    37.5
18890801 18890831    49.4
18890901 18890930    62.9
18891001 18891031    75.4
18891101 18891130   129.1
18891201 18891231    49.4
18900101 18900131    38.4
18900201 18900228   199.5
18900301 18900331   413.7
18900401 18900430    14.4
18900501 18900531    83.7
18900601 18900630   130.3
18900701 18900731    98.5
18900801 18900831    21.9
18900901 18900930   116.5
18901001 18901031    48.7
18901101 18901130    46.0
18901201 18901231    35.9
18910101 18910131   125.3
18910201 18910228    44.9
18910301 18910331     4.6
18910401 18910430   125.9
18910501 18910531    17.2
18910601 18910630   509.3
18910701 18910731    67.5
18910801 18910831   109.3
18910901 18910930   124.0
18911001 18911031    64.1
18911101 18911130    87.7
18911201 18911231    31.9
18920101 18920131    86.8
18920201 18920229    24.7
18920301 18920331   191.9
18920401 18920430    82.8
18920501 18920531    20.9
18920601 18920630    20.2
18920701 18920731    32.7
18920801 18920831    53.9
18920901 18920930   396.8
18921001 18921031   281.1
18921101 18921130    42.1
18921201 18921231    69.1
18930101 18930131   192.9
18930201 18930228    92.9
18930301 18930331   112.3
18930401 18930430   374.2
18930501 18930531    27.5
18930601 18930630    74.4
18930701 18930731   152.1
18930801 18930831    11.7
18930901 18930930     7.5
18931001 18931031    62.6
18931101 18931130   109.8
18931201 18931231    94.1
18940101 18940131   118.9
18940201 18940228    99.8
18940301 18940331   479.0
18940401 18940430    89.5
18940501 18940531     9.7
18940601 18940630    97.0
18940701 18940731     1.3
18940801 18940831    13.5
18940901 18940930   114.8
18941001 18941031    50.2
18941101 18941130     5.3
18941201 18941231    58.3
18950101 18950131   258.4
18950201 18950228   144.8
18950301 18950331    18.1
18950401 18950430    13.3
18950501 18950531    70.3
18950601 18950630     2.8
18950701 18950731     1.0
18950801 18950831    67.4
18950901 18950930    44.9
18951001 18951031     4.6
18951101 18951130     3.4
18951201 18951231    11.7
18960101 18960131    54.9
18960201 18960229   101.0
18960301 18960331    58.3
18960401 18960430     2.5
18960501 18960531   156.5
18960601 18960630   288.1
18960701 18960731    22.4
18960801 18960831    58.6
18960901 18960930    30.0
18961001 18961031    21.4
18961101 18961130    66.0
18961201 18961231    26.7
18970101 18970131   117.0
18970201 18970228    46.5
18970301 18970331    18.1
18970401 18970430    87.5
18970501 18970531    48.8
18970601 18970630   162.1
18970701 18970731    38.7
18970801 18970831   127.6
18970901 18970930    87.8
18971001 18971031    32.8
18971101 18971130    13.5
18971201 18971231    94.8
18980101 18980131    40.5
18980201 18980228   371.7
18980301 18980331    13.2
18980401 18980430    10.5
18980501 18980531    76.5
18980601 18980630   146.1
18980701 18980731    16.9
18980801 18980831   108.6
18980901 18980930    14.4
18981001 18981031    57.0
18981101 18981130     2.3
18981201 18981231    18.9
18990101 18990131    45.4
18990201 18990228     5.9
18990301 18990331    18.2
18990401 18990430   115.8
18990501 18990531   100.6
18990601 18990630   167.8
18990701 18990731    70.0
18990801 18990831   207.9
18990901 18990930    67.3
18991001 18991031    91.5
18991101 18991130    64.4
18991201 18991231    23.3
19000101 19000131   119.8
19000201 19000228    18.2
19000301 19000331    62.3
19000401 19000430   127.5
19000501 19000531   371.1
19000601 19000630   166.5
19000701 19000731   129.1
19000801 19000831     9.2
19000901 19000930    40.2
19001001 19001031     5.9
19001101 19001130   116.3
19001201 19001231    31.4
19010101 19010131    46.8
19010201 19010228    15.4
19010301 19010331    96.6
19010401 19010430    33.1
19010501 19010531    11.7
19010601 19010630    22.2
19010701 19010731    36.6
19010801 19010831   238.0
19010901 19010930    61.5
19011001 19011031    65.1
19011101 19011130    30.1
19011201 19011231    12.9
19020101 19020131    84.2
19020201 19020228    11.9
19020301 19020331    82.1
19020401 19020430    19.9
19020501 19020531    16.0
19020601 19020630    28.7
19020701 19020731   152.8
19020801 19020831    38.4
19020901 19020930    26.3
19021001 19021031    77.6
19021101 19021130    39.6
19021201 19021231   110.4
19030101 19030131    12.7
19030201 19030228    21.5
19030301 19030331    37.5
19030401 19030430    19.1
19030501 19030531    54.4
19030601 19030630    63.8
19030701 19030731   110.5
19030801 19030831   119.4
19030901 19030930   149.3
19031001 19031031    62.9
19031101 19031130    35.8
19031201 19031231   137.5
19040101 19040131    45.2
19040201 19040229    40.7
19040301 19040331    92.1
19040401 19040430   122.7
19040501 19040531    34.0
19040601 19040630     2.6
19040701 19040731   247.9
19040801 19040831     9.6
19040901 19040930     8.6
19041001 19041031    45.3
19041101 19041130     9.2
19041201 19041231    28.1
19050101 19050131    48.5
19050201 19050228    97.8
19050301 19050331    39.1
19050401 19050430    93.5
19050501 19050531    55.9
19050601 19050630    39.9
19050701 19050731    10.0
19050801 19050831    38.4
19050901 19050930     5.9
19051001 19051031    81.4
19051101 19051130    15.1
19051201 19051231    65.7
19060101 19060131    30.6
19060201 19060228    24.7
19060301 19060331   350.5
19060401 19060430    11.9
19060501 19060531    58.8
19060601 19060630     2.1
19060701 19060731     4.3
19060801 19060831    82.3
19060901 19060930    54.8
19061001 19061031    39.6
19061101 19061130    46.5
19061201 19061231    27.7
19070101 19070131    93.8
19070201 19070228    39.8
19070301 19070331    74.8
19070401 19070430   104.3
19070501 19070531    28.4
19070601 19070630   176.3
19070701 19070731     2.8
19070801 19070831    14.4
19070901 19070930     3.1
19071001 19071031    11.2
19071101 19071130    29.9
19071201 19071231    22.1
19080101 19080131    28.4
19080201 19080229   129.5
19080301 19080331    30.2
19080401 19080430   140.4
19080501 19080531    22.9
19080601 19080630    22.1
