PRCP       070027 18890701 20180131 missing_value=99999.9 DELEGATE (WEEWALLA)                       
18890701 18890731    11.1
18890801 18890831    22.7
18890901 18890930    57.7
18891001 18891031    38.2
18891101 18891130   132.3
18891201 18891231    35.9
18900101 18900131    33.0
18900201 18900228    61.7
18900301 18900331    78.7
18900401 18900430    43.0
18900501 18900531    86.7
18900601 18900630   190.3
18900701 18900731    69.1
18900801 18900831    42.6
18900901 18900930    34.0
18901001 18901031    86.4
18901101 18901130    34.4
18901201 18901231    31.0
18910101 18910131    90.9
18910201 18910228    34.1
18910301 18910331    11.6
18910401 18910430    45.8
18910501 18910531    22.2
18910601 18910630   281.6
18910701 18910731   141.7
18910801 18910831    85.2
18910901 18910930    36.4
18911001 18911031    69.9
18911101 18911130    99.4
18911201 18911231    70.8
18920101 18920131    34.5
18920201 18920229    26.4
18920301 18920331    72.9
18920401 18920430   110.0
18920501 18920531    25.0
18920601 18920630    27.5
18920701 18920731    66.1
18920801 18920831    35.4
18920901 18920930    91.1
18921001 18921031   142.3
18921101 18921130   114.3
18921201 18921231    48.9
18930101 18930131    87.4
18930201 18930228     7.1
18930301 18930331    70.0
18930401 18930430    93.2
18930501 18930531    47.4
18930601 18930630    44.5
18930701 18930731   128.9
18930801 18930831    29.9
18930901 18930930    71.6
18931001 18931031    93.4
18931101 18931130    77.4
18931201 18931231   238.2
18940101 18940131    78.6
18940201 18940228    54.7
18940301 18940331    95.0
18940401 18940430    72.5
18940501 18940531    28.1
18940601 18940630    93.4
18940701 18940731    24.6
18940801 18940831    32.7
18940901 18940930    44.7
18941001 18941031    47.5
18941101 18941130     4.9
18941201 18941231    42.6
18950101 18950131    40.8
18950201 18950228    77.5
18950301 18950331    91.6
18950401 18950430    25.7
18950501 18950531    35.7
18950601 18950630    87.9
18950701 18950731    37.9
18950801 18950831    47.8
18950901 18950930    55.3
18951001 18951031     5.7
18951101 18951130     1.8
18951201 18951231    44.2
18960101 18960131    71.7
18960201 18960229    48.0
18960301 18960331    23.0
18960401 18960430    20.6
18960501 18960531    66.6
18960601 18960630   131.7
18960701 18960731    15.5
18960801 18960831    57.7
18960901 18960930   102.1
18961001 18961031    17.7
18961101 18961130    71.8
18961201 18961231    41.4
18970101 18970131    97.1
18970201 18970228   115.2
18970301 18970331    79.7
18970401 18970430    67.8
18970501 18970531    53.2
18970601 18970630    29.2
18970701 18970731    20.4
18970801 18970831    56.1
18970901 18970930    61.1
18971001 18971031    44.6
18971101 18971130    12.4
18971201 18971231    42.2
18980101 18980131     5.8
18980201 18980228   144.2
18980301 18980331     9.0
18980401 18980430    13.0
18980501 18980531    59.4
18980601 18980630    15.6
18980701 18980731    42.9
18980801 18980831    41.4
18980901 18980930    21.3
18981001 18981031    76.7
18981101 18981130    20.3
18981201 18981231    40.9
18990101 18990131    52.5
18990201 18990228     9.1
18990301 18990331    32.2
18990401 18990430   146.5
18990501 18990531    30.0
18990601 18990630    67.5
18990701 18990731    65.5
18990801 18990831    52.3
18990901 18990930    24.2
18991001 18991031    47.7
18991101 18991130    42.1
18991201 18991231    17.2
19000101 19000131    29.6
19000201 19000228    20.6
19000301 19000331    60.7
19000401 19000430   144.6
19000501 19000531   186.0
19000601 19000630    35.3
19000701 19000731    68.9
19000801 19000831    40.5
19000901 19000930    43.7
19001001 19001031    15.8
19001101 19001130    40.4
