PRCP       070028 18980801 20160630 missing_value=99999.9 YASS (DERRINGULLEN)                       
18980801 18980831    50.8
18980901 18980930    33.3
18981001 18981031    86.8
18981101 18981130    27.2
18981201 18981231    27.9
18990101 18990131    25.3
18990201 18990228    21.8
18990301 18990331    14.3
18990401 18990430    73.7
18990501 18990531    47.7
18990601 18990630    79.1
18990701 18990731    53.0
18990801 18990831   101.2
18990901 18990930    22.9
18991001 18991031    62.6
18991101 18991130    77.8
18991201 18991231    15.2
19000101 19000131    55.8
19000201 19000228     8.4
19000301 19000331    75.5
19000401 19000430    99.7
19000501 19000531   127.7
19000601 19000630   109.6
19000701 19000731   139.6
19000801 19000831    63.5
19000901 19000930    68.8
19001001 19001031     8.6
19001101 19001130    78.0
19001201 19001231    64.5
19010101 19010131    36.3
19010201 19010228     0.0
19010301 19010331   107.1
19010401 19010430    94.8
19010501 19010531    14.7
19010601 19010630    76.0
19010701 19010731    30.0
19010801 19010831   109.2
19010901 19010930    65.2
19011001 19011031    97.7
19011101 19011130    34.2
19011201 19011231     2.8
19020101 19020131    17.5
19020201 19020228     2.0
19020301 19020331    42.3
19020401 19020430     2.3
19020501 19020531     3.0
19020601 19020630    41.3
19020701 19020731    48.3
19020801 19020831    24.1
19020901 19020930    38.6
19021001 19021031    82.0
19021101 19021130    42.4
19021201 19021231   144.8
19030101 19030131    12.4
19030201 19030228    10.7
19030301 19030331    64.6
19030401 19030430    96.0
19030501 19030531    40.1
19030601 19030630    85.9
19030701 19030731   114.2
19030801 19030831    23.1
19030901 19030930   121.3
19031001 19031031    41.6
19031101 19031130     7.9
19031201 19031231    53.6
19040101 19040131    95.9
19040201 19040229    61.5
19040301 19040331     5.9
19040401 19040430    23.6
19040501 19040531    46.2
19040601 19040630    27.9
19040701 19040731    84.1
19040801 19040831    39.5
19040901 19040930    33.7
19041001 19041031    85.6
19041101 19041130    48.6
19041201 19041231    57.2
19050101 19050131    32.7
19050201 19050228    84.3
19050301 19050331    10.9
19050401 19050430    96.1
19050501 19050531    61.0
19050601 19050630   134.1
19050701 19050731    87.0
19050801 19050831    25.7
19050901 19050930    47.1
19051001 19051031    82.0
19051101 19051130     5.1
19051201 19051231    19.7
19060101 19060131     2.8
19060201 19060228     7.6
19060301 19060331    83.1
19060401 19060430    65.8
19060501 19060531    63.4
19060601 19060630   109.5
19060701 19060731    48.5
19060801 19060831    87.6
19060901 19060930   127.7
19061001 19061031   118.9
19061101 19061130    55.4
19061201 19061231    72.1
19070101 19070131    49.5
19070201 19070228     5.1
19070301 19070331    21.9
19070401 19070430    46.6
19070501 19070531    21.9
19070601 19070630    64.3
19070701 19070731    38.8
19070801 19070831    52.3
19070901 19070930    46.5
19071001 19071031    38.1
19071101 19071130    65.2
19071201 19071231    35.7
19080101 19080131    29.5
19080201 19080229    60.4
19080301 19080331     3.5
19080401 19080430    45.7
19080501 19080531    45.4
19080601 19080630    77.5
19080701 19080731    65.2
19080801 19080831    60.4
19080901 19080930   106.5
19081001 19081031    20.6
19081101 19081130    67.8
19081201 19081231     8.2
19090101 19090131    51.8
19090201 19090228   105.4
19090301 19090331    36.5
19090401 19090430    57.3
19090501 19090531    40.0
19090601 19090630   135.0
19090701 19090731    49.4
19090801 19090831    84.0
19090901 19090930    40.1
19091001 19091031    42.1
19091101 19091130    11.0
19091201 19091231    28.8
19100101 19100131    88.4
19100201 19100228     3.6
19100301 19100331    50.7
19100401 19100430     4.9
19100501 19100531    39.9
19100601 19100630    86.9
19100701 19100731    65.5
19100801 19100831    31.5
19100901 19100930   121.5
19101001 19101031    42.6
19101101 19101130    52.6
19101201 19101231   103.4
19110101 19110131   125.6
19110201 19110228    47.5
19110301 19110331    97.3
19110401 19110430     0.0
19110501 19110531   107.9
19110601 19110630    77.7
19110701 19110731    81.4
19110801 19110831    15.5
19110901 19110930    44.7
19111001 19111031     7.6
19111101 19111130    90.1
19111201 19111231    69.1
19120101 19120131    19.6
19120201 19120229    11.4
19120301 19120331    52.8
19120401 19120430     0.0
19120501 19120531     1.5
19120601 19120630    72.5
19120701 19120731   112.1
19120801 19120831   116.0
19120901 19120930    59.7
19121001 19121031    44.7
19121101 19121130    40.2
19121201 19121231    30.2
19130101 19130131    36.9
19130201 19130228    10.7
19130301 19130331    99.5
19130401 19130430    21.6
19130501 19130531    77.3
19130601 19130630    47.8
19130701 19130731    20.6
19130801 19130831    42.0
19130901 19130930    42.0
19131001 19131031    69.0
19131101 19131130    13.0
19131201 19131231    44.7
19140101 19140131    43.2
19140201 19140228     9.1
19140301 19140331   138.0
19140401 19140430    39.1
19140501 19140531    27.4
19140601 19140630    28.7
19140701 19140731    51.8
19140801 19140831     2.0
19140901 19140930    25.7
19141001 19141031    32.0
19141101 19141130    75.0
19141201 19141231    96.9
19150101 19150131     7.7
19150201 19150228    52.9
19150301 19150331    65.3
19150401 19150430    19.7
19150501 19150531    58.4
19150601 19150630   120.9
19150701 19150731    65.7
19150801 19150831   101.7
19150901 19150930    74.6
19151001 19151031    60.6
19151101 19151130     0.8
19151201 19151231    27.3
19160101 19160131    48.6
19160201 19160229    22.6
19160301 19160331    34.3
19160401 19160430    94.9
19160501 19160531    23.1
19160601 19160630   139.3
19160701 19160731   103.4
19160801 19160831   109.4
19160901 19160930    81.8
19161001 19161031   106.5
19161101 19161130   112.4
19161201 19161231    53.8
19170101 19170131    70.4
19170201 19170228    37.8
19170301 19170331    40.3
19170401 19170430    19.9
19170501 19170531    53.2
19170601 19170630    91.5
19170701 19170731   114.3
19170801 19170831   131.4
19170901 19170930    79.9
19171001 19171031   115.3
19171101 19171130    82.2
19171201 19171231    34.8
19180101 19180131    62.6
19180201 19180228    43.1
19180301 19180331    38.0
19180401 19180430    74.8
19180501 19180531    40.9
19180601 19180630    47.7
19180701 19180731    52.7
19180801 19180831   101.6
19180901 19180930    20.5
19181001 19181031    21.9
19181101 19181130    10.3
19181201 19181231    12.1
19190101 19190131     5.7
19190201 19190228    21.6
19190301 19190331    45.2
19190401 19190430    17.3
19190501 19190531    49.5
19190601 19190630    27.3
19190701 19190731    11.9
19190801 19190831    47.7
19190901 19190930    25.5
19191001 19191031    33.8
19191101 19191130     4.9
19191201 19191231   109.9
19200101 19200131    36.0
19200201 19200229     4.1
19200301 19200331    51.8
19200401 19200430    20.8
19200501 19200531     6.1
19200601 19200630   135.1
19200701 19200731   104.1
19200801 19200831   104.0
19200901 19200930    61.5
19201001 19201031    41.4
19201101 19201130    60.6
19201201 19201231   137.7
19210101 19210131    27.4
19210201 19210228    29.5
19210301 19210331    36.0
19210401 19210430    81.2
19210501 19210531    97.3
19210601 19210630    57.9
19210701 19210731    75.0
19210801 19210831    71.7
19210901 19210930    60.1
19211001 19211031    54.8
19211101 19211130    30.2
19211201 19211231    27.4
19220101 19220131    47.5
19220201 19220228    61.0
19220301 19220331    31.0
19220401 19220430   130.8
19220501 19220531    33.5
19220601 19220630    30.7
19220701 19220731   183.2
19220801 19220831    41.4
19220901 19220930    43.4
19221001 19221031    48.9
19221101 19221130     0.0
19221201 19221231   116.1
19230101 19230131    58.7
19230201 19230228     0.0
19230301 19230331    19.6
19230401 19230430     0.5
19230501 19230531    57.2
19230601 19230630   200.3
19230701 19230731   118.2
19230801 19230831    60.2
19230901 19230930   128.0
19231001 19231031   110.6
19231101 19231130    57.0
19231201 19231231    92.6
19240101 19240131    34.1
19240201 19240229   128.8
19240301 19240331     0.0
19240401 19240430    63.4
19240501 19240531    42.6
19240601 19240630    39.6
19240701 19240731    30.1
19240801 19240831    76.6
19240901 19240930    78.2
19241001 19241031    50.1
19241101 19241130   130.8
19241201 19241231    27.7
19250101 19250131    61.2
19250201 19250228    41.2
19250301 19250331    20.0
19250401 19250430    10.9
19250501 19250531   207.8
19250601 19250630   147.8
19250701 19250731    44.7
19250801 19250831    81.6
19250901 19250930    43.1
19251001 19251031    27.4
19251101 19251130    40.5
19251201 19251231     7.4
19260101 19260131    46.7
19260201 19260228    17.7
19260301 19260331   108.7
19260401 19260430    96.5
19260501 19260531    93.4
19260601 19260630    70.0
19260701 19260731    55.0
19260801 19260831    64.9
19260901 19260930    61.2
19261001 19261031    36.6
19261101 19261130    17.3
19261201 19261231    44.7
19270101 19270131    70.0
19270201 19270228     8.1
19270301 19270331    24.1
19270401 19270430     7.9
19270501 19270531    72.2
19270601 19270630    11.7
19270701 19270731    47.7
19270801 19270831    58.5
19270901 19270930    35.3
19271001 19271031    89.8
19271101 19271130    98.6
19271201 19271231     6.8
19280101 19280131    24.7
19280201 19280229   119.1
19280301 19280331   102.4
19280401 19280430    70.1
19280501 19280531    40.7
19280601 19280630    64.8
19280701 19280731    78.5
19280801 19280831    22.1
19280901 19280930    31.9
19281001 19281031    47.7
19281101 19281130    21.1
19281201 19281231     1.8
19290101 19290131    13.4
19290201 19290228    52.0
19290301 19290331    82.5
19290401 19290430    49.8
19290501 19290531    17.1
19290601 19290630    49.0
19290701 19290731    22.7
19290801 19290831    84.8
19290901 19290930    35.5
19291001 19291031    25.6
19291101 19291130    74.1
19291201 19291231   112.5
19300101 19300131     7.6
19300201 19300228     9.7
19300301 19300331     0.5
19300401 19300430    50.3
19300501 19300531    45.1
19300601 19300630    74.4
19300701 19300731    63.3
19300801 19300831    87.0
19300901 19300930    46.9
19301001 19301031   139.1
19301101 19301130    35.2
19301201 19301231    65.0
19310101 19310131    35.2
19310201 19310228    16.3
19310301 19310331   142.9
19310401 19310430    77.7
19310501 19310531   199.4
19310601 19310630   149.9
19310701 19310731    48.4
19310801 19310831    63.4
19310901 19310930    85.0
19311001 19311031    31.8
19311101 19311130    51.1
19311201 19311231    58.7
19320101 19320131     0.0
19320201 19320229    10.5
19320301 19320331    96.8
19320401 19320430    60.7
19320501 19320531    19.5
19320601 19320630    68.6
19320701 19320731    50.0
19320801 19320831    86.1
19320901 19320930    11.5
19321001 19321031    17.8
19321101 19321130    91.1
19321201 19321231    25.9
19330101 19330131    28.7
19330201 19330228     0.0
19330301 19330331    13.2
19330401 19330430    44.6
19330501 19330531    47.0
19330601 19330630    28.3
19330701 19330731    73.8
19330801 19330831    23.4
19330901 19330930    78.2
19331001 19331031    29.6
19331101 19331130    40.7
19331201 19331231    97.6
19340101 19340131    95.2
19340201 19340228   148.7
19340301 19340331     1.8
19340401 19340430   117.9
19340501 19340531     0.0
19340601 19340630    59.1
19340701 19340731    87.9
19340801 19340831   123.7
19340901 19340930    44.9
19341001 19341031   151.9
19341101 19341130   106.6
19341201 19341231    25.9
19350101 19350131    63.0
19350201 19350228    44.5
19350301 19350331    25.1
19350401 19350430   134.2
19350501 19350531     9.1
19350601 19350630    22.0
19350701 19350731    67.0
19350801 19350831    50.5
19350901 19350930    53.5
19351001 19351031    75.0
19351101 19351130    24.9
19351201 19351231    42.2
19360101 19360131    82.0
19360201 19360229    84.5
19360301 19360331    75.4
19360401 19360430    51.9
19360501 19360531    22.8
19360601 19360630   111.6
19360701 19360731   139.6
19360801 19360831    65.1
19360901 19360930    25.4
19361001 19361031    32.5
19361101 19361130    17.0
19361201 19361231   102.1
19370101 19370131    65.5
19370201 19370228     1.5
19370301 19370331    99.1
19370401 19370430    22.6
19370501 19370531    27.2
19370601 19370630    24.7
19370701 19370731    16.0
19370801 19370831    53.7
19370901 19370930    86.2
19371001 19371031    96.9
19371101 19371130    58.9
19371201 19371231    53.3
19380101 19380131    72.7
19380201 19380228    39.7
19380301 19380331     9.9
19380401 19380430    66.2
19380501 19380531    30.2
19380601 19380630    60.8
19380701 19380731    42.7
19380801 19380831    97.0
19380901 19380930    26.3
19381001 19381031   103.2
19381101 19381130    15.0
19381201 19381231     2.3
19390101 19390131    17.0
19390201 19390228    35.9
19390301 19390331    75.2
19390401 19390430    92.1
19390501 19390531    21.3
19390601 19390630   111.9
19390701 19390731    17.8
19390801 19390831   135.8
19390901 19390930    24.2
