PRCP       073012 19070401 20130331 missing_value=99999.9 HARDEN (DUNOLLY)                          
19070401 19070430     8.2
19070501 19070531     9.8
19070601 19070630    57.0
19070701 19070731    34.7
19070801 19070831    38.5
19070901 19070930    33.7
19071001 19071031    46.7
19071101 19071130    62.9
19071201 19071231    57.0
19080101 19080131    47.7
19080201 19080229    78.8
19080301 19080331    21.6
19080401 19080430    48.8
19080501 19080531    35.7
19080601 19080630    56.5
19080701 19080731    44.0
19080801 19080831    40.2
19080901 19080930    61.4
19081001 19081031    19.3
19081101 19081130    42.2
19081201 19081231    13.3
19090101 19090131    25.9
19090201 19090228    91.4
19090301 19090331    56.1
19090401 19090430    30.6
19090501 19090531    40.0
19090601 19090630    71.8
19090701 19090731    20.6
19090801 19090831    86.3
19090901 19090930    28.8
19091001 19091031    22.1
19091101 19091130    10.1
19091201 19091231     7.7
19100101 19100131   107.7
19100201 19100228     0.0
19100301 19100331    38.3
19100401 19100430    10.3
19100501 19100531    44.4
19100601 19100630    90.1
19100701 19100731    55.6
19100801 19100831    17.9
19100901 19100930    76.4
19101001 19101031    32.4
19101101 19101130    52.9
19101201 19101231    40.3
19110101 19110131    99.4
19110201 19110228    64.0
19110301 19110331    35.5
19110401 19110430     0.0
19110501 19110531    64.2
19110601 19110630    42.0
19110701 19110731    36.3
19110801 19110831     7.7
19110901 19110930    67.2
19111001 19111031    23.4
19111101 19111130    70.4
19111201 19111231   122.6
19120101 19120131     2.5
19120201 19120229    41.3
19120301 19120331     8.7
19120401 19120430     1.3
19120501 19120531     0.0
19120601 19120630    64.0
19120701 19120731    81.5
19120801 19120831    92.5
19120901 19120930    35.0
19121001 19121031    19.5
19121101 19121130    39.5
19121201 19121231    38.0
19130101 19130131    35.5
19130201 19130228    23.8
19130301 19130331    87.2
19130401 19130430     6.2
19130501 19130531    51.6
19130601 19130630    42.3
19130701 19130731     9.0
19130801 19130831    21.3
19130901 19130930    12.5
19131001 19131031    41.9
19131101 19131130    12.8
19131201 19131231    31.0
19140101 19140131    23.4
19140201 19140228     3.8
19140301 19140331    63.0
19140401 19140430    58.0
19140501 19140531    16.7
19140601 19140630    29.3
19140701 19140731    30.8
19140801 19140831     1.3
19140901 19140930    20.7
19141001 19141031    20.8
19141101 19141130    33.3
19141201 19141231    50.1
19150101 19150131     0.0
19150201 19150228    34.1
19150301 19150331    16.7
19150401 19150430    26.5
19150501 19150531    48.5
19150601 19150630    59.8
19150701 19150731    50.2
19150801 19150831    41.8
19150901 19150930    70.5
19151001 19151031    52.3
19151101 19151130     0.0
19151201 19151231    37.8
19160101 19160131    34.7
19160201 19160229    14.4
19160301 19160331    25.2
19160401 19160430   113.6
19160501 19160531    20.3
19160601 19160630   109.0
19160701 19160731    73.5
19160801 19160831   118.9
19160901 19160930    65.0
19161001 19161031   120.5
19161101 19161130    77.1
19161201 19161231    58.1
19170101 19170131    69.6
19170201 19170228    22.0
19170301 19170331    43.1
19170401 19170430    24.7
19170501 19170531    35.8
19170601 19170630   104.8
19170701 19170731    76.1
19170801 19170831    85.4
