PRCP       074128 18700101 20180131 missing_value=99999.9 DENILIQUIN POST OFFICE                    
18700101 18700131    28.5
18700201 18700228     0.0
18700301 18700331     8.1
18700401 18700430    71.5
18700501 18700531    85.8
18700601 18700630    73.7
18700701 18700731     9.4
18700801 18700831    65.6
18700901 18700930   109.0
18701001 18701031   124.7
18701101 18701130     6.9
18701201 18701231    42.9
18710101 18710131    41.6
18710201 18710228   100.4
18710301 18710331     0.3
18710401 18710430    16.8
18710501 18710531    78.3
18710601 18710630    22.3
18710701 18710731    20.0
18710801 18710831    17.1
18710901 18710930    72.9
18711001 18711031    42.1
18711101 18711130    87.9
18711201 18711231    28.0
18720101 18720131     3.6
18720201 18720229     4.3
18720301 18720331    14.5
18720401 18720430    19.8
18720501 18720531    24.3
18720601 18720630    98.9
18720701 18720731    43.9
18720801 18720831    25.8
18720901 18720930    42.4
18721001 18721031    72.9
18721101 18721130    75.3
18721201 18721231    15.8
18730101 18730131   142.5
18730201 18730228    97.3
18730301 18730331     0.3
18730401 18730430    60.4
18730501 18730531    41.8
18730601 18730630    33.7
18730701 18730731    19.0
18730801 18730831    58.6
18730901 18730930    51.2
18731001 18731031    18.5
18731101 18731130    37.2
18731201 18731231    11.9
18740101 18740131    43.4
18740201 18740228     0.0
18740301 18740331    85.1
18740401 18740430    75.5
18740501 18740531    48.0
18740601 18740630    48.4
18740701 18740731    39.1
18740801 18740831    18.1
18740901 18740930    63.5
18741001 18741031    38.1
18741101 18741130     1.3
18741201 18741231     3.5
18750101 18750131     1.5
18750201 18750228    50.6
18750301 18750331     2.0
18750401 18750430    39.5
18750501 18750531    83.2
18750601 18750630   128.2
18750701 18750731    44.0
18750801 18750831   103.1
18750901 18750930    41.9
18751001 18751031    41.2
18751101 18751130    22.1
18751201 18751231    37.6
18760101 18760131    10.9
18760201 18760229     5.8
18760301 18760331    37.4
18760401 18760430     1.0
18760501 18760531    90.9
18760601 18760630     2.3
18760701 18760731     4.4
18760801 18760831    45.4
18760901 18760930    39.0
18761001 18761031    16.8
18761101 18761130    93.4
18761201 18761231     0.0
18770101 18770131    15.0
18770201 18770228    17.0
18770301 18770331    63.2
18770401 18770430     8.3
18770501 18770531    54.3
18770601 18770630    39.7
18770701 18770731    21.9
18770801 18770831     2.8
18770901 18770930    68.6
18771001 18771031    19.3
18771101 18771130    10.9
18771201 18771231     0.0
18780101 18780131     0.0
18780201 18780228   187.7
18780301 18780331   225.5
18780401 18780430    59.0
18780501 18780531     7.4
18780601 18780630    31.0
18780701 18780731    81.8
18780801 18780831    16.2
18780901 18780930    25.3
18781001 18781031    61.4
18781101 18781130    19.1
18781201 18781231     0.0
18790101 18790131    12.7
18790201 18790228     3.8
18790301 18790331    10.9
18790401 18790430    49.5
18790501 18790531    24.0
18790601 18790630    18.0
18790701 18790731    31.0
18790801 18790831    48.0
18790901 18790930    35.8
18791001 18791031    87.7
18791101 18791130    32.9
18791201 18791231     8.4
18800101 18800131    15.3
18800201 18800229    57.6
18800301 18800331    67.1
18800401 18800430   101.5
18800501 18800531    11.2
18800601 18800630    18.3
18800701 18800731    10.7
18800801 18800831     9.8
18800901 18800930    46.2
18801001 18801031    19.1
18801101 18801130     9.1
18801201 18801231     4.8
18810101 18810131    12.7
18810201 18810228    59.2
18810301 18810331    65.4
18810401 18810430     3.5
18810501 18810531    49.2
18810601 18810630    43.2
18810701 18810731    11.1
18810801 18810831    19.5
18810901 18810930    24.3
18811001 18811031    24.7
18811101 18811130    19.3
18811201 18811231    13.7
18820101 18820131     0.0
18820201 18820228     0.5
18820301 18820331     1.8
18820401 18820430    67.9
18820501 18820531    34.2
18820601 18820630    14.5
18820701 18820731    27.9
18820801 18820831    55.0
18820901 18820930     8.6
18821001 18821031    90.5
18821101 18821130    65.8
18821201 18821231    18.8
18830101 18830131     3.0
18830201 18830228    26.2
18830301 18830331    52.6
18830401 18830430    19.1
18830501 18830531    49.6
18830601 18830630    35.6
18830701 18830731     9.2
18830801 18830831    45.5
18830901 18830930    40.0
18831001 18831031    47.6
18831101 18831130    33.1
18831201 18831231    15.2
18840101 18840131    10.4
18840201 18840229    11.7
18840301 18840331    39.8
18840401 18840430    21.1
18840501 18840531    35.8
18840601 18840630    53.3
18840701 18840731     1.5
18840801 18840831    19.5
18840901 18840930    24.7
18841001 18841031    18.1
18841101 18841130    35.5
18841201 18841231     5.3
18850101 18850131    17.8
18850201 18850228    38.9
18850301 18850331    39.3
18850401 18850430    54.5
18850501 18850531    14.8
18850601 18850630    29.6
18850701 18850731    38.2
18850801 18850831    16.5
18850901 18850930    68.3
18851001 18851031    18.0
18851101 18851130    12.4
18851201 18851231    75.7
18860101 18860131    47.0
18860201 18860228     2.6
18860301 18860331     6.1
18860401 18860430     1.3
18860501 18860531    19.1
18860601 18860630    18.8
18860701 18860731    31.7
18860801 18860831    75.7
18860901 18860930    50.0
18861001 18861031    26.9
18861101 18861130    26.3
18861201 18861231    48.8
18870101 18870131     6.4
18870201 18870228    62.3
18870301 18870331    53.8
18870401 18870430    59.7
18870501 18870531    35.0
18870601 18870630    54.7
18870701 18870731    37.6
18870801 18870831    40.8
18870901 18870930    34.3
18871001 18871031    44.1
18871101 18871130    83.9
18871201 18871231    45.5
18880101 18880131    28.2
18880201 18880229     7.6
18880301 18880331    12.3
18880401 18880430     6.1
18880501 18880531    55.0
18880601 18880630    21.3
18880701 18880731     8.0
18880801 18880831    12.2
18880901 18880930    32.2
18881001 18881031     6.9
18881101 18881130     7.3
18881201 18881231    27.6
18890101 18890131    72.5
18890201 18890228    56.1
18890301 18890331     0.0
18890401 18890430   111.1
18890501 18890531   116.7
18890601 18890630    59.7
18890701 18890731     4.8
18890801 18890831    86.4
18890901 18890930    62.2
18891001 18891031    33.3
18891101 18891130    58.7
18891201 18891231     1.0
18900101 18900131     1.5
18900201 18900228     0.8
18900301 18900331    72.4
18900401 18900430    25.7
18900501 18900531    51.6
18900601 18900630    80.5
18900701 18900731    70.3
18900801 18900831    39.8
18900901 18900930    17.3
18901001 18901031    39.0
18901101 18901130    33.3
18901201 18901231    26.4
18910101 18910131    80.8
18910201 18910228     0.0
18910301 18910331    48.8
18910401 18910430   105.3
18910501 18910531     9.7
18910601 18910630    60.3
18910701 18910731    79.7
18910801 18910831    42.4
18910901 18910930    29.0
18911001 18911031    47.0
18911101 18911130    41.7
18911201 18911231     1.3
18920101 18920131     4.6
18920201 18920229     6.4
18920301 18920331     0.0
18920401 18920430    20.9
18920501 18920531    89.9
18920601 18920630    21.6
18920701 18920731    41.7
18920801 18920831    73.0
18920901 18920930    40.9
18921001 18921031    90.2
18921101 18921130    30.2
18921201 18921231    10.2
18930101 18930131     1.6
18930201 18930228     1.5
18930301 18930331     0.5
18930401 18930430    36.5
18930501 18930531    98.3
18930601 18930630    58.0
18930701 18930731    20.2
18930801 18930831    37.8
18930901 18930930    42.0
18931001 18931031    37.4
18931101 18931130    41.6
18931201 18931231    10.7
18940101 18940131     1.5
18940201 18940228     7.6
18940301 18940331    99.8
18940401 18940430    55.3
18940501 18940531    15.3
18940601 18940630    97.6
18940701 18940731    41.5
18940801 18940831    45.5
18940901 18940930    30.0
18941001 18941031   117.9
18941101 18941130     8.4
18941201 18941231    91.6
18950101 18950131    40.3
18950201 18950228    43.9
18950301 18950331    34.0
18950401 18950430    37.2
18950501 18950531    11.5
18950601 18950630    44.7
18950701 18950731    15.5
18950801 18950831    25.7
18950901 18950930    10.2
18951001 18951031    25.6
18951101 18951130     0.0
18951201 18951231    31.2
18960101 18960131    10.0
18960201 18960229    53.6
18960301 18960331    37.1
18960401 18960430    47.7
18960501 18960531    30.8
18960601 18960630    32.6
18960701 18960731    13.0
18960801 18960831    20.4
18960901 18960930    30.5
18961001 18961031     0.3
18961101 18961130    11.4
18961201 18961231    15.5
18970101 18970131    62.6
18970201 18970228     0.8
18970301 18970331     8.4
18970401 18970430     1.3
18970501 18970531     6.8
18970601 18970630    65.8
18970701 18970731    33.9
18970801 18970831    65.8
18970901 18970930    48.4
18971001 18971031    10.2
18971101 18971130    12.1
18971201 18971231    10.1
18980101 18980131     0.0
18980201 18980228    59.0
18980301 18980331     5.1
18980401 18980430    16.2
18980501 18980531    26.9
18980601 18980630    72.4
18980701 18980731    21.1
18980801 18980831    33.5
18980901 18980930    29.8
18981001 18981031    26.7
18981101 18981130    14.5
18981201 18981231    48.2
18990101 18990131    24.4
18990201 18990228    21.9
18990301 18990331    43.1
18990401 18990430    27.9
18990501 18990531     8.1
18990601 18990630    81.0
18990701 18990731     8.7
18990801 18990831    24.8
18990901 18990930    18.2
18991001 18991031    14.3
18991101 18991130    78.6
18991201 18991231     2.6
19000101 19000131    20.1
19000201 19000228     0.0
19000301 19000331    56.4
19000401 19000430    50.3
19000501 19000531    51.4
19000601 19000630    47.8
19000701 19000731    31.8
19000801 19000831    43.3
19000901 19000930    13.2
19001001 19001031     4.4
