PRCP       075012 18960101 20180131 missing_value=99999.9 WAKOOL (CALIMO)                           
18960101 18960131    15.2
18960201 18960229    19.8
18960301 18960331    38.9
18960401 18960430    47.0
18960501 18960531    42.7
18960601 18960630    36.3
18960701 18960731    10.9
18960801 18960831    38.6
18960901 18960930    34.3
18961001 18961031     0.0
18961101 18961130     9.1
18961201 18961231    24.6
18970101 18970131    51.3
18970201 18970228     4.3
18970301 18970331     7.1
18970401 18970430     0.0
18970501 18970531     4.6
18970601 18970630    71.6
18970701 18970731    27.7
18970801 18970831    75.9
18970901 18970930    30.7
18971001 18971031    11.4
18971101 18971130    14.0
18971201 18971231    11.7
18980101 18980131     0.0
18980201 18980228    37.6
18980301 18980331     3.0
18980401 18980430    10.7
18980501 18980531    22.9
18980601 18980630    89.2
18980701 18980731    21.1
18980801 18980831    39.1
18980901 18980930    26.9
18981001 18981031    22.9
18981101 18981130    17.0
18981201 18981231    80.0
18990101 18990131    25.4
18990201 18990228    19.6
18990301 18990331    28.2
18990401 18990430    28.4
18990501 18990531    12.2
18990601 18990630    78.0
18990701 18990731    13.7
18990801 18990831    21.8
18990901 18990930    12.7
18991001 18991031     7.4
18991101 18991130    49.8
18991201 18991231     0.0
19000101 19000131    14.2
19000201 19000228     0.0
19000301 19000331    40.1
19000401 19000430    72.6
19000501 19000531    41.7
19000601 19000630    39.6
19000701 19000731    29.5
19000801 19000831    36.1
19000901 19000930    13.7
19001001 19001031     1.5
19001101 19001130    18.8
19001201 19001231     1.3
19010101 19010131     6.1
19010201 19010228     6.6
19010301 19010331     1.3
19010401 19010430    44.2
19010501 19010531     1.3
19010601 19010630    18.0
19010701 19010731    25.1
19010801 19010831    47.2
19010901 19010930    32.3
19011001 19011031    21.8
19011101 19011130     3.8
19011201 19011231     5.6
19020101 19020131    17.0
19020201 19020228     0.8
19020301 19020331    17.8
19020401 19020430     0.0
19020501 19020531     4.3
19020601 19020630    29.7
19020701 19020731     6.4
19020801 19020831     9.9
19020901 19020930    10.2
19021001 19021031    31.2
19021101 19021130     4.6
19021201 19021231    59.7
19030101 19030131     0.8
19030201 19030228     6.9
19030301 19030331    41.1
19030401 19030430    46.2
19030501 19030531     8.9
19030601 19030630    31.0
19030701 19030731    40.9
19030801 19030831     5.8
19030901 19030930    73.2
19031001 19031031    19.3
19031101 19031130    67.3
19031201 19031231    34.8
19040101 19040131    67.6
19040201 19040229     0.0
19040301 19040331     3.0
19040401 19040430    15.0
19040501 19040531    15.5
19040601 19040630    29.7
19040701 19040731    54.4
19040801 19040831    38.9
19040901 19040930     6.4
19041001 19041031    70.1
19041101 19041130    14.2
19041201 19041231    11.2
19050101 19050131    27.4
19050201 19050228    49.5
19050301 19050331     0.0
19050401 19050430    93.0
19050501 19050531    34.5
19050601 19050630    21.6
19050701 19050731    70.6
19050801 19050831     8.6
19050901 19050930    23.4
19051001 19051031    28.4
19051101 19051130     1.0
19051201 19051231     4.1
19060101 19060131     0.0
19060201 19060228    35.6
19060301 19060331   143.0
19060401 19060430     2.0
19060501 19060531   108.7
19060601 19060630    40.6
19060701 19060731    22.1
19060801 19060831    56.6
19060901 19060930   149.4
19061001 19061031    42.9
19061101 19061130    95.5
19061201 19061231    22.9
19070101 19070131     3.8
19070201 19070228    19.1
19070301 19070331     0.5
19070401 19070430    29.5
19070501 19070531    29.2
19070601 19070630    54.4
19070701 19070731    38.1
19070801 19070831    29.0
19070901 19070930    11.4
19071001 19071031    10.4
19071101 19071130    39.6
19071201 19071231    32.5
19080101 19080131    15.7
19080201 19080229    24.4
19080301 19080331     4.1
19080401 19080430     6.4
19080501 19080531    34.5
19080601 19080630    58.7
19080701 19080731    17.5
19080801 19080831    36.1
19080901 19080930    20.6
19081001 19081031    36.8
19081101 19081130     2.5
19081201 19081231     8.1
19090101 19090131     1.5
19090201 19090228    17.8
19090301 19090331    20.3
19090401 19090430    39.4
19090501 19090531    77.0
19090601 19090630    57.9
19090701 19090731    31.5
19090801 19090831    69.1
19090901 19090930    14.5
19091001 19091031    20.1
19091101 19091130     7.1
19091201 19091231     4.1
19100101 19100131    21.6
19100201 19100228     0.0
19100301 19100331    62.5
19100401 19100430     0.0
19100501 19100531    46.0
19100601 19100630    77.0
19100701 19100731    45.2
19100801 19100831    25.7
