PRCP       075050 19100101 20151031 missing_value=99999.9 NARADHAN (URALBA)                         
19100101 19100131    87.7
19100201 19100228     0.0
19100301 19100331    17.9
19100401 19100430     0.0
19100501 19100531    22.1
19100601 19100630    62.7
19100701 19100731    26.1
19100801 19100831    14.1
19100901 19100930    34.1
19101001 19101031    14.0
19101101 19101130    31.2
19101201 19101231    42.7
19110101 19110131   128.4
19110201 19110228    88.4
19110301 19110331    15.9
19110401 19110430     0.0
19110501 19110531    52.4
19110601 19110630    18.6
19110701 19110731    36.6
19110801 19110831     8.2
19110901 19110930    18.2
19111001 19111031     7.7
19111101 19111130    36.4
19111201 19111231    57.7
19120101 19120131     8.7
19120201 19120229     5.9
19120301 19120331     7.5
19120401 19120430     0.0
19120501 19120531     6.1
19120601 19120630    50.1
19120701 19120731    72.6
19120801 19120831    52.0
19120901 19120930    52.2
19121001 19121031    48.4
19121101 19121130    54.8
19121201 19121231    30.6
19130101 19130131    22.8
19130201 19130228    64.9
19130301 19130331   112.5
19130401 19130430     0.5
19130501 19130531    96.3
19130601 19130630    46.6
19130701 19130731    26.1
19130801 19130831     4.6
19130901 19130930    13.8
19131001 19131031    51.7
19131101 19131130     0.3
19131201 19131231    25.3
19140101 19140131     3.1
19140201 19140228     7.5
19140301 19140331    16.9
19140401 19140430    12.6
19140501 19140531    32.2
19140601 19140630    16.1
19140701 19140731     2.8
19140801 19140831     0.0
19140901 19140930     4.8
19141001 19141031    21.3
19141101 19141130    29.7
19141201 19141231    32.9
19150101 19150131    15.6
19150201 19150228     6.4
19150301 19150331     0.3
19150401 19150430     5.9
19150501 19150531    46.4
19150601 19150630    37.2
19150701 19150731    45.9
19150801 19150831    41.7
19150901 19150930    27.8
19151001 19151031    22.5
19151101 19151130     0.8
19151201 19151231    36.4
19160101 19160131    39.5
19160201 19160229    16.7
19160301 19160331     9.0
19160401 19160430    22.0
19160501 19160531    17.8
19160601 19160630    74.7
19160701 19160731    39.2
19160801 19160831    48.2
19160901 19160930    78.0
19161001 19161031    35.9
19161101 19161130    85.0
19161201 19161231    30.7
19170101 19170131    38.3
19170201 19170228    56.9
19170301 19170331    17.1
19170401 19170430     3.6
19170501 19170531    15.6
19170601 19170630    40.5
19170701 19170731    60.7
19170801 19170831    52.0
19170901 19170930    35.6
19171001 19171031    42.5
19171101 19171130    95.8
19171201 19171231    28.6
19180101 19180131    57.6
19180201 19180228    15.8
19180301 19180331    15.3
19180401 19180430    20.3
19180501 19180531    25.1
19180601 19180630    33.1
19180701 19180731    18.1
19180801 19180831    49.3
19180901 19180930    11.8
19181001 19181031    20.3
19181101 19181130     1.8
19181201 19181231     1.0
19190101 19190131     8.7
19190201 19190228    21.0
19190301 19190331     9.0
19190401 19190430     9.0
19190501 19190531   101.9
19190601 19190630     1.8
19190701 19190731     2.3
19190801 19190831    14.1
19190901 19190930     7.8
19191001 19191031     9.1
19191101 19191130     1.8
19191201 19191231    38.9
19200101 19200131     2.0
19200201 19200229     2.3
19200301 19200331    14.7
19200401 19200430    16.6
19200501 19200531     1.8
19200601 19200630    55.8
19200701 19200731    56.9
19200801 19200831    64.3
19200901 19200930    72.8
19201001 19201031    67.0
19201101 19201130    36.7
19201201 19201231    43.3
19210101 19210131    35.1
19210201 19210228    38.4
19210301 19210331    53.0
19210401 19210430    35.6
19210501 19210531    60.5
19210601 19210630    40.0
19210701 19210731     8.5
19210801 19210831    28.4
19210901 19210930    42.5
19211001 19211031    23.4
19211101 19211130     0.0
19211201 19211231   115.5
19220101 19220131    24.4
