PRCP       076031 19080701 20180131 missing_value=99999.9 MILDURA AIRPORT                           
19080701 19080731    14.1
19080801 19080831    30.7
19080901 19080930    42.2
19081001 19081031    61.4
19081101 19081130     8.4
19081201 19081231     7.5
19090101 19090131     5.4
19090201 19090228     5.3
19090301 19090331    35.7
19090401 19090430    12.9
19090501 19090531    67.0
19090601 19090630    80.9
19090701 19090731    13.6
19090801 19090831    59.2
19090901 19090930    18.3
19091001 19091031     7.2
19091101 19091130    16.6
19091201 19091231     4.8
19100101 19100131    31.6
19100201 19100228     0.3
19100301 19100331    72.4
19100401 19100430     2.5
19100501 19100531    41.2
19100601 19100630    58.1
19100701 19100731    22.7
19100801 19100831    26.7
19100901 19100930    52.3
19101001 19101031    17.4
19101101 19101130    21.5
19101201 19101231     8.2
19110101 19110131    23.4
19110201 19110228   138.8
19110301 19110331    10.7
19110401 19110430     0.0
19110501 19110531    32.1
19110601 19110630    11.2
19110701 19110731    15.3
19110801 19110831     9.8
19110901 19110930    47.7
19111001 19111031    19.7
19111101 19111130     6.2
19111201 19111231    60.9
19120101 19120131     0.0
19120201 19120229    19.4
19120301 19120331     2.0
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    76.8
19120701 19120731    11.8
19120801 19120831    41.2
19120901 19120930    13.8
19121001 19121031     1.6
19121101 19121130    60.1
19121201 19121231    17.9
19130101 19130131     0.0
19130201 19130228    16.9
19130301 19130331    86.0
19130401 19130430    24.9
19130501 19130531    19.5
19130601 19130630     0.0
19130701 19130731     1.8
19130801 19130831     9.5
19130901 19130930    29.5
19131001 19131031    80.4
19131101 19131130     6.1
19131201 19131231    25.0
19140101 19140131     8.6
19140201 19140228     9.4
19140301 19140331    25.2
19140401 19140430    27.4
19140501 19140531     8.9
19140601 19140630     3.1
19140701 19140731     3.2
19140801 19140831     0.0
19140901 19140930     1.6
19141001 19141031     0.0
19141101 19141130    28.3
19141201 19141231    18.7
19150101 19150131     9.1
19150201 19150228     0.0
19150301 19150331     0.0
19150401 19150430    17.2
19150501 19150531    29.5
19150601 19150630    24.6
19150701 19150731    31.7
19150801 19150831    32.7
19150901 19150930    67.5
19151001 19151031    14.7
19151101 19151130     0.0
19151201 19151231     0.0
19160101 19160131    36.2
19160201 19160229     1.3
19160301 19160331     0.8
19160401 19160430     3.5
19160501 19160531    19.1
19160601 19160630    53.3
19160701 19160731    44.9
19160801 19160831    65.7
19160901 19160930    87.6
19161001 19161031    24.5
19161101 19161130    47.7
19161201 19161231    43.0
19170101 19170131    46.0
19170201 19170228    65.9
19170301 19170331    15.1
19170401 19170430     0.3
19170501 19170531    36.4
19170601 19170630    45.2
19170701 19170731    50.3
19170801 19170831    76.8
19170901 19170930    62.2
19171001 19171031    71.3
19171101 19171130    57.6
19171201 19171231     9.4
19180101 19180131    32.1
19180201 19180228    16.1
19180301 19180331    38.0
19180401 19180430    35.9
19180501 19180531    77.3
19180601 19180630    25.1
19180701 19180731    11.4
19180801 19180831    29.3
19180901 19180930     3.3
19181001 19181031    25.1
19181101 19181130     4.8
19181201 19181231     7.9
19190101 19190131     6.4
19190201 19190228    30.9
19190301 19190331     1.6
19190401 19190430    10.5
19190501 19190531    64.6
19190601 19190630    17.2
19190701 19190731     4.4
19190801 19190831     2.0
19190901 19190930    10.7
19191001 19191031    13.3
19191101 19191130     6.6
19191201 19191231    28.8
19200101 19200131     5.8
19200201 19200229     0.0
19200301 19200331     4.3
19200401 19200430     9.4
19200501 19200531    15.3
19200601 19200630    22.0
19200701 19200731    13.7
19200801 19200831    71.9
19200901 19200930    55.4
19201001 19201031    35.9
19201101 19201130    74.5
19201201 19201231    36.5
19210101 19210131    27.3
19210201 19210228    58.6
19210301 19210331    48.9
19210401 19210430     0.5
19210501 19210531    43.8
19210601 19210630    30.6
19210701 19210731    10.2
19210801 19210831    20.4
19210901 19210930    67.1
19211001 19211031    16.4
19211101 19211130     3.6
19211201 19211231    11.5
19220101 19220131     8.6
19220201 19220228    13.4
19220301 19220331     0.0
19220401 19220430    36.2
19220501 19220531    21.9
19220601 19220630    25.0
19220701 19220731    30.6
19220801 19220831     7.7
19220901 19220930    18.1
19221001 19221031    16.9
19221101 19221130     0.0
19221201 19221231    24.0
19230101 19230131     0.0
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     0.8
19230501 19230531    32.3
19230601 19230630    96.0
19230701 19230731    61.3
19230801 19230831    12.9
19230901 19230930    25.0
19231001 19231031     3.3
19231101 19231130     1.5
19231201 19231231    27.2
19240101 19240131     8.9
19240201 19240229    35.9
19240301 19240331    15.6
19240401 19240430     5.1
19240501 19240531    10.1
19240601 19240630    26.2
19240701 19240731     1.3
19240801 19240831    32.7
19240901 19240930    33.0
19241001 19241031    52.5
19241101 19241130    35.1
19241201 19241231    40.6
19250101 19250131    17.4
19250201 19250228     9.1
19250301 19250331    15.8
19250401 19250430     0.8
19250501 19250531    52.9
19250601 19250630     8.7
19250701 19250731    18.5
19250801 19250831    12.0
19250901 19250930    25.1
19251001 19251031     2.0
19251101 19251130     8.6
19251201 19251231     0.0
19260101 19260131     2.3
19260201 19260228     0.0
19260301 19260331    25.7
19260401 19260430    19.7
19260501 19260531    77.4
19260601 19260630    26.0
19260701 19260731    11.0
19260801 19260831    37.8
19260901 19260930    19.6
19261001 19261031     6.4
19261101 19261130     0.8
19261201 19261231     4.3
19270101 19270131     8.9
19270201 19270228     2.6
19270301 19270331     2.3
19270401 19270430     0.0
19270501 19270531    11.9
19270601 19270630    10.3
19270701 19270731    21.0
19270801 19270831    10.9
19270901 19270930    11.5
19271001 19271031    16.9
19271101 19271130    24.5
19271201 19271231    12.2
19280101 19280131    13.5
19280201 19280229    67.9
19280301 19280331    33.0
19280401 19280430     2.0
19280501 19280531     1.8
19280601 19280630    27.9
19280701 19280731    21.1
19280801 19280831     1.3
19280901 19280930    14.8
19281001 19281031    11.0
19281101 19281130     0.0
19281201 19281231     3.8
19290101 19290131     0.8
19290201 19290228    17.1
19290301 19290331     4.3
19290401 19290430     6.6
19290501 19290531     2.3
19290601 19290630     1.8
19290701 19290731     2.6
19290801 19290831     7.5
19290901 19290930     6.3
19291001 19291031    10.7
19291101 19291130    31.9
19291201 19291231    66.6
19300101 19300131     0.0
19300201 19300228     3.5
19300301 19300331    22.2
19300401 19300430     8.9
19300501 19300531    65.3
19300601 19300630     0.0
19300701 19300731    19.7
19300801 19300831    42.3
19300901 19300930     6.7
19301001 19301031    51.9
19301101 19301130    14.3
19301201 19301231    57.8
19310101 19310131     4.3
19310201 19310228     0.0
19310301 19310331    54.6
19310401 19310430    60.9
19310501 19310531    27.6
19310601 19310630    74.7
19310701 19310731    15.8
19310801 19310831     7.2
19310901 19310930    20.6
19311001 19311031    17.4
19311101 19311130    19.6
19311201 19311231     0.0
19320101 19320131     2.3
19320201 19320229    75.5
19320301 19320331    25.4
19320401 19320430    20.5
19320501 19320531    34.9
19320601 19320630    59.4
19320701 19320731    15.7
19320801 19320831    65.1
19320901 19320930     2.8
19321001 19321031    13.8
19321101 19321130     3.8
19321201 19321231    17.6
19330101 19330131    22.7
19330201 19330228     0.0
19330301 19330331     8.9
19330401 19330430     1.1
19330501 19330531    16.4
19330601 19330630     1.1
19330701 19330731    27.9
19330801 19330831    33.7
19330901 19330930    30.9
19331001 19331031    10.7
19331101 19331130    61.1
19331201 19331231    14.4
19340101 19340131     6.8
19340201 19340228    20.6
19340301 19340331     9.9
19340401 19340430     9.9
19340501 19340531     0.0
19340601 19340630     3.6
19340701 19340731    25.0
19340801 19340831    15.9
19340901 19340930    19.9
19341001 19341031    55.0
19341101 19341130    33.2
19341201 19341231     1.3
19350101 19350131     6.7
19350201 19350228     1.3
19350301 19350331    17.1
19350401 19350430    18.0
19350501 19350531    11.2
19350601 19350630     3.3
19350701 19350731    14.9
19350801 19350831    10.2
19350901 19350930     8.3
19351001 19351031    37.6
19351101 19351130     1.8
19351201 19351231     3.6
19360101 19360131   141.6
19360201 19360229     0.8
19360301 19360331     7.4
19360401 19360430    15.7
19360501 19360531    33.1
19360601 19360630    10.9
19360701 19360731    43.5
19360801 19360831     6.1
19360901 19360930     0.0
19361001 19361031    13.8
19361101 19361130     1.3
19361201 19361231    29.5
19370101 19370131    69.9
19370201 19370228     1.1
19370301 19370331    10.9
19370401 19370430     5.6
19370501 19370531    13.8
19370601 19370630    28.3
19370701 19370731    14.7
19370801 19370831    47.7
19370901 19370930     3.5
19371001 19371031    54.5
19371101 19371130     0.0
19371201 19371231    41.7
19380101 19380131    18.1
19380201 19380228     5.5
19380301 19380331     0.5
19380401 19380430     5.4
19380501 19380531     7.1
19380601 19380630    10.4
19380701 19380731    34.9
19380801 19380831    10.2
19380901 19380930     1.5
19381001 19381031    24.6
19381101 19381130     0.0
19381201 19381231     0.0
19390101 19390131     1.3
19390201 19390228    87.4
19390301 19390331    10.4
19390401 19390430     3.9
19390501 19390531    27.3
19390601 19390630    27.1
19390701 19390731    14.5
19390801 19390831    26.3
19390901 19390930     7.3
19391001 19391031    34.6
19391101 19391130    72.3
19391201 19391231     0.0
19400101 19400131     6.6
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    34.6
19400501 19400531    12.8
19400601 19400630     1.1
19400701 19400731    13.6
19400801 19400831     6.6
19400901 19400930    48.8
19401001 19401031     5.3
19401101 19401130     5.9
19401201 19401231     8.5
19410101 19410131   154.0
19410201 19410228     2.3
19410301 19410331     7.4
19410401 19410430     0.3
19410501 19410531     5.6
19410601 19410630    20.4
19410701 19410731    31.9
19410801 19410831    26.1
19410901 19410930    23.2
19411001 19411031    13.6
19411101 19411130    22.0
19411201 19411231     7.9
19420101 19420131     8.1
19420201 19420228     8.1
19420301 19420331     1.0
19420401 19420430    23.3
19420501 19420531    55.4
19420601 19420630    63.4
19420701 19420731    20.8
19420801 19420831    49.3
19420901 19420930     9.9
19421001 19421031    56.4
19421101 19421130     6.0
19421201 19421231     2.8
19430101 19430131     0.3
19430201 19430228    25.2
19430301 19430331     0.8
19430401 19430430    11.5
19430501 19430531    12.1
19430601 19430630     4.7
19430701 19430731    19.8
19430801 19430831    20.2
19430901 19430930    14.3
19431001 19431031     7.7
19431101 19431130    27.0
19431201 19431231     0.8
19440101 19440131     2.3
19440201 19440229     0.3
19440301 19440331     0.6
19440401 19440430     4.3
19440501 19440531    22.7
19440601 19440630     0.8
19440701 19440731    16.5
19440801 19440831     1.8
19440901 19440930     2.4
19441001 19441031     9.5
19441101 19441130    16.9
19441201 19441231    18.2
19450101 19450131     8.2
19450201 19450228     7.6
19450301 19450331     0.8
19450401 19450430     0.0
19450501 19450531    22.0
19450601 19450630    39.3
19450701 19450731    18.0
19450801 19450831    16.6
19450901 19450930     3.1
19451001 19451031    30.6
19451101 19451130     7.5
19451201 19451231    17.3
19460101 19460131    26.7
19460201 19460228    54.3
19460301 19460331    15.3
19460401 19460430    22.8
19460501 19460531    26.4
19460601 19460630    40.1
19460701 19460731    32.2
19460801 19460831     8.2
19460901 19460930     2.5
19461001 19461031    11.4
19461101 19461130    43.7
19461201 19461231    14.4
19470101 19470131     0.3
19470201 19470228    75.3
19470301 19470331    68.6
19470401 19470430     5.9
19470501 19470531     0.6
19470601 19470630    28.4
19470701 19470731    33.4
19470801 19470831    13.4
19470901 19470930    23.2
19471001 19471031    49.4
19471101 19471130    13.1
19471201 19471231    35.7
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     0.0
19480401 19480430    29.1
19480501 19480531    14.0
19480601 19480630    28.8
19480701 19480731     9.7
19480801 19480831    16.3
19480901 19480930     5.9
19481001 19481031    45.4
19481101 19481130    51.7
19481201 19481231    19.9
19490101 19490131     9.7
19490201 19490228    30.4
19490301 19490331    13.1
19490401 19490430     4.6
19490501 19490531    80.2
19490601 19490630     8.1
19490701 19490731    24.6
19490801 19490831     3.8
19490901 19490930    30.8
19491001 19491031    32.4
19491101 19491130     9.1
19491201 19491231     6.9
19500101 19500131     0.0
19500201 19500228    96.0
19500301 19500331   113.9
19500401 19500430     2.5
19500501 19500531    21.2
19500601 19500630     5.1
19500701 19500731    14.3
19500801 19500831    18.2
19500901 19500930    14.9
19501001 19501031    31.4
19501101 19501130    23.9
19501201 19501231    14.1
19510101 19510131    13.5
19510201 19510228     4.0
19510301 19510331     0.8
19510401 19510430    12.9
19510501 19510531    22.1
19510601 19510630    79.5
19510701 19510731    17.2
19510801 19510831    32.2
19510901 19510930    26.5
19511001 19511031    20.8
19511101 19511130     2.0
19511201 19511231     2.4
19520101 19520131    30.4
19520201 19520229     9.6
19520301 19520331    11.2
19520401 19520430    20.4
19520501 19520531    78.7
19520601 19520630    14.1
19520701 19520731    11.5
19520801 19520831    21.1
19520901 19520930     9.9
19521001 19521031    67.1
19521101 19521130    43.6
19521201 19521231     1.8
19530101 19530131    18.4
19530201 19530228     0.5
19530301 19530331     0.0
19530401 19530430     7.4
19530501 19530531     2.9
19530601 19530630    20.7
19530701 19530731    26.9
19530801 19530831    35.9
19530901 19530930    90.9
19531001 19531031    26.5
19531101 19531130    19.0
19531201 19531231     3.9
19540101 19540131    14.7
19540201 19540228     0.0
19540301 19540331     2.0
19540401 19540430    48.7
19540501 19540531     8.0
19540601 19540630     6.1
19540701 19540731    13.8
19540801 19540831    40.5
19540901 19540930     8.7
19541001 19541031    24.0
19541101 19541130    42.9
19541201 19541231    75.4
19550101 19550131    11.9
19550201 19550228    43.4
19550301 19550331     5.2
19550401 19550430    11.1
19550501 19550531    42.4
19550601 19550630    50.7
19550701 19550731    26.1
19550801 19550831    42.6
19550901 19550930    33.7
19551001 19551031    29.4
19551101 19551130    21.5
19551201 19551231     3.1
19560101 19560131     6.2
19560201 19560229     0.0
19560301 19560331   109.0
19560401 19560430    29.4
19560501 19560531    73.3
19560601 19560630    36.4
19560701 19560731    66.8
19560801 19560831    19.0
19560901 19560930    43.6
19561001 19561031    46.0
19561101 19561130    11.0
19561201 19561231     1.5
19570101 19570131     0.0
19570201 19570228    77.1
19570301 19570331    12.8
19570401 19570430     7.6
19570501 19570531    10.5
19570601 19570630    58.3
19570701 19570731    17.5
19570801 19570831    13.8
19570901 19570930     3.1
19571001 19571031    19.2
19571101 19571130     2.6
19571201 19571231    46.0
19580101 19580131    60.1
19580201 19580228     0.0
19580301 19580331     3.3
19580401 19580430    15.4
19580501 19580531    33.1
19580601 19580630     1.0
19580701 19580731    31.0
19580801 19580831    68.1
19580901 19580930    10.7
19581001 19581031    77.4
19581101 19581130    81.8
19581201 19581231    13.8
19590101 19590131    27.0
19590201 19590228     7.6
19590301 19590331    16.6
19590401 19590430     0.0
19590501 19590531     8.4
19590601 19590630     1.1
19590701 19590731     5.8
19590801 19590831     9.9
19590901 19590930    10.7
19591001 19591031    72.3
19591101 19591130     3.1
19591201 19591231     6.3
19600101 19600131    43.6
19600201 19600229    29.1
19600301 19600331    10.2
19600401 19600430    19.9
19600501 19600531    54.8
19600601 19600630    11.7
19600701 19600731    59.9
19600801 19600831    30.4
19600901 19600930    28.0
19601001 19601031    10.9
19601101 19601130    40.4
19601201 19601231     5.4
19610101 19610131    12.2
19610201 19610228    10.7
19610301 19610331    14.9
19610401 19610430    36.5
19610501 19610531     4.4
19610601 19610630     4.2
19610701 19610731    22.3
19610801 19610831     7.7
19610901 19610930    32.1
19611001 19611031    25.2
19611101 19611130    90.5
19611201 19611231    49.7
19620101 19620131    88.8
19620201 19620228     1.8
19620301 19620331     6.9
