PRCP       076063 19121001 20170731 missing_value=99999.9 DANYO                                     
19121001 19121031    19.4
19121101 19121130    44.3
19121201 19121231    28.9
19130101 19130131     1.0
19130201 19130228    49.4
19130301 19130331    74.8
19130401 19130430    22.9
19130501 19130531    25.5
19130601 19130630     3.4
19130701 19130731    19.6
19130801 19130831    18.9
19130901 19130930    64.4
19131001 19131031    64.5
19131101 19131130     8.7
19131201 19131231    19.6
19140101 19140131    26.7
19140201 19140228     3.9
19140301 19140331    19.1
19140401 19140430    34.8
19140501 19140531    15.9
19140601 19140630     6.3
19140701 19140731    12.1
19140801 19140831     2.9
19140901 19140930     3.1
19141001 19141031     0.3
19141101 19141130    44.7
19141201 19141231    29.6
19150101 19150131    12.0
19150201 19150228     0.0
19150301 19150331     0.0
19150401 19150430    17.9
19150501 19150531    41.4
19150601 19150630    36.2
19150701 19150731    33.8
19150801 19150831    50.6
19150901 19150930    83.4
19151001 19151031    19.5
19151101 19151130     4.6
19151201 19151231    19.9
19160101 19160131     4.4
19160201 19160229     0.0
19160301 19160331     0.0
19160401 19160430    14.0
19160501 19160531    14.9
19160601 19160630    55.6
19160701 19160731    49.4
19160801 19160831    92.8
19160901 19160930    88.4
19161001 19161031    37.7
19161101 19161130    96.1
19161201 19161231    17.9
19170101 19170131    17.3
19170201 19170228    59.8
19170301 19170331    19.4
19170401 19170430     6.3
19170501 19170531    65.8
19170601 19170630    44.0
19170701 19170731    53.8
19170801 19170831    54.1
19170901 19170930    54.4
19171001 19171031    60.5
19171101 19171130    61.1
19171201 19171231    14.1
19180101 19180131     4.2
19180201 19180228    21.5
19180301 19180331     9.2
19180401 19180430    33.0
19180501 19180531    41.5
19180601 19180630    42.8
19180701 19180731    21.5
19180801 19180831    40.5
19180901 19180930     6.0
19181001 19181031    28.2
19181101 19181130     5.3
19181201 19181231     1.9
19190101 19190131     3.4
19190201 19190228   115.3
19190301 19190331    12.7
19190401 19190430     6.6
19190501 19190531    58.5
19190601 19190630    19.9
19190701 19190731    12.3
19190801 19190831    15.3
19190901 19190930    17.0
19191001 19191031    14.7
19191101 19191130    11.9
19191201 19191231    71.9
19200101 19200131     0.3
19200201 19200229     0.8
19200301 19200331     8.7
19200401 19200430     4.2
19200501 19200531    21.6
19200601 19200630    56.2
19200701 19200731    38.2
19200801 19200831    78.7
19200901 19200930    70.2
19201001 19201031    66.5
19201101 19201130    18.9
19201201 19201231    50.4
19210101 19210131    38.0
19210201 19210228    61.9
19210301 19210331    82.4
19210401 19210430     6.8
19210501 19210531    79.6
19210601 19210630    43.0
19210701 19210731    33.3
19210801 19210831    36.5
19210901 19210930    47.3
19211001 19211031    14.1
19211101 19211130    27.8
19211201 19211231    31.7
19220101 19220131     7.1
19220201 19220228     6.5
19220301 19220331     0.5
19220401 19220430    24.4
19220501 19220531   106.4
19220601 19220630    37.5
19220701 19220731    34.7
19220801 19220831    22.8
19220901 19220930    37.8
19221001 19221031    25.6
19221101 19221130     1.5
19221201 19221231    37.0
19230101 19230131    18.2
19230201 19230228     8.9
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    57.2
19230601 19230630    99.2
19230701 19230731    98.1
19230801 19230831    50.5
19230901 19230930    42.1
19231001 19231031    23.5
19231101 19231130     6.2
19231201 19231231    41.2
19240101 19240131    23.9
19240201 19240229    52.8
19240301 19240331    23.8
19240401 19240430    14.1
19240501 19240531    21.9
19240601 19240630    64.4
19240701 19240731     8.2
19240801 19240831    35.0
19240901 19240930    47.9
19241001 19241031    47.7
19241101 19241130    97.3
19241201 19241231    10.2
19250101 19250131    13.1
19250201 19250228    16.0
19250301 19250331    26.0
19250401 19250430    15.0
19250501 19250531    73.1
19250601 19250630    17.1
19250701 19250731    33.5
19250801 19250831    11.2
19250901 19250930    51.2
19251001 19251031    11.1
19251101 19251130     6.1
19251201 19251231     1.3
19260101 19260131     0.0
19260201 19260228     3.7
19260301 19260331     8.4
19260401 19260430    72.8
19260501 19260531    63.4
19260601 19260630    32.5
19260701 19260731    35.0
19260801 19260831    42.5
19260901 19260930    45.1
19261001 19261031    24.8
19261101 19261130     3.0
19261201 19261231     8.6
19270101 19270131     7.8
19270201 19270228     7.3
19270301 19270331    13.0
19270401 19270430     0.0
19270501 19270531    27.6
19270601 19270630    12.3
19270701 19270731    41.2
19270801 19270831    35.4
19270901 19270930    23.3
19271001 19271031    14.7
19271101 19271130    22.5
19271201 19271231    14.4
19280101 19280131    26.8
19280201 19280229    53.9
19280301 19280331    21.8
19280401 19280430    31.1
19280501 19280531    21.8
19280601 19280630    36.1
19280701 19280731    25.3
19280801 19280831     6.8
19280901 19280930    30.0
19281001 19281031    57.7
19281101 19281130     0.0
19281201 19281231     6.8
19290101 19290131     4.2
19290201 19290228    19.0
19290301 19290331     9.4
19290401 19290430     3.7
19290501 19290531    18.9
19290601 19290630    25.3
19290701 19290731    13.8
19290801 19290831    26.6
19290901 19290930    13.0
19291001 19291031    12.6
19291101 19291130    15.3
19291201 19291231    41.9
19300101 19300131     0.0
19300201 19300228    12.1
19300301 19300331     5.0
19300401 19300430    19.5
19300501 19300531    46.1
19300601 19300630     3.2
19300701 19300731    47.1
19300801 19300831    48.0
19300901 19300930    20.1
19301001 19301031    97.9
19301101 19301130    19.7
19301201 19301231    66.8
19310101 19310131     3.7
19310201 19310228     0.0
19310301 19310331    18.4
19310401 19310430    37.0
19310501 19310531    49.7
19310601 19310630    78.2
19310701 19310731    25.2
19310801 19310831    35.1
19310901 19310930    39.6
19311001 19311031    12.9
19311101 19311130    22.1
19311201 19311231     6.5
19320101 19320131     5.1
19320201 19320229    95.9
19320301 19320331    34.7
19320401 19320430    39.8
19320501 19320531    25.7
19320601 19320630    52.5
19320701 19320731    43.8
19320801 19320831    55.9
19320901 19320930    18.0
19321001 19321031    25.1
19321101 19321130     4.1
19321201 19321231    25.2
19330101 19330131    41.6
19330201 19330228     0.5
19330301 19330331    11.9
19330401 19330430    12.1
19330501 19330531    58.4
19330601 19330630     7.8
19330701 19330731    33.8
19330801 19330831    38.1
19330901 19330930    30.9
19331001 19331031    19.0
19331101 19331130    59.2
19331201 19331231     7.0
19340101 19340131    14.7
19340201 19340228     7.3
19340301 19340331    11.0
19340401 19340430    31.1
19340501 19340531     0.0
19340601 19340630    11.7
19340701 19340731    37.0
19340801 19340831    32.1
19340901 19340930    30.9
19341001 19341031    84.2
19341101 19341130    34.9
19341201 19341231    11.0
19350101 19350131     6.5
19350201 19350228     0.0
19350301 19350331    16.0
19350401 19350430    22.1
19350501 19350531    24.0
19350601 19350630    21.6
19350701 19350731    38.9
19350801 19350831    34.6
19350901 19350930    28.7
19351001 19351031    48.0
19351101 19351130    10.3
19351201 19351231    13.6
19360101 19360131   187.3
19360201 19360229     4.4
19360301 19360331    17.6
19360401 19360430    26.7
19360501 19360531    26.0
19360601 19360630    29.8
19360701 19360731    93.6
19360801 19360831    25.1
19360901 19360930    11.6
19361001 19361031    42.7
19361101 19361130     9.9
19361201 19361231    52.4
19370101 19370131    35.8
19370201 19370228     9.2
19370301 19370331    24.1
19370401 19370430     3.8
19370501 19370531    14.1
19370601 19370630    33.0
19370701 19370731    25.5
19370801 19370831    53.9
19370901 19370930    18.7
19371001 19371031    48.0
19371101 19371130     9.0
19371201 19371231    63.6
19380101 19380131    30.3
19380201 19380228    31.5
19380301 19380331     0.5
19380401 19380430    53.6
19380501 19380531     4.9
19380601 19380630    24.4
19380701 19380731    50.7
19380801 19380831    16.3
19380901 19380930     2.1
19381001 19381031     1.0
19381101 19381130    15.0
19381201 19381231     1.3
19390101 19390131     6.5
19390201 19390228    47.9
19390301 19390331     1.0
19390401 19390430    15.2
19390501 19390531    28.3
19390601 19390630    32.2
19390701 19390731    16.2
19390801 19390831    48.6
19390901 19390930     9.8
19391001 19391031    10.9
19391101 19391130    53.1
19391201 19391231     1.9
19400101 19400131     8.2
19400201 19400229     2.4
19400301 19400331     3.9
19400401 19400430    93.8
19400501 19400531    10.4
19400601 19400630     7.1
19400701 19400731    24.8
19400801 19400831    11.7
19400901 19400930    39.8
19401001 19401031     6.6
19401101 19401130    13.2
19401201 19401231    22.0
19410101 19410131    37.6
19410201 19410228     2.1
19410301 19410331    30.9
19410401 19410430    18.1
19410501 19410531     6.5
19410601 19410630    72.3
19410701 19410731    46.2
19410801 19410831    17.4
19410901 19410930    60.5
