PRCP       077030 18860901 20160731 missing_value=99999.9 NARRAPORT                                 
18860901 18860930     0.0
18861001 18861031    26.7
18861101 18861130    19.3
18861201 18861231    98.0
18870101 18870131     4.8
18870201 18870228    45.0
18870301 18870331     3.6
18870401 18870430    72.5
18870501 18870531    13.7
18870601 18870630    57.6
18870701 18870731    45.5
18870801 18870831    32.5
18870901 18870930    24.4
18871001 18871031    57.3
18871101 18871130   174.0
18871201 18871231    62.8
18880101 18880131     4.5
18880201 18880229     9.4
18880301 18880331     9.4
18880401 18880430     3.0
18880501 18880531    50.8
18880601 18880630    18.8
18880701 18880731    20.2
18880801 18880831    32.5
18880901 18880930    18.3
18881001 18881031    10.9
18881101 18881130     2.3
18881201 18881231    65.6
18890101 18890131    57.9
18890201 18890228    24.8
18890301 18890331     1.5
18890401 18890430   102.4
18890501 18890531    46.1
18890601 18890630    77.3
18890701 18890731     6.1
18890801 18890831    90.2
18890901 18890930    48.4
18891001 18891031    62.8
18891101 18891130    62.5
18891201 18891231     0.5
18900101 18900131    16.5
18900201 18900228     0.8
18900301 18900331    47.7
18900401 18900430    39.4
18900501 18900531    41.4
18900601 18900630    66.2
18900701 18900731    80.3
18900801 18900831    41.8
18900901 18900930    18.0
18901001 18901031    49.4
18901101 18901130    38.9
18901201 18901231    13.5
18910101 18910131    20.6
18910201 18910228     0.0
18910301 18910331    54.6
18910401 18910430    98.3
18910501 18910531    24.2
18910601 18910630    59.8
18910701 18910731    21.8
18910801 18910831    17.0
18910901 18910930    15.5
18911001 18911031    56.5
18911101 18911130    44.4
18911201 18911231    19.8
18920101 18920131     8.6
18920201 18920229     1.0
18920301 18920331     2.3
18920401 18920430    24.6
18920501 18920531    37.9
18920601 18920630    52.7
18920701 18920731    46.1
18920801 18920831    23.1
18920901 18920930    69.3
18921001 18921031    66.3
18921101 18921130    26.2
18921201 18921231    29.2
18930101 18930131     5.3
18930201 18930228     0.0
18930301 18930331     7.4
18930401 18930430    31.0
18930501 18930531   122.7
18930601 18930630    63.1
18930701 18930731    27.1
18930801 18930831    33.5
18930901 18930930    22.6
18931001 18931031    42.5
18931101 18931130    54.7
18931201 18931231     5.6
18940101 18940131    12.4
18940201 18940228     0.0
18940301 18940331    44.2
18940401 18940430     9.5
18940501 18940531    12.3
18940601 18940630    47.3
18940701 18940731    30.4
18940801 18940831    37.9
18940901 18940930    26.1
18941001 18941031   125.9
18941101 18941130    11.4
18941201 18941231    99.5
18950101 18950131    23.9
18950201 18950228     0.0
18950301 18950331    15.0
18950401 18950430    47.2
18950501 18950531     0.0
18950601 18950630     6.9
18950701 18950731    25.8
18950801 18950831    56.2
18950901 18950930    15.5
18951001 18951031    14.2
18951101 18951130     7.4
18951201 18951231    27.4
18960101 18960131     3.0
18960201 18960229    12.1
18960301 18960331    49.3
18960401 18960430    43.5
18960501 18960531    34.8
18960601 18960630    16.2
18960701 18960731    12.2
18960801 18960831    15.7
18960901 18960930    37.4
18961001 18961031     0.0
18961101 18961130    22.7
18961201 18961231     4.6
18970101 18970131    37.6
18970201 18970228     0.0
18970301 18970331     5.3
18970401 18970430     5.6
18970501 18970531    10.6
18970601 18970630    40.2
18970701 18970731    15.0
18970801 18970831    47.3
18970901 18970930    29.5
18971001 18971031    26.9
18971101 18971130     5.8
18971201 18971231     0.5
18980101 18980131     0.0
18980201 18980228    40.2
18980301 18980331     0.0
18980401 18980430    17.5
18980501 18980531    26.4
18980601 18980630    87.4
18980701 18980731    26.0
18980801 18980831    35.3
18980901 18980930    24.3
18981001 18981031     6.1
18981101 18981130     3.8
18981201 18981231    20.9
18990101 18990131    17.3
18990201 18990228    38.4
18990301 18990331    50.5
18990401 18990430    28.2
18990501 18990531    19.0
18990601 18990630    87.9
18990701 18990731     8.3
18990801 18990831    10.9
18990901 18990930     8.6
18991001 18991031    14.0
18991101 18991130    15.5
18991201 18991231     3.1
19000101 19000131     7.6
19000201 19000228     0.0
19000301 19000331    43.5
19000401 19000430    41.7
19000501 19000531    29.2
19000601 19000630    31.9
19000701 19000731    10.7
19000801 19000831    50.2
19000901 19000930    32.5
19001001 19001031     2.3
19001101 19001130    10.7
19001201 19001231    10.9
19010101 19010131     8.1
19010201 19010228     0.0
19010301 19010331    10.1
19010401 19010430    24.6
19010501 19010531     3.6
19010601 19010630    37.4
19010701 19010731    30.2
19010801 19010831    26.7
19010901 19010930    40.2
19011001 19011031    27.7
19011101 19011130     2.8
19011201 19011231    15.8
19020101 19020131     8.6
19020201 19020228     1.0
19020301 19020331    16.0
19020401 19020430     0.0
19020501 19020531     4.5
19020601 19020630    21.4
19020701 19020731     4.4
19020801 19020831     9.5
19020901 19020930     8.9
19021001 19021031    23.1
19021101 19021130     7.6
19021201 19021231    51.8
19030101 19030131     2.3
19030201 19030228     5.4
19030301 19030331    25.4
19030401 19030430    43.1
19030501 19030531    22.9
19030601 19030630    37.1
19030701 19030731    46.5
19030801 19030831    16.3
19030901 19030930    68.4
19031001 19031031    33.4
19031101 19031130    48.1
19031201 19031231    10.4
19040101 19040131    40.9
19040201 19040229    17.5
19040301 19040331     8.1
19040401 19040430    18.3
19040501 19040531    25.4
19040601 19040630    31.3
19040701 19040731    30.2
