PRCP       077039 19100101 20180131 missing_value=99999.9 SEA LAKE (POST OFFICE)                    
19100101 19100131    24.4
19100201 19100228     8.6
19100301 19100331   104.7
19100401 19100430     0.0
19100501 19100531    33.1
19100601 19100630    40.9
19100701 19100731    41.5
19100801 19100831    41.2
19100901 19100930    49.3
19101001 19101031    31.7
19101101 19101130    21.9
19101201 19101231    26.4
19110101 19110131     9.7
19110201 19110228   194.0
19110301 19110331    19.8
19110401 19110430     1.0
19110501 19110531    49.3
19110601 19110630    41.4
19110701 19110731    16.0
19110801 19110831    19.9
19110901 19110930    59.4
19111001 19111031     6.6
19111101 19111130     5.2
19111201 19111231    38.5
19120101 19120131     1.9
19120201 19120229     8.2
19120301 19120331     1.4
19120401 19120430     4.2
19120501 19120531     0.0
19120601 19120630    80.2
19120701 19120731    50.9
19120801 19120831    52.3
19120901 19120930    45.8
19121001 19121031    10.7
19121101 19121130    29.6
19121201 19121231    42.4
19130101 19130131     2.8
19130201 19130228     4.3
19130301 19130331    81.2
19130401 19130430    16.8
19130501 19130531    48.0
19130601 19130630     5.1
19130701 19130731     6.0
19130801 19130831    11.3
19130901 19130930    38.3
19131001 19131031    64.5
19131101 19131130     0.8
19131201 19131231    36.9
19140101 19140131     5.1
19140201 19140228     3.6
19140301 19140331    30.3
19140401 19140430    36.3
19140501 19140531    15.4
19140601 19140630     2.3
19140701 19140731     5.6
19140801 19140831     1.8
19140901 19140930     1.3
19141001 19141031     0.0
19141101 19141130    19.8
19141201 19141231    24.0
19150101 19150131    12.8
19150201 19150228     0.0
19150301 19150331     0.5
19150401 19150430    14.1
19150501 19150531    21.0
19150601 19150630    37.3
19150701 19150731    35.0
19150801 19150831    27.3
19150901 19150930    77.8
19151001 19151031    17.1
19151101 19151130     4.6
19151201 19151231     4.1
19160101 19160131    45.7
19160201 19160229     1.6
19160301 19160331     2.3
19160401 19160430     5.8
19160501 19160531    20.3
19160601 19160630    61.3
19160701 19160731    46.4
19160801 19160831    52.7
19160901 19160930    71.6
19161001 19161031    31.4
19161101 19161130    51.1
19161201 19161231    28.5
19170101 19170131    18.4
19170201 19170228    62.7
19170301 19170331    13.5
19170401 19170430     8.1
19170501 19170531    29.6
19170601 19170630    37.8
19170701 19170731    40.9
19170801 19170831    65.6
19170901 19170930    55.4
19171001 19171031    72.5
19171101 19171130    61.7
19171201 19171231     4.4
19180101 19180131     8.6
19180201 19180228    53.6
19180301 19180331    39.7
19180401 19180430    19.6
19180501 19180531    76.2
19180601 19180630    22.7
19180701 19180731    16.6
19180801 19180831    42.1
19180901 19180930     9.1
19181001 19181031    12.5
19181101 19181130     4.6
19181201 19181231     4.8
19190101 19190131     2.0
19190201 19190228    44.0
19190301 19190331    15.0
19190401 19190430    17.8
19190501 19190531    46.4
19190601 19190630    19.6
19190701 19190731    11.4
19190801 19190831    15.9
19190901 19190930    20.3
19191001 19191031     5.8
19191101 19191130    12.3
19191201 19191231    35.9
19200101 19200131     1.0
19200201 19200229     0.0
19200301 19200331     2.8
19200401 19200430     5.6
19200501 19200531    25.4
19200601 19200630    22.7
19200701 19200731    39.4
19200801 19200831    77.9
19200901 19200930    73.7
19201001 19201031    49.2
19201101 19201130    20.6
19201201 19201231    19.0
19210101 19210131    37.6
19210201 19210228    49.4
19210301 19210331    45.8
19210401 19210430     7.9
19210501 19210531    61.8
19210601 19210630    26.9
19210701 19210731    29.6
19210801 19210831    28.7
19210901 19210930    54.6
19211001 19211031    26.2
19211101 19211130    23.2
19211201 19211231    34.3
19220101 19220131    14.8
19220201 19220228    18.8
19220301 19220331     0.0
19220401 19220430    14.3
19220501 19220531    31.8
19220601 19220630    31.0
19220701 19220731    20.2
19220801 19220831    29.1
19220901 19220930    43.1
19221001 19221031    37.0
19221101 19221130     0.0
19221201 19221231    19.2
19230101 19230131    18.6
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     7.9
19230501 19230531    43.9
19230601 19230630   100.7
19230701 19230731    73.1
19230801 19230831    19.1
19230901 19230930    26.8
19231001 19231031    18.1
19231101 19231130     8.6
19231201 19231231    16.1
19240101 19240131    30.2
19240201 19240229    35.3
19240301 19240331    28.3
19240401 19240430     9.4
19240501 19240531    10.1
19240601 19240630    33.7
19240701 19240731     1.5
19240801 19240831    33.8
19240901 19240930    46.8
19241001 19241031    48.3
19241101 19241130   106.7
19241201 19241231    38.6
19250101 19250131    15.6
19250201 19250228    12.0
19250301 19250331    24.8
19250401 19250430     5.3
19250501 19250531    45.2
19250601 19250630    21.8
19250701 19250731    26.8
19250801 19250831    40.1
19250901 19250930    35.1
19251001 19251031     2.8
19251101 19251130    11.9
19251201 19251231     0.0
19260101 19260131     1.0
19260201 19260228     0.0
19260301 19260331    22.6
19260401 19260430    80.0
19260501 19260531    56.2
19260601 19260630    47.0
19260701 19260731    27.7
19260801 19260831    38.2
19260901 19260930    28.6
19261001 19261031    23.7
19261101 19261130     1.5
19261201 19261231    10.2
19270101 19270131    10.9
19270201 19270228     5.3
19270301 19270331     5.9
19270401 19270430     0.0
19270501 19270531    13.9
19270601 19270630    11.2
19270701 19270731    50.8
19270801 19270831    21.2
19270901 19270930    13.3
19271001 19271031    15.0
19271101 19271130     9.3
19271201 19271231     4.1
19280101 19280131    19.8
19280201 19280229    70.4
19280301 19280331    43.9
19280401 19280430    31.2
19280501 19280531    12.3
19280601 19280630    42.8
19280701 19280731    15.3
19280801 19280831     7.8
19280901 19280930    24.8
19281001 19281031    47.3
19281101 19281130     2.0
19281201 19281231     4.1
19290101 19290131     6.3
19290201 19290228    94.5
19290301 19290331     9.7
19290401 19290430    33.1
19290501 19290531     5.4
19290601 19290630    30.1
19290701 19290731     5.1
19290801 19290831    17.8
19290901 19290930     8.9
19291001 19291031     5.6
19291101 19291130    12.2
19291201 19291231    46.1
19300101 19300131     0.0
19300201 19300228     3.8
19300301 19300331    13.2
19300401 19300430     6.7
19300501 19300531    53.4
19300601 19300630     2.8
19300701 19300731    27.5
19300801 19300831    36.7
19300901 19300930    17.8
19301001 19301031    69.9
19301101 19301130    19.9
19301201 19301231    62.3
19310101 19310131     6.6
19310201 19310228     0.3
19310301 19310331    52.0
19310401 19310430    83.1
19310501 19310531    48.4
19310601 19310630    82.6
19310701 19310731    15.0
19310801 19310831    12.7
19310901 19310930    37.3
19311001 19311031    19.5
19311101 19311130     5.6
19311201 19311231     0.3
19320101 19320131     0.0
19320201 19320229    55.1
19320301 19320331    37.2
19320401 19320430    48.1
19320501 19320531    19.9
19320601 19320630    40.1
19320701 19320731    28.6
19320801 19320831    48.0
19320901 19320930    23.2
19321001 19321031    12.0
19321101 19321130    10.6
19321201 19321231    24.5
19330101 19330131    27.8
19330201 19330228     0.0
19330301 19330331     4.1
19330401 19330430     8.4
19330501 19330531    40.3
19330601 19330630    20.3
19330701 19330731    64.4
19330801 19330831    23.8
19330901 19330930    43.7
19331001 19331031    25.7
19331101 19331130    35.5
19331201 19331231    44.6
19340101 19340131     6.4
19340201 19340228    39.6
19340301 19340331    14.0
19340401 19340430    30.3
19340501 19340531     0.0
19340601 19340630     6.9
19340701 19340731    22.2
19340801 19340831    24.9
19340901 19340930    24.6
19341001 19341031   106.4
19341101 19341130    89.3
19341201 19341231     0.3
19350101 19350131    12.4
19350201 19350228     7.2
19350301 19350331    16.9
19350401 19350430    27.4
19350501 19350531     9.3
19350601 19350630    18.3
19350701 19350731    34.4
19350801 19350831    12.5
19350901 19350930    52.1
19351001 19351031    50.3
19351101 19351130    10.2
19351201 19351231    15.5
19360101 19360131    66.4
19360201 19360229     0.8
19360301 19360331     0.3
19360401 19360430     5.4
19360501 19360531    40.9
19360601 19360630    22.3
19360701 19360731    98.2
19360801 19360831    26.1
19360901 19360930     3.6
19361001 19361031    41.5
19361101 19361130     2.1
19361201 19361231    37.5
