PRCP       078043 18970801 20171231 missing_value=99999.9 YANAC NORTH                               
18970801 18970831    72.3
18970901 18970930    25.5
18971001 18971031    10.2
18971101 18971130    22.3
18971201 18971231     1.6
18980101 18980131     0.0
18980201 18980228    20.1
18980301 18980331     2.5
18980401 18980430    40.7
18980501 18980531    44.5
18980601 18980630    80.3
18980701 18980731    76.1
18980801 18980831    20.8
18980901 18980930    40.4
18981001 18981031    28.7
18981101 18981130    17.6
18981201 18981231    18.3
18990101 18990131    34.8
18990201 18990228    48.5
18990301 18990331    29.4
18990401 18990430    17.3
18990501 18990531    32.2
18990601 18990630    80.4
18990701 18990731    11.8
18990801 18990831    21.4
18990901 18990930    23.4
18991001 18991031    31.2
18991101 18991130    21.1
18991201 18991231     8.1
19000101 19000131     4.5
19000201 19000228     5.6
19000301 19000331    39.0
19000401 19000430    45.9
19000501 19000531    43.0
19000601 19000630    62.8
19000701 19000731    17.6
19000801 19000831    84.5
19000901 19000930    40.6
19001001 19001031    13.2
19001101 19001130    24.1
19001201 19001231    14.5
19010101 19010131    11.6
19010201 19010228     2.8
19010301 19010331     7.9
19010401 19010430    19.2
19010501 19010531    14.4
19010601 19010630    80.6
19010701 19010731    38.7
19010801 19010831    24.7
19010901 19010930    69.4
19011001 19011031    62.1
19011101 19011130    18.3
19011201 19011231    35.4
19020101 19020131     3.1
19020201 19020228     9.1
19020301 19020331    29.4
19020401 19020430     0.5
19020501 19020531    12.2
19020601 19020630    53.0
19020701 19020731    18.2
19020801 19020831    18.4
19020901 19020930    12.8
19021001 19021031    31.7
19021101 19021130    10.7
19021201 19021231   115.4
19030101 19030131     9.2
19030201 19030228    17.9
19030301 19030331    30.8
19030401 19030430    65.0
19030501 19030531    38.3
19030601 19030630    48.1
19030701 19030731    68.6
19030801 19030831    19.7
19030901 19030930   104.6
19031001 19031031    25.0
19031101 19031130    50.6
19031201 19031231    11.7
19040101 19040131    28.1
19040201 19040229    30.2
19040301 19040331     3.0
19040401 19040430    28.4
19040501 19040531    39.2
19040601 19040630    34.7
19040701 19040731    65.6
19040801 19040831    47.5
19040901 19040930    14.0
19041001 19041031    70.3
19041101 19041130    10.2
19041201 19041231     0.0
19050101 19050131    36.3
19050201 19050228    17.3
19050301 19050331     0.0
19050401 19050430    83.4
19050501 19050531    31.2
19050601 19050630    77.4
19050701 19050731    55.4
19050801 19050831    24.6
19050901 19050930    32.6
19051001 19051031    67.5
19051101 19051130     8.9
19051201 19051231     3.3
19060101 19060131     2.3
19060201 19060228     8.1
19060301 19060331    10.5
19060401 19060430    11.6
19060501 19060531    71.0
19060601 19060630   131.2
19060701 19060731    53.1
19060801 19060831    46.1
19060901 19060930    70.6
19061001 19061031    40.6
19061101 19061130    54.6
19061201 19061231    20.1
19070101 19070131     0.0
19070201 19070228    23.9
19070301 19070331     2.8
19070401 19070430    94.0
19070501 19070531    85.1
19070601 19070630    23.1
19070701 19070731    37.9
19070801 19070831    50.0
19070901 19070930     8.4
19071001 19071031    11.8
19071101 19071130    37.3
19071201 19071231    22.1
19080101 19080131     9.2
19080201 19080229    16.3
19080301 19080331     9.0
19080401 19080430     3.0
19080501 19080531    98.4
19080601 19080630    46.5
19080701 19080731    32.5
19080801 19080831    41.2
19080901 19080930   125.4
19081001 19081031    56.0
19081101 19081130     5.2
19081201 19081231    15.2
19090101 19090131    37.3
19090201 19090228    10.5
19090301 19090331    22.4
19090401 19090430    48.1
19090501 19090531    84.7
19090601 19090630    79.2
19090701 19090731    75.8
19090801 19090831   124.1
19090901 19090930    37.9
19091001 19091031    37.5
19091101 19091130    26.7
19091201 19091231     5.1
19100101 19100131    25.7
