PRCP       078078 18830101 20180131 missing_value=99999.9 KANIVA                                    
18830101 18830131     2.5
18830201 18830228    49.6
18830301 18830331    32.3
18830401 18830430    28.1
18830501 18830531   110.2
18830601 18830630    96.8
18830701 18830731    74.1
18830801 18830831    80.2
18830901 18830930    46.2
18831001 18831031    54.1
18831101 18831130    47.4
18831201 18831231    35.4
18840101 18840131    56.0
18840201 18840229     5.6
18840301 18840331    76.7
18840401 18840430    26.4
18840501 18840531    75.5
18840601 18840630    90.9
18840701 18840731    13.5
18840801 18840831    59.5
18840901 18840930   103.7
18841001 18841031    28.7
18841101 18841130    20.8
18841201 18841231    53.3
18850101 18850131    18.2
18850201 18850228    33.5
18850301 18850331    16.0
18850401 18850430    31.5
18850501 18850531    34.5
18850601 18850630    84.8
18850701 18850731    53.0
18850801 18850831    54.9
18850901 18850930    81.1
18851001 18851031    15.5
18851101 18851130     1.8
18851201 18851231    61.1
18860101 18860131    85.9
18860201 18860228    12.7
18860301 18860331     0.0
18860401 18860430    15.2
18860501 18860531    14.2
18860601 18860630    10.9
18860701 18860731    83.0
18860801 18860831   120.7
18860901 18860930    54.6
18861001 18861031    62.5
18861101 18861130    46.2
18861201 18861231    11.4
18870101 18870131     2.5
18870201 18870228    44.5
18870301 18870331     5.8
18870401 18870430    79.3
18870501 18870531    41.8
18870601 18870630    78.7
18870701 18870731    74.0
18870801 18870831    40.7
18870901 18870930    48.2
18871001 18871031    26.7
18871101 18871130   138.0
18871201 18871231    49.3
18880101 18880131    13.9
18880201 18880229     1.3
18880301 18880331    11.7
18880401 18880430    10.7
18880501 18880531    32.5
18880601 18880630    93.9
18880701 18880731    95.7
18880801 18880831    29.5
18880901 18880930    37.3
18881001 18881031    17.3
18881101 18881130    22.8
18881201 18881231    13.2
18890101 18890131    42.7
18890201 18890228    17.2
18890301 18890331    17.5
18890401 18890430   206.7
18890501 18890531    92.7
18890601 18890630    90.5
18890701 18890731    27.4
18890801 18890831    78.1
18890901 18890930    45.0
18891001 18891031   100.1
18891101 18891130    66.3
18891201 18891231     4.8
18900101 18900131    55.1
18900201 18900228     0.0
18900301 18900331    50.3
18900401 18900430    50.8
18900501 18900531   113.8
18900601 18900630    83.1
18900701 18900731    75.5
18900801 18900831    57.8
18900901 18900930    52.2
18901001 18901031    40.7
18901101 18901130    43.2
18901201 18901231    17.2
18910101 18910131     8.4
18910201 18910228     0.0
18910301 18910331    22.0
18910401 18910430    47.6
18910501 18910531    11.9
18910601 18910630    61.6
18910701 18910731    32.0
18910801 18910831    25.9
18910901 18910930    25.9
18911001 18911031    89.1
18911101 18911130    24.4
18911201 18911231    46.8
18920101 18920131    12.7
