PRCP       079010 19051201 20170930 missing_value=99999.9 DRUNG DRUNG                               
19051201 19051231     8.6
19060101 19060131     1.3
19060201 19060228    19.8
19060301 19060331    65.0
19060401 19060430     6.3
19060501 19060531    89.5
19060601 19060630    80.2
19060701 19060731    59.0
19060801 19060831    46.4
19060901 19060930    50.2
19061001 19061031    54.1
19061101 19061130    96.8
19061201 19061231    12.5
19070101 19070131     0.5
19070201 19070228    19.0
19070301 19070331     5.6
19070401 19070430    57.6
19070501 19070531    71.7
19070601 19070630    38.7
19070701 19070731    75.5
19070801 19070831    67.4
19070901 19070930    13.5
19071001 19071031    15.6
19071101 19071130    35.6
19071201 19071231    23.4
19080101 19080131    11.5
19080201 19080229     9.4
19080301 19080331    13.5
19080401 19080430     1.3
19080501 19080531    84.4
19080601 19080630    62.6
19080701 19080731    26.8
19080801 19080831    41.1
19080901 19080930   101.1
19081001 19081031    43.6
19081101 19081130    13.6
19081201 19081231     8.4
19090101 19090131    22.4
19090201 19090228    12.3
19090301 19090331    46.2
19090401 19090430    37.2
19090501 19090531    56.5
19090601 19090630    79.7
19090701 19090731    52.6
19090801 19090831   119.3
19090901 19090930    20.2
19091001 19091031    21.3
19091101 19091130    22.6
19091201 19091231    10.9
19100101 19100131     5.0
19100201 19100228    11.9
19100301 19100331    86.5
19100401 19100430     6.5
19100501 19100531    61.5
19100601 19100630    65.7
19100701 19100731    81.8
19100801 19100831    37.5
19100901 19100930    94.4
19101001 19101031    27.6
19101101 19101130    31.6
19101201 19101231    10.4
19110101 19110131     1.9
19110201 19110228   130.4
19110301 19110331    40.7
19110401 19110430     2.9
19110501 19110531    42.8
19110601 19110630    55.3
19110701 19110731    35.8
19110801 19110831    13.6
19110901 19110930    81.8
19111001 19111031     4.6
19111101 19111130     0.8
19111201 19111231    58.7
19120101 19120131     0.5
19120201 19120229     8.4
19120301 19120331    15.8
19120401 19120430    17.2
19120501 19120531     4.2
19120601 19120630    64.5
19120701 19120731    73.3
19120801 19120831    34.6
19120901 19120930   103.9
19121001 19121031    17.1
19121101 19121130    41.0
19121201 19121231    58.4
19130101 19130131     1.0
19130201 19130228    36.9
19130301 19130331    46.8
19130401 19130430    15.2
19130501 19130531    22.8
19130601 19130630    17.3
19130701 19130731    22.0
19130801 19130831    49.7
19130901 19130930    84.8
19131001 19131031    47.3
19131101 19131130    23.4
19131201 19131231    20.4
19140101 19140131     2.3
19140201 19140228    16.5
19140301 19140331     8.9
19140401 19140430    57.2
19140501 19140531    37.0
19140601 19140630    15.1
19140701 19140731    21.3
19140801 19140831     5.9
19140901 19140930     9.0
19141001 19141031     0.0
19141101 19141130    46.0
19141201 19141231    40.6
19150101 19150131    18.7
19150201 19150228     1.3
19150301 19150331     0.0
19150401 19150430    37.0
19150501 19150531    46.6
19150601 19150630   107.8
19150701 19150731    44.6
19150801 19150831    73.2
19150901 19150930   125.3
19151001 19151031    28.7
19151101 19151130    11.2
19151201 19151231     1.0
19160101 19160131    29.8
19160201 19160229     2.3
19160301 19160331     0.0
19160401 19160430    11.7
19160501 19160531    11.4
19160601 19160630    91.3
19160701 19160731    60.4
19160801 19160831    99.8
19160901 19160930    77.3
19161001 19161031    54.9
19161101 19161130    58.8
19161201 19161231    60.4
19170101 19170131    10.4
19170201 19170228    46.3
19170301 19170331    20.3
19170401 19170430    18.8
19170501 19170531    65.1
19170601 19170630    27.9
19170701 19170731    67.6
19170801 19170831    42.8
19170901 19170930    66.2
19171001 19171031    63.2
19171101 19171130     8.9
19171201 19171231     9.4
19180101 19180131    15.5
19180201 19180228    17.1
19180301 19180331    25.0
19180401 19180430    68.3
19180501 19180531    59.3
19180601 19180630    52.4
19180701 19180731    27.1
19180801 19180831    61.2
19180901 19180930    15.6
19181001 19181031    51.5
19181101 19181130     4.1
19181201 19181231    13.5
19190101 19190131     2.9
19190201 19190228    77.8
19190301 19190331    30.2
19190401 19190430     3.9
19190501 19190531    41.4
19190601 19190630    17.0
19190701 19190731    28.4
19190801 19190831    18.7
19190901 19190930    31.9
19191001 19191031    17.2
19191101 19191130     1.3
19191201 19191231    20.9
19200101 19200131     2.1
19200201 19200229     0.8
19200301 19200331    23.4
19200401 19200430     3.1
19200501 19200531    48.1
19200601 19200630    55.5
19200701 19200731    46.8
19200801 19200831    95.0
19200901 19200930    67.0
19201001 19201031    47.9
19201101 19201130    36.0
19201201 19201231    13.4
19210101 19210131    47.3
19210201 19210228    61.5
19210301 19210331    16.0
19210401 19210430    10.2
19210501 19210531    61.8
19210601 19210630    32.0
19210701 19210731    63.5
19210801 19210831    64.6
19210901 19210930    59.4
19211001 19211031    36.5
19211101 19211130    46.0
19211201 19211231    17.5
19220101 19220131    16.7
19220201 19220228    16.5
19220301 19220331     0.0
19220401 19220430    20.9
19220501 19220531    80.2
19220601 19220630    37.3
19220701 19220731    38.2
19220801 19220831    50.6
19220901 19220930    70.9
19221001 19221031    38.9
19221101 19221130     4.3
19221201 19221231    54.6
19230101 19230131     7.3
19230201 19230228     2.0
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    67.9
19230601 19230630    98.8
19230701 19230731    87.7
19230801 19230831    39.0
19230901 19230930    31.9
19231001 19231031    38.2
19231101 19231130    17.3
19231201 19231231    38.9
19240101 19240131     8.1
19240201 19240229    88.1
19240301 19240331    40.6
19240401 19240430     9.2
19240501 19240531    23.4
19240601 19240630    37.5
19240701 19240731    11.6
19240801 19240831    47.0
19240901 19240930    77.1
19241001 19241031    76.5
19241101 19241130   121.7
19241201 19241231     7.1
19250101 19250131    13.5
19250201 19250228    18.7
19250301 19250331     8.4
19250401 19250430    12.9
19250501 19250531    81.4
19250601 19250630    41.0
19250701 19250731    39.1
19250801 19250831    21.4
19250901 19250930    43.9
19251001 19251031    12.7
19251101 19251130    24.8
19251201 19251231     2.6
19260101 19260131     0.3
19260201 19260228     1.9
19260301 19260331    20.3
19260401 19260430    61.1
19260501 19260531    75.2
19260601 19260630    50.8
19260701 19260731    45.9
19260801 19260831    48.7
19260901 19260930    35.4
19261001 19261031    29.9
19261101 19261130     2.4
19261201 19261231    12.9
19270101 19270131     3.2
19270201 19270228    12.8
19270301 19270331    10.8
19270401 19270430     1.0
19270501 19270531    42.8
19270601 19270630    18.1
19270701 19270731    60.7
19270801 19270831    50.5
19270901 19270930    16.3
19271001 19271031     6.1
19271101 19271130    13.7
19271201 19271231    29.8
19280101 19280131    54.1
19280201 19280229    79.8
19280301 19280331    26.4
19280401 19280430    22.1
19280501 19280531    18.3
19280601 19280630    40.4
19280701 19280731    31.3
19280801 19280831     7.3
19280901 19280930    37.1
19281001 19281031    71.1
19281101 19281130     2.3
19281201 19281231     3.0
19290101 19290131    17.4
19290201 19290228    32.1
19290301 19290331    33.8
19290401 19290430    29.3
19290501 19290531    21.1
19290601 19290630    40.9
19290701 19290731    28.0
19290801 19290831    36.8
19290901 19290930    27.3
19291001 19291031    33.6
19291101 19291130    10.5
19291201 19291231    72.4
19300101 19300131     0.0
19300201 19300228    36.7
19300301 19300331     0.8
19300401 19300430    30.7
19300501 19300531    27.2
19300601 19300630     8.6
19300701 19300731    59.3
19300801 19300831    70.1
19300901 19300930    36.9
19301001 19301031    71.9
19301101 19301130    31.3
19301201 19301231   137.8
19310101 19310131     6.9
19310201 19310228     0.0
19310301 19310331    43.0
19310401 19310430    73.4
19310501 19310531    59.0
19310601 19310630    98.4
19310701 19310731    34.6
19310801 19310831    39.6
19310901 19310930    33.5
19311001 19311031     3.1
19311101 19311130    48.6
19311201 19311231     6.4
19320101 19320131     0.0
19320201 19320229    49.2
19320301 19320331    43.5
19320401 19320430    62.3
19320501 19320531    20.4
19320601 19320630    40.6
19320701 19320731    51.7
19320801 19320831    38.7
19320901 19320930    19.3
19321001 19321031    24.8
19321101 19321130     5.9
19321201 19321231    26.7
19330101 19330131    57.2
19330201 19330228     0.0
19330301 19330331    20.6
19330401 19330430    35.2
19330501 19330531    61.7
19330601 19330630    36.7
19330701 19330731    40.6
19330801 19330831    35.5
19330901 19330930    63.4
19331001 19331031    21.3
19331101 19331130    37.9
19331201 19331231    55.2
19340101 19340131     7.4
19340201 19340228    11.7
19340301 19340331     3.5
19340401 19340430    51.6
19340501 19340531     0.0
19340601 19340630    15.5
19340701 19340731    38.8
19340801 19340831    36.2
