PRCP       079036 19061101 20180131 missing_value=99999.9 NATIMUK                                   
19061101 19061130   126.6
19061201 19061231    10.7
19070101 19070131     0.0
19070201 19070228    24.4
19070301 19070331    20.3
19070401 19070430    58.4
19070501 19070531    61.2
19070601 19070630    36.1
19070701 19070731    71.9
19070801 19070831    71.2
19070901 19070930    21.9
19071001 19071031    13.0
19071101 19071130    42.2
19071201 19071231    24.4
19080101 19080131    10.9
19080201 19080229    15.8
19080301 19080331    22.2
19080401 19080430     3.0
19080501 19080531    85.3
19080601 19080630    67.7
19080701 19080731    27.5
19080801 19080831    33.9
19080901 19080930   117.0
19081001 19081031    45.1
19081101 19081130    16.4
19081201 19081231    10.7
19090101 19090131    19.0
19090201 19090228     7.6
19090301 19090331    24.7
19090401 19090430    41.5
19090501 19090531    42.5
19090601 19090630    90.3
19090701 19090731    66.7
19090801 19090831   121.2
19090901 19090930    23.8
19091001 19091031    34.3
19091101 19091130    31.6
19091201 19091231     8.7
19100101 19100131     7.3
19100201 19100228     4.1
19100301 19100331   129.7
19100401 19100430     9.7
19100501 19100531    58.9
19100601 19100630    39.9
19100701 19100731    98.5
19100801 19100831    42.3
19100901 19100930    83.9
19101001 19101031    27.9
19101101 19101130    79.5
19101201 19101231    15.5
19110101 19110131     0.0
19110201 19110228   146.0
19110301 19110331    17.2
19110401 19110430     3.8
19110501 19110531    50.1
19110601 19110630    54.9
19110701 19110731    54.6
19110801 19110831    17.5
19110901 19110930    47.0
19111001 19111031    15.7
19111101 19111130     0.0
19111201 19111231    76.5
19120101 19120131     0.0
19120201 19120229     2.8
19120301 19120331    24.2
19120401 19120430    15.8
19120501 19120531     6.3
19120601 19120630    63.6
19120701 19120731    62.8
19120801 19120831    33.2
19120901 19120930   100.3
19121001 19121031    12.2
19121101 19121130    36.9
19121201 19121231    47.9
19130101 19130131     3.6
19130201 19130228    31.0
19130301 19130331    48.5
19130401 19130430    25.0
19130501 19130531    29.6
19130601 19130630     8.7
19130701 19130731    24.9
19130801 19130831    48.9
19130901 19130930   100.8
19131001 19131031    58.2
19131101 19131130    33.5
19131201 19131231    19.6
19140101 19140131    13.5
19140201 19140228    25.6
19140301 19140331    29.2
19140401 19140430    54.7
19140501 19140531    34.5
19140601 19140630    12.5
19140701 19140731    19.8
19140801 19140831     6.9
19140901 19140930     3.3
19141001 19141031     3.1
19141101 19141130    48.6
19141201 19141231    46.8
19150101 19150131    12.4
19150201 19150228    13.5
19150301 19150331     0.8
19150401 19150430    30.0
19150501 19150531    42.7
19150601 19150630   105.4
19150701 19150731    45.8
19150801 19150831    69.1
19150901 19150930   113.8
19151001 19151031    29.5
19151101 19151130    17.2
19151201 19151231     0.5
19160101 19160131    45.8
19160201 19160229     4.6
19160301 19160331     0.0
19160401 19160430    14.1
19160501 19160531    20.1
19160601 19160630    83.6
19160701 19160731    54.9
19160801 19160831    74.8
19160901 19160930    89.7
19161001 19161031    62.7
19161101 19161130    77.3
19161201 19161231    56.9
19170101 19170131    14.9
19170201 19170228    36.4
19170301 19170331    30.0
19170401 19170430    19.2
19170501 19170531    58.7
19170601 19170630    28.3
19170701 19170731    79.8
19170801 19170831    56.7
19170901 19170930    52.5
19171001 19171031    62.1
19171101 19171130    11.3
19171201 19171231    21.3
19180101 19180131    26.9
19180201 19180228    17.8
19180301 19180331    15.3
19180401 19180430    31.0
19180501 19180531    72.7
19180601 19180630    55.1
19180701 19180731    30.1
19180801 19180831    52.7
19180901 19180930    21.9
19181001 19181031    49.9
19181101 19181130     8.1
19181201 19181231     4.4
19190101 19190131     2.8
19190201 19190228   104.7
19190301 19190331    26.7
19190401 19190430     7.9
19190501 19190531    37.8
19190601 19190630    15.7
19190701 19190731    45.7
19190801 19190831    22.9
19190901 19190930    45.6
19191001 19191031    27.6
19191101 19191130     7.4
19191201 19191231    17.8
19200101 19200131    14.0
19200201 19200229     0.3
19200301 19200331    22.8
19200401 19200430     2.8
19200501 19200531    37.5
19200601 19200630    88.0
19200701 19200731    44.7
19200801 19200831    92.0
19200901 19200930    73.2
19201001 19201031    24.9
19201101 19201130    54.9
19201201 19201231    18.1
19210101 19210131    43.7
19210201 19210228    45.3
19210301 19210331    16.5
19210401 19210430    11.1
19210501 19210531    49.4
19210601 19210630    27.0
19210701 19210731    65.4
19210801 19210831    50.8
19210901 19210930    53.6
19211001 19211031    29.2
19211101 19211130    57.3
19211201 19211231    10.2
19220101 19220131    19.1
19220201 19220228    14.0
19220301 19220331     1.8
19220401 19220430    21.0
19220501 19220531    62.8
19220601 19220630    34.3
19220701 19220731    37.8
19220801 19220831    47.8
19220901 19220930    75.4
19221001 19221031    43.1
19221101 19221130     4.1
19221201 19221231    78.7
19230101 19230131     6.2
19230201 19230228     4.3
19230301 19230331     0.0
19230401 19230430     3.8
19230501 19230531    75.6
19230601 19230630   108.8
19230701 19230731    85.4
19230801 19230831    29.2
19230901 19230930    58.5
19231001 19231031    26.8
19231101 19231130    24.5
19231201 19231231    48.6
19240101 19240131    18.5
19240201 19240229    91.3
19240301 19240331    35.0
19240401 19240430    15.8
19240501 19240531    29.7
19240601 19240630    44.6
19240701 19240731    17.3
19240801 19240831    68.6
19240901 19240930    76.4
19241001 19241031    39.2
19241101 19241130   122.8
19241201 19241231     5.1
19250101 19250131    15.8
19250201 19250228    11.5
19250301 19250331     8.9
19250401 19250430    17.6
19250501 19250531    58.7
19250601 19250630    31.8
19250701 19250731    35.4
19250801 19250831    32.6
19250901 19250930    56.1
19251001 19251031     8.2
19251101 19251130    22.4
19251201 19251231     4.6
19260101 19260131     0.0
19260201 19260228     5.6
19260301 19260331     3.3
19260401 19260430    67.6
19260501 19260531    95.6
19260601 19260630    31.0
19260701 19260731    59.6
19260801 19260831    56.2
19260901 19260930    43.2
19261001 19261031    48.3
19261101 19261130     5.1
19261201 19261231    12.9
19270101 19270131     6.4
19270201 19270228    16.7
19270301 19270331    22.6
19270401 19270430     1.0
19270501 19270531    55.2
19270601 19270630    23.3
19270701 19270731    47.2
19270801 19270831    77.8
19270901 19270930    17.5
19271001 19271031     9.9
19271101 19271130    40.3
19271201 19271231    23.7
19280101 19280131    44.1
19280201 19280229    89.7
19280301 19280331    25.2
19280401 19280430    27.9
19280501 19280531    29.5
19280601 19280630    61.1
19280701 19280731    38.2
19280801 19280831    11.0
19280901 19280930    52.2
19281001 19281031    80.8
19281101 19281130     5.1
19281201 19281231     5.6
19290101 19290131    19.4
19290201 19290228     7.6
19290301 19290331    48.7
19290401 19290430    35.2
19290501 19290531    31.0
19290601 19290630    57.5
19290701 19290731    37.7
19290801 19290831    49.5
19290901 19290930    20.8
19291001 19291031    26.7
19291101 19291130    13.2
19291201 19291231    66.4
19300101 19300131     0.0
19300201 19300228    38.2
19300301 19300331     2.0
19300401 19300430    31.7
19300501 19300531    20.9
19300601 19300630     4.4
19300701 19300731    57.3
19300801 19300831    71.4
19300901 19300930    39.1
19301001 19301031    72.4
19301101 19301130    53.1
19301201 19301231   116.5
19310101 19310131     8.0
19310201 19310228     0.0
19310301 19310331    22.9
19310401 19310430    94.1
19310501 19310531    45.1
19310601 19310630    88.4
19310701 19310731    44.9
19310801 19310831    48.9
19310901 19310930    27.5
19311001 19311031     9.4
19311101 19311130    35.0
19311201 19311231     5.1
19320101 19320131     0.0
19320201 19320229    61.5
19320301 19320331    46.8
19320401 19320430    45.1
19320501 19320531    24.9
19320601 19320630    38.6
19320701 19320731    58.0
19320801 19320831    61.8
19320901 19320930    26.3
19321001 19321031    32.7
19321101 19321130    18.2
19321201 19321231    28.9
19330101 19330131    86.2
19330201 19330228     0.8
19330301 19330331    26.2
19330401 19330430    25.2
19330501 19330531    69.0
19330601 19330630    34.4
19330701 19330731    26.9
19330801 19330831    48.4
19330901 19330930    65.3
19331001 19331031    27.4
19331101 19331130    57.3
19331201 19331231    53.6
19340101 19340131     7.4
19340201 19340228     8.9
19340301 19340331    11.7
19340401 19340430    46.7
19340501 19340531     0.0
19340601 19340630    14.8
19340701 19340731    40.7
19340801 19340831    37.5
19340901 19340930    57.8
19341001 19341031   106.1
19341101 19341130    77.1
19341201 19341231     5.4
19350101 19350131    10.9
19350201 19350228     2.7
