PRCP       080004 18870501 20180131 missing_value=99999.9 CANARY ISLAND                             
18870501 18870531    13.3
18870601 18870630    55.6
18870701 18870731    51.4
18870801 18870831    26.1
18870901 18870930    28.5
18871001 18871031    35.6
18871101 18871130   128.1
18871201 18871231    57.4
18880101 18880131    10.1
18880201 18880229    19.8
18880301 18880331    17.8
18880401 18880430     2.8
18880501 18880531    46.5
18880601 18880630    22.1
18880701 18880731    11.0
18880801 18880831    27.1
18880901 18880930    34.1
18881001 18881031    10.2
18881101 18881130     3.5
18881201 18881231    83.3
18890101 18890131    55.7
18890201 18890228    36.1
18890301 18890331     0.0
18890401 18890430   100.6
18890501 18890531    35.4
18890601 18890630    86.9
18890701 18890731     5.8
18890801 18890831    69.1
18890901 18890930    39.3
18891001 18891031    33.6
18891101 18891130   127.3
18891201 18891231     0.0
18900101 18900131    15.3
18900201 18900228     3.8
18900301 18900331    85.3
18900401 18900430     9.9
18900501 18900531    57.1
18900601 18900630    55.1
18900701 18900731    65.3
18900801 18900831    22.8
18900901 18900930    19.8
18901001 18901031    61.1
18901101 18901130    55.8
18901201 18901231    39.9
18910101 18910131    17.8
18910201 18910228     0.0
18910301 18910331    55.9
18910401 18910430   101.6
18910501 18910531    20.5
18910601 18910630    59.3
18910701 18910731    29.7
18910801 18910831    24.0
18910901 18910930     7.9
18911001 18911031    68.4
18911101 18911130    33.3
18911201 18911231    14.4
18920101 18920131     0.0
18920201 18920229     4.8
18920301 18920331     6.6
18920401 18920430    41.4
18920501 18920531    77.3
18920601 18920630    33.0
18920701 18920731    44.2
18920801 18920831    20.2
18920901 18920930    47.6
18921001 18921031    65.2
18921101 18921130    35.0
18921201 18921231    23.6
18930101 18930131     0.0
18930201 18930228     0.0
18930301 18930331     8.9
18930401 18930430    27.8
18930501 18930531    96.1
18930601 18930630    53.1
18930701 18930731    30.9
18930801 18930831    42.5
18930901 18930930    17.3
18931001 18931031    20.7
18931101 18931130    48.0
18931201 18931231     5.5
18940101 18940131     8.1
18940201 18940228     2.3
18940301 18940331    26.4
18940401 18940430    23.9
18940501 18940531    35.6
18940601 18940630    64.2
18940701 18940731    28.7
18940801 18940831    47.5
18940901 18940930    27.5
18941001 18941031    65.4
18941101 18941130     0.0
18941201 18941231    95.8
18950101 18950131    34.0
18950201 18950228     5.1
18950301 18950331     9.1
18950401 18950430    46.8
18950501 18950531     0.5
18950601 18950630    24.3
18950701 18950731    17.8
18950801 18950831    29.0
18950901 18950930    23.1
18951001 18951031    15.7
18951101 18951130     0.0
18951201 18951231    20.1
18960101 18960131    14.0
18960201 18960229    35.0
18960301 18960331    41.6
18960401 18960430    26.0
18960501 18960531    20.9
18960601 18960630    22.6
18960701 18960731     2.5
18960801 18960831    37.4
18960901 18960930    45.0
18961001 18961031     2.3
18961101 18961130    26.1
18961201 18961231    12.2
18970101 18970131    43.9
18970201 18970228     0.0
18970301 18970331     9.9
18970401 18970430     5.3
18970501 18970531     6.9
18970601 18970630    46.5
18970701 18970731    27.6
18970801 18970831    64.7
18970901 18970930    21.3
18971001 18971031    18.2
18971101 18971130     2.1
18971201 18971231     0.0
18980101 18980131     0.0
18980201 18980228    21.9
18980301 18980331     0.0
18980401 18980430    15.1
18980501 18980531    18.3
18980601 18980630    64.0
18980701 18980731    38.9
18980801 18980831    34.4
18980901 18980930    29.2
18981001 18981031    12.5
18981101 18981130     9.4
18981201 18981231    16.5
18990101 18990131    26.6
18990201 18990228    32.0
18990301 18990331    29.1
18990401 18990430    43.1
18990501 18990531    17.5
18990601 18990630    94.5
18990701 18990731     7.1
18990801 18990831     8.9
18990901 18990930     5.6
18991001 18991031     1.3
18991101 18991130    12.7
18991201 18991231     0.0
19000101 19000131     6.3
19000201 19000228     0.0
19000301 19000331    60.1
19000401 19000430    28.0
19000501 19000531    46.3
19000601 19000630    33.4
19000701 19000731    15.2
19000801 19000831    44.8
19000901 19000930    22.0
19001001 19001031     4.6
19001101 19001130    15.2
19001201 19001231    12.9
19010101 19010131    15.2
19010201 19010228     3.6
19010301 19010331     0.0
19010401 19010430    29.9
19010501 19010531     4.1
19010601 19010630    34.6
19010701 19010731    19.7
19010801 19010831    27.5
19010901 19010930    28.9
19011001 19011031    31.7
19011101 19011130     7.3
19011201 19011231    13.9
19020101 19020131     7.6
19020201 19020228     0.0
19020301 19020331    19.1
19020401 19020430     1.5
19020501 19020531     3.0
19020601 19020630    27.6
19020701 19020731    12.2
19020801 19020831    13.7
19020901 19020930    10.9
19021001 19021031    27.2
19021101 19021130     7.1
19021201 19021231    31.1
19030101 19030131     2.5
19030201 19030228     8.6
19030301 19030331    34.8
19030401 19030430    56.4
19030501 19030531    15.0
19030601 19030630    47.3
19030701 19030731    56.5
19030801 19030831    12.5
19030901 19030930    53.9
19031001 19031031    37.1
19031101 19031130    41.4
19031201 19031231    69.1
19040101 19040131    61.5
19040201 19040229     1.3
19040301 19040331     4.9
19040401 19040430    21.4
19040501 19040531    18.1
19040601 19040630    33.9
19040701 19040731    25.1
19040801 19040831    28.4
19040901 19040930    10.6
19041001 19041031    37.9
19041101 19041130    11.2
19041201 19041231    19.8
19050101 19050131     0.0
19050201 19050228    33.2
19050301 19050331     3.6
19050401 19050430    56.9
19050501 19050531    34.3
19050601 19050630    37.5
19050701 19050731    62.2
19050801 19050831     8.7
19050901 19050930    18.9
19051001 19051031    41.8
19051101 19051130     5.1
19051201 19051231     2.0
19060101 19060131     0.0
19060201 19060228    27.5
19060301 19060331    54.1
19060401 19060430     1.5
19060501 19060531    81.0
19060601 19060630    48.4
19060701 19060731    39.1
19060801 19060831    37.5
19060901 19060930    71.2
19061001 19061031    21.7
19061101 19061130    41.7
19061201 19061231    18.3
19070101 19070131     0.0
19070201 19070228    21.1
19070301 19070331     8.4
19070401 19070430    24.7
19070501 19070531    20.1
19070601 19070630    28.3
19070701 19070731    38.5
19070801 19070831    33.8
19070901 19070930     8.9
19071001 19071031     8.4
19071101 19071130    20.6
19071201 19071231    48.7
19080101 19080131     5.1
19080201 19080229     8.9
