PRCP       080009 18870601 20171231 missing_value=99999.9 COONOOER BRIDGE                           
18870601 18870630    56.7
18870701 18870731    57.1
18870801 18870831    51.3
18870901 18870930    41.3
18871001 18871031    74.0
18871101 18871130   148.9
18871201 18871231   110.5
18880101 18880131    17.8
18880201 18880229     9.4
18880301 18880331    12.9
18880401 18880430    15.7
18880501 18880531    50.0
18880601 18880630    35.7
18880701 18880731    32.8
18880801 18880831    31.3
18880901 18880930    48.3
18881001 18881031    11.2
18881101 18881130    10.6
18881201 18881231    25.7
18890101 18890131    90.9
18890201 18890228    47.0
18890301 18890331     0.0
18890401 18890430   105.8
18890501 18890531    56.9
18890601 18890630    99.0
18890701 18890731    10.2
18890801 18890831    78.7
18890901 18890930    54.4
18891001 18891031    68.0
18891101 18891130    53.4
18891201 18891231     0.0
18900101 18900131    23.6
18900201 18900228    33.5
18900301 18900331    57.5
18900401 18900430    73.4
18900501 18900531    44.6
18900601 18900630    77.5
18900701 18900731    72.2
18900801 18900831    49.6
18900901 18900930    42.7
18901001 18901031    44.6
18901101 18901130    49.3
18901201 18901231    22.1
18910101 18910131    18.8
18910201 18910228     0.8
18910301 18910331    44.2
18910401 18910430    78.3
18910501 18910531    32.0
18910601 18910630    59.5
18910701 18910731    36.8
18910801 18910831    36.0
18910901 18910930    19.0
18911001 18911031    76.0
18911101 18911130    34.1
18911201 18911231    30.0
18920101 18920131     6.1
18920201 18920229     2.3
18920301 18920331     8.4
18920401 18920430    41.0
18920501 18920531    40.8
18920601 18920630    54.1
18920701 18920731    51.0
18920801 18920831    34.8
18920901 18920930    49.6
18921001 18921031    52.9
18921101 18921130    66.8
18921201 18921231    28.3
18930101 18930131     0.0
18930201 18930228     0.0
18930301 18930331    11.9
18930401 18930430    47.3
18930501 18930531   148.3
18930601 18930630   102.6
18930701 18930731    45.1
18930801 18930831    49.1
18930901 18930930    33.3
18931001 18931031    42.7
18931101 18931130    74.5
18931201 18931231     6.3
18940101 18940131    25.4
18940201 18940228     2.5
18940301 18940331    52.9
18940401 18940430    18.5
18940501 18940531    38.6
18940601 18940630    49.1
18940701 18940731    52.9
18940801 18940831    73.2
18940901 18940930    51.5
18941001 18941031   151.5
18941101 18941130    10.6
18941201 18941231    87.1
18950101 18950131    33.3
18950201 18950228     0.0
18950301 18950331    20.5
18950401 18950430    59.3
18950501 18950531     7.6
18950601 18950630    31.3
18950701 18950731    40.6
18950801 18950831    65.8
18950901 18950930    44.4
18951001 18951031    28.0
18951101 18951130    16.3
18951201 18951231    27.6
18960101 18960131    16.9
18960201 18960229    26.3
18960301 18960331    35.0
18960401 18960430    61.2
18960501 18960531    38.4
18960601 18960630    22.9
18960701 18960731    23.1
18960801 18960831    17.5
18960901 18960930    36.5
18961001 18961031     2.8
18961101 18961130    43.3
18961201 18961231    15.7
18970101 18970131    76.0
18970201 18970228     3.8
18970301 18970331    24.7
18970401 18970430    13.4
18970501 18970531    23.9
18970601 18970630    54.2
18970701 18970731    39.0
18970801 18970831    88.1
18970901 18970930    17.6
18971001 18971031    28.9
18971101 18971130    11.1
18971201 18971231     5.3
18980101 18980131     0.0
18980201 18980228    44.2
18980301 18980331     5.3
18980401 18980430    27.2
18980501 18980531    30.3
18980601 18980630   114.8
18980701 18980731    54.1
18980801 18980831    30.2
18980901 18980930    43.2
18981001 18981031    23.4
18981101 18981130    12.2
18981201 18981231    31.2
18990101 18990131    18.8
18990201 18990228    47.8
18990301 18990331    45.4
18990401 18990430    29.7
18990501 18990531    36.0
18990601 18990630   111.3
18990701 18990731     7.9
18990801 18990831    19.1
18990901 18990930    19.9
18991001 18991031    25.7
18991101 18991130    17.6
18991201 18991231     7.1
19000101 19000131    12.0
19000201 19000228     0.0
19000301 19000331    49.5
19000401 19000430    38.4
19000501 19000531    54.6
19000601 19000630    55.4
19000701 19000731    10.3
19000801 19000831    78.9
19000901 19000930    36.5
19001001 19001031    14.6
19001101 19001130    19.4
19001201 19001231    18.1
19010101 19010131    10.4
19010201 19010228     5.3
19010301 19010331     9.4
19010401 19010430    30.6
19010501 19010531    16.4
19010601 19010630    66.4
19010701 19010731    38.8
19010801 19010831    29.9
19010901 19010930    68.0
19011001 19011031    34.3
19011101 19011130    16.6
19011201 19011231    18.0
19020101 19020131    20.6
19020201 19020228     5.9
19020301 19020331    38.6
19020401 19020430     1.3
19020501 19020531     3.3
19020601 19020630    29.8
19020701 19020731    10.7
19020801 19020831    22.9
19020901 19020930    10.7
19021001 19021031    22.3
19021101 19021130     5.6
19021201 19021231    53.3
19030101 19030131     3.0
19030201 19030228    10.4
19030301 19030331    33.8
19030401 19030430    86.6
19030501 19030531    38.1
19030601 19030630    56.6
19030701 19030731    98.2
19030801 19030831    31.2
19030901 19030930    88.6
19031001 19031031    75.1
19031101 19031130    82.5
19031201 19031231    34.0
19040101 19040131    76.4
19040201 19040229    22.9
19040301 19040331    12.3
19040401 19040430    17.0
19040501 19040531    42.0
19040601 19040630    44.5
19040701 19040731    61.3
19040801 19040831    39.2
19040901 19040930    20.5
19041001 19041031    56.7
19041101 19041130    15.0
19041201 19041231     8.4
19050101 19050131    22.9
19050201 19050228    17.3
19050301 19050331     0.0
19050401 19050430    52.8
19050501 19050531    49.5
19050601 19050630    61.8
19050701 19050731    69.7
19050801 19050831    13.7
19050901 19050930    37.8
19051001 19051031    69.9
19051101 19051130    11.7
19051201 19051231     1.3
19060101 19060131     0.0
19060201 19060228    11.9
19060301 19060331    59.9
19060401 19060430     5.6
19060501 19060531   118.1
19060601 19060630    65.4
19060701 19060731    47.4
19060801 19060831    47.7
19060901 19060930    50.0
19061001 19061031    43.4
19061101 19061130    51.3
19061201 19061231    15.8
19070101 19070131     1.0
19070201 19070228    41.1
