PRCP       080065 18930101 20180131 missing_value=99999.9 YARROWEYAH                                
18930101 18930131    12.2
18930201 18930228     0.0
18930301 18930331    18.8
18930401 18930430    23.8
18930501 18930531   132.1
18930601 18930630    82.6
18930701 18930731    31.5
18930801 18930831    40.2
18930901 18930930    54.0
18931001 18931031    41.8
18931101 18931130    45.5
18931201 18931231    13.5
18940101 18940131     4.0
18940201 18940228    10.1
18940301 18940331    70.4
18940401 18940430    60.8
18940501 18940531    55.7
18940601 18940630   108.8
18940701 18940731    47.0
18940801 18940831    61.2
18940901 18940930    24.9
18941001 18941031   154.6
18941101 18941130     6.1
18941201 18941231    91.6
18950101 18950131    33.8
18950201 18950228    55.9
18950301 18950331    29.7
18950401 18950430    60.2
18950501 18950531    22.9
18950601 18950630    42.3
18950701 18950731    15.5
18950801 18950831    60.5
18950901 18950930     9.1
18951001 18951031    32.0
18951101 18951130     0.5
18951201 18951231    21.2
18960101 18960131    12.7
18960201 18960229    70.7
18960301 18960331    77.0
18960401 18960430    78.3
18960501 18960531    32.3
18960601 18960630    60.5
18960701 18960731    19.5
18960801 18960831    17.7
18960901 18960930    46.2
18961001 18961031     0.0
18961101 18961130    27.3
18961201 18961231     7.6
18970101 18970131    84.9
18970201 18970228    14.0
18970301 18970331    10.7
18970401 18970430     5.1
18970501 18970531     5.9
18970601 18970630    69.3
18970701 18970731    33.5
18970801 18970831    88.2
18970901 18970930    61.2
18971001 18971031    17.8
18971101 18971130    10.5
18971201 18971231    20.4
18980101 18980131     3.8
18980201 18980228    47.5
18980301 18980331     1.5
18980401 18980430     7.7
18980501 18980531    19.5
18980601 18980630    82.2
18980701 18980731    25.7
18980801 18980831    39.2
18980901 18980930    27.6
18981001 18981031    27.9
18981101 18981130    18.3
18981201 18981231    34.3
18990101 18990131    26.7
18990201 18990228    34.0
18990301 18990331    41.2
18990401 18990430    66.8
18990501 18990531     9.9
18990601 18990630    78.6
18990701 18990731    10.4
18990801 18990831    34.7
18990901 18990930    10.3
18991001 18991031    17.3
18991101 18991130    43.8
18991201 18991231     0.0
19000101 19000131    28.0
