PRCP       082001 18760101 20180131 missing_value=99999.9 BEECHWORTH COMPOSITE                      
18760101 18760131    22.6
18760201 18760229    17.1
18760301 18760331    51.6
18760401 18760430    21.4
18760501 18760531   100.3
18760601 18760630    37.8
18760701 18760731    35.7
18760801 18760831   135.1
18760901 18760930   125.5
18761001 18761031   109.0
18761101 18761130   155.2
18761201 18761231    32.2
18770101 18770131    32.8
18770201 18770228    32.1
18770301 18770331    90.0
18770401 18770430    44.9
18770501 18770531   135.8
18770601 18770630   110.1
18770701 18770731    38.2
18770801 18770831    18.8
18770901 18770930    87.1
18771001 18771031    34.1
18771101 18771130    18.8
18771201 18771231    29.0
18780101 18780131     8.9
18780201 18780228   125.3
18780301 18780331   201.8
18780401 18780430   151.9
18780501 18780531    21.8
18780601 18780630    50.0
18780701 18780731    94.2
18780801 18780831    64.5
18780901 18780930    99.1
18781001 18781031   121.7
18781101 18781130    82.3
18781201 18781231     6.9
18790101 18790131    27.2
18790201 18790228    39.6
18790301 18790331    46.5
18790401 18790430    39.3
18790501 18790531    53.4
18790601 18790630    62.9
18790701 18790731   134.9
18790801 18790831    59.9
18790901 18790930    72.4
18791001 18791031   130.8
18791101 18791130    95.4
18791201 18791231    31.5
18800101 18800131    22.6
18800201 18800229    94.8
18800301 18800331    78.3
18800401 18800430   198.4
18800501 18800531    73.1
18800601 18800630    90.1
18800701 18800731    28.7
18800801 18800831    76.2
18800901 18800930    65.0
18801001 18801031    63.7
18801101 18801130    34.9
18801201 18801231    19.9
18810101 18810131    17.7
18810201 18810228    72.1
18810301 18810331   158.8
18810401 18810430    20.3
18810501 18810531    88.7
18810601 18810630    98.6
18810701 18810731    39.2
18810801 18810831    50.1
18810901 18810930    38.8
18811001 18811031    44.6
18811101 18811130    60.3
18811201 18811231    32.9
18820101 18820131     7.9
18820201 18820228     4.1
18820301 18820331    24.7
18820401 18820430    74.8
18820501 18820531   106.8
18820601 18820630    53.0
18820701 18820731    92.8
18820801 18820831   120.2
18820901 18820930    44.5
18821001 18821031   106.5
18821101 18821130    66.0
18821201 18821231    36.9
18830101 18830131     9.5
18830201 18830228    43.0
18830301 18830331    46.5
18830401 18830430    25.7
