PRCP       082068 19090101 20180131 missing_value=99999.9 MITTA MITTA FORESTRY                      
19090101 19090131    50.3
19090201 19090228    41.5
19090301 19090331   111.0
19090401 19090430   150.5
19090501 19090531    89.4
19090601 19090630   255.1
19090701 19090731   104.9
19090801 19090831   175.1
19090901 19090930    62.6
19091001 19091031    83.9
19091101 19091130     9.8
19091201 19091231    27.2
19100101 19100131    38.4
19100201 19100228     1.9
19100301 19100331    72.9
19100401 19100430    18.8
19100501 19100531    91.4
19100601 19100630    94.5
19100701 19100731   112.4
19100801 19100831    89.0
19100901 19100930   139.4
19101001 19101031    86.2
19101101 19101130   105.0
19101201 19101231   108.6
19110101 19110131    47.2
19110201 19110228   201.1
19110301 19110331    99.3
19110401 19110430    11.7
19110501 19110531   104.3
19110601 19110630   112.9
19110701 19110731   158.0
19110801 19110831    36.3
19110901 19110930    51.5
19111001 19111031    26.6
19111101 19111130    36.9
19111201 19111231   147.0
19120101 19120131    18.8
19120201 19120229    24.9
19120301 19120331    27.3
19120401 19120430    31.3
19120501 19120531     3.0
19120601 19120630   130.3
19120701 19120731   196.5
19120801 19120831    92.8
19120901 19120930   239.1
19121001 19121031    50.2
19121101 19121130   159.1
19121201 19121231   123.9
19130101 19130131    34.5
19130201 19130228    35.8
19130301 19130331   218.2
19130401 19130430    14.5
19130501 19130531   100.1
19130601 19130630    31.2
19130701 19130731    52.2
19130801 19130831   104.6
19130901 19130930    86.6
19131001 19131031   108.4
19131101 19131130    46.1
19131201 19131231    43.9
19140101 19140131    48.1
19140201 19140228     0.0
19140301 19140331    79.5
19140401 19140430    48.9
19140501 19140531    66.2
19140601 19140630    38.1
19140701 19140731    81.1
19140801 19140831    21.9
19140901 19140930    10.5
19141001 19141031     2.3
19141101 19141130    40.0
19141201 19141231    98.5
19150101 19150131    27.2
19150201 19150228     8.3
19150301 19150331     4.5
19150401 19150430    53.0
19150501 19150531   262.6
19150601 19150630   180.9
19150701 19150731   128.9
19150801 19150831   182.3
19150901 19150930   133.2
19151001 19151031    84.3
19151101 19151130    30.6
19151201 19151231    33.0
19160101 19160131    69.5
19160201 19160229    53.2
19160301 19160331     7.5
19160401 19160430    53.1
19160501 19160531    51.3
19160601 19160630   185.3
19160701 19160731   234.7
19160801 19160831   178.5
19160901 19160930   235.8
19161001 19161031   197.4
19161101 19161130   141.1
19161201 19161231    53.0
19170101 19170131   125.3
19170201 19170228   125.0
19170301 19170331    97.6
19170401 19170430    19.5
19170501 19170531   154.0
19170601 19170630   323.2
19170701 19170731   203.8
19170801 19170831   209.1
19170901 19170930   173.7
19171001 19171031   234.4
19171101 19171130    86.6
19171201 19171231    33.2
19180101 19180131   107.7
19180201 19180228    35.3
19180301 19180331   160.2
19180401 19180430    87.2
19180501 19180531   297.7
19180601 19180630   172.5
19180701 19180731   120.6
19180801 19180831   158.4
19180901 19180930    48.6
19181001 19181031    58.6
19181101 19181130    18.6
19181201 19181231    31.0
19190101 19190131     0.9
19190201 19190228    73.9
19190301 19190331    69.3
19190401 19190430    47.4
19190501 19190531    92.9
19190601 19190630   105.9
19190701 19190731    58.9
19190801 19190831    38.5
19190901 19190930    87.4
19191001 19191031    22.2
19191101 19191130    26.2
19191201 19191231    95.3
19200101 19200131     1.4
19200201 19200229     0.5
19200301 19200331     8.4
19200401 19200430    26.0
19200501 19200531    77.6
19200601 19200630   194.3
19200701 19200731   163.3
19200801 19200831   177.7
19200901 19200930   203.0
19201001 19201031   150.5
19201101 19201130    53.6
19201201 19201231     8.3
19210101 19210131    56.1
19210201 19210228    59.9
19210301 19210331   101.1
19210401 19210430    25.2
19210501 19210531   161.7
19210601 19210630   139.5
19210701 19210731   156.8
19210801 19210831   149.2
19210901 19210930   191.6
19211001 19211031    82.7
19211101 19211130    47.0
19211201 19211231    33.0
19220101 19220131    11.4
19220201 19220228    37.5
19220301 19220331     0.0
19220401 19220430    33.0
19220501 19220531    61.9
19220601 19220630    90.0
19220701 19220731    97.7
19220801 19220831    84.4
19220901 19220930   100.2
19221001 19221031   102.7
19221101 19221130     5.0
19221201 19221231    50.5
19230101 19230131    11.4
19230201 19230228     0.0
19230301 19230331     1.6
19230401 19230430     0.0
19230501 19230531   178.6
19230601 19230630   203.5
19230701 19230731   185.5
19230801 19230831    96.1
19230901 19230930    63.8
19231001 19231031   125.7
19231101 19231130    56.1
19231201 19231231   145.2
19240101 19240131    49.1
19240201 19240229    27.8
19240301 19240331    98.5
19240401 19240430    62.5
19240501 19240531    58.5
19240601 19240630   120.6
19240701 19240731    41.2
19240801 19240831   195.9
19240901 19240930    51.0
19241001 19241031    85.1
19241101 19241130   178.9
19241201 19241231    37.2
19250101 19250131   120.1
19250201 19250228   109.3
19250301 19250331    39.1
19250401 19250430    10.1
19250501 19250531   106.3
19250601 19250630    84.7
19250701 19250731    93.0
19250801 19250831   108.4
19250901 19250930   106.8
19251001 19251031    20.3
19251101 19251130    38.3
19251201 19251231     1.4
19260101 19260131    70.5
19260201 19260228     2.2
19260301 19260331   131.9
19260401 19260430   161.4
19260501 19260531   148.1
19260601 19260630   137.1
19260701 19260731   111.6
19260801 19260831   118.3
19260901 19260930    82.2
19261001 19261031    77.5
19261101 19261130    33.0
19261201 19261231    18.4
19270101 19270131    12.2
19270201 19270228    23.8
19270301 19270331     7.4
19270401 19270430     2.0
19270501 19270531    91.9
19270601 19270630    68.6
19270701 19270731   128.2
19270801 19270831   181.1
19270901 19270930    40.0
19271001 19271031   122.3
19271101 19271130    30.3
19271201 19271231    19.6
19280101 19280131    63.5
19280201 19280229   169.7
19280301 19280331   122.0
19280401 19280430    62.6
19280501 19280531    81.9
19280601 19280630   208.3
19280701 19280731   106.2
19280801 19280831    29.2
19280901 19280930    78.0
19281001 19281031   176.4
19281101 19281130     7.0
19281201 19281231     5.0
19290101 19290131     7.9
19290201 19290228    27.5
19290301 19290331    30.3
19290401 19290430   130.1
19290501 19290531    62.0
19290601 19290630   126.6
19290701 19290731    45.6
19290801 19290831    99.8
19290901 19290930    48.3
19291001 19291031    33.7
19291101 19291130    48.1
19291201 19291231    71.5
19300101 19300131     0.0
19300201 19300228    25.6
19300301 19300331    26.8
19300401 19300430    41.4
19300501 19300531   186.8
19300601 19300630     9.4
19300701 19300731   100.8
19300801 19300831   147.4
19300901 19300930    75.2
19301001 19301031   198.1
19301101 19301130    56.4
19301201 19301231   252.4
19310101 19310131    46.1
19310201 19310228    10.6
19310301 19310331   108.8
19310401 19310430   101.4
19310501 19310531   129.2
19310601 19310630   288.2
19310701 19310731   136.7
19310801 19310831   114.5
19310901 19310930   110.8
19311001 19311031    68.3
19311101 19311130    95.5
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    21.4
19320301 19320331   152.8
19320401 19320430   187.1
19320501 19320531     8.5
19320601 19320630   243.3
19320701 19320731   149.3
19320801 19320831   119.5
19320901 19320930    81.5
19321001 19321031    80.7
19321101 19321130    25.1
19321201 19321231     0.0
19330101 19330131    36.4
19330201 19330228     0.0
19330301 19330331    23.2
19330401 19330430    20.8
19330501 19330531   134.1
19330601 19330630    90.4
19330701 19330731   131.1
19330801 19330831    80.4
19330901 19330930   161.4
19331001 19331031    87.9
19331101 19331130    70.5
19331201 19331231   162.7
19340101 19340131   107.4
19340201 19340228    89.5
19340301 19340331    76.9
19340401 19340430    63.1
19340501 19340531     0.0
19340601 19340630    43.6
19340701 19340731   162.4
19340801 19340831   162.7
19340901 19340930    69.8
19341001 19341031   196.3
19341101 19341130   184.7
19341201 19341231    59.6
19350101 19350131    37.3
19350201 19350228    13.3
19350301 19350331    45.1
19350401 19350430   180.7
19350501 19350531    54.3
19350601 19350630   116.1
19350701 19350731   146.7
19350801 19350831   151.3
19350901 19350930   112.7
19351001 19351031    65.0
19351101 19351130    24.2
19351201 19351231    23.4
19360101 19360131    59.1
19360201 19360229    26.1
19360301 19360331     7.5
19360401 19360430    82.1
19360501 19360531    46.7
19360601 19360630    79.5
19360701 19360731   222.4
19360801 19360831   220.1
19360901 19360930    35.2
19361001 19361031    73.7
19361101 19361130    39.6
19361201 19361231    95.6
19370101 19370131    58.0
19370201 19370228    52.9
19370301 19370331    16.9
19370401 19370430    24.9
19370501 19370531    77.8
19370601 19370630    42.8
19370701 19370731    56.5
19370801 19370831   100.1
19370901 19370930   100.2
19371001 19371031    72.2
19371101 19371130    22.0
19371201 19371231    21.6
19380101 19380131    53.6
19380201 19380228    57.2
19380301 19380331     2.7
19380401 19380430    81.0
19380501 19380531    32.6
19380601 19380630   170.7
19380701 19380731    81.5
19380801 19380831    61.8
19380901 19380930    28.9
19381001 19381031    13.0
19381101 19381130     9.1
19381201 19381231     0.0
19390101 19390131    19.1
19390201 19390228   267.1
19390301 19390331   110.5
19390401 19390430   244.3
19390501 19390531    45.4
19390601 19390630   225.3
19390701 19390731    30.1
19390801 19390831   271.9
19390901 19390930    83.7
19391001 19391031    83.6
19391101 19391130    89.7
19391201 19391231    17.3
19400101 19400131    24.2
19400201 19400229     2.7
19400301 19400331    20.0
19400401 19400430    86.5
19400501 19400531    56.6
19400601 19400630    36.9
19400701 19400731    89.8
