PRCP       083032 18890201 20170630 missing_value=99999.9 WHITLANDS (BURDER'S LANE)                 
18890201 18890228   117.3
18890301 18890331    15.7
18890401 18890430   195.2
18890501 18890531   313.1
18890601 18890630   417.2
18890701 18890731    85.1
18890801 18890831   350.1
18890901 18890930   187.0
18891001 18891031   160.6
18891101 18891130   161.3
18891201 18891231    11.9
18900101 18900131    57.7
18900201 18900228    53.0
18900301 18900331   110.4
18900401 18900430    79.4
18900501 18900531   154.9
18900601 18900630   290.0
18900701 18900731   211.0
18900801 18900831   292.0
18900901 18900930   140.9
18901001 18901031   242.5
18901101 18901130   149.0
18901201 18901231   103.6
18910101 18910131   320.7
18910201 18910228     7.9
18910301 18910331   140.8
18910401 18910430   107.9
18910501 18910531    60.1
18910601 18910630   146.1
18910701 18910731   190.3
18910801 18910831   139.5
18910901 18910930    62.2
18911001 18911031   187.4
18911101 18911130   111.4
18911201 18911231    49.0
18920101 18920131    28.2
18920201 18920229    25.2
18920301 18920331    21.1
18920401 18920430   154.2
18920501 18920531   225.5
18920601 18920630   150.4
18920701 18920731   132.1
18920801 18920831   183.9
18920901 18920930   176.3
18921001 18921031   118.1
18921101 18921130   217.4
18921201 18921231    63.2
18930101 18930131    36.4
18930201 18930228    11.1
18930301 18930331    60.1
18930401 18930430    89.1
18930501 18930531   294.8
18930601 18930630   225.7
18930701 18930731   161.0
18930801 18930831   181.5
18930901 18930930   204.1
18931001 18931031   233.1
18931101 18931130   169.1
18931201 18931231   143.5
18940101 18940131    75.1
18940201 18940228    24.7
18940301 18940331   141.8
18940401 18940430   226.8
18940501 18940531   169.2
18940601 18940630   212.6
18940701 18940731   243.2
18940801 18940831   184.3
18940901 18940930   202.9
18941001 18941031   442.6
18941101 18941130    17.1
18941201 18941231   133.7
18950101 18950131    70.6
18950201 18950228   109.3
18950301 18950331    84.3
18950401 18950430   173.4
18950501 18950531    56.0
18950601 18950630   159.1
18950701 18950731   112.4
18950801 18950831   148.9
18950901 18950930    83.4
18951001 18951031   104.5
18951101 18951130     0.0
18951201 18951231   197.7
18960101 18960131    58.2
18960201 18960229   130.2
18960301 18960331    77.7
18960401 18960430   236.1
18960501 18960531    65.5
18960601 18960630   112.3
18960701 18960731   155.8
18960801 18960831    65.3
18960901 18960930   150.2
18961001 18961031    19.0
18961101 18961130   164.4
18961201 18961231    69.3
18970101 18970131   224.5
18970201 18970228    96.2
18970301 18970331    58.0
18970401 18970430    31.6
18970501 18970531    65.8
18970601 18970630   193.8
18970701 18970731   117.8
18970801 18970831   253.4
18970901 18970930   159.9
18971001 18971031    98.6
18971101 18971130    44.0
18971201 18971231    45.9
18980101 18980131     4.3
18980201 18980228   130.7
18980301 18980331    76.5
18980401 18980430    83.8
18980501 18980531    80.7
18980601 18980630   371.0
18980701 18980731    87.9
18980801 18980831   116.2
18980901 18980930   185.3
18981001 18981031   191.9
18981101 18981130    97.4
18981201 18981231    23.7
18990101 18990131    88.2
18990201 18990228    48.7
18990301 18990331   168.4
18990401 18990430   119.3
18990501 18990531    89.3
18990601 18990630   356.3
18990701 18990731    49.6
18990801 18990831    70.6
18990901 18990930    85.0
18991001 18991031    86.9
18991101 18991130   151.3
18991201 18991231    19.3
19000101 19000131    99.3
19000201 19000228     0.0
19000301 19000331   262.0
19000401 19000430   131.9
19000501 19000531   123.3
19000601 19000630   190.0
19000701 19000731    69.9
19000801 19000831   308.3
19000901 19000930   101.7
19001001 19001031    55.8
19001101 19001130    65.8
19001201 19001231    17.6
19010101 19010131    89.5
19010201 19010228    24.7
19010301 19010331    68.7
19010401 19010430   150.8
19010501 19010531    38.5
19010601 19010630   212.2
19010701 19010731   100.2
19010801 19010831   104.0
19010901 19010930   199.3
19011001 19011031   183.4
19011101 19011130    76.7
19011201 19011231    53.4
19020101 19020131   105.3
19020201 19020228    45.2
19020301 19020331   121.1
19020401 19020430     0.0
19020501 19020531    10.9
19020601 19020630   185.8
19020701 19020731    32.3
19020801 19020831    13.5
19020901 19020930   110.0
19021001 19021031    97.1
19021101 19021130    41.6
19021201 19021231   215.9
19030101 19030131    26.3
19030201 19030228    58.7
19030301 19030331   207.1
19030401 19030430   261.1
19030501 19030531    64.1
19030601 19030630   163.9
19030701 19030731   186.2
19030801 19030831    87.4
