PRCP       084016 18700501 20180131 missing_value=99999.9 GABO ISLAND LIGHTHOUSE                    
18700501 18700531    74.7
18700601 18700630   134.1
18700701 18700731    79.5
18700801 18700831    59.1
18700901 18700930    32.7
18701001 18701031    83.9
18701101 18701130   132.4
18701201 18701231    49.3
18710101 18710131    66.0
18710201 18710228   144.2
18710301 18710331    81.1
18710401 18710430    47.1
18710501 18710531   189.3
18710601 18710630   109.5
18710701 18710731    52.3
18710801 18710831    43.0
18710901 18710930    95.5
18711001 18711031   119.8
18711101 18711130    77.6
18711201 18711231    21.8
18720101 18720131    24.8
18720201 18720229    97.0
18720301 18720331    86.8
18720401 18720430   101.4
18720501 18720531    24.3
18720601 18720630    33.3
18720701 18720731   144.2
18720801 18720831   116.4
18720901 18720930   103.5
18721001 18721031    70.3
18721101 18721130    70.1
18721201 18721231    64.0
18730101 18730131    97.0
18730201 18730228   221.7
18730301 18730331    73.1
18730401 18730430   110.0
18730501 18730531    50.5
18730601 18730630   107.3
18730701 18730731    97.5
18730801 18730831    49.8
18730901 18730930    51.8
18731001 18731031    48.0
18731101 18731130   239.8
18731201 18731231     9.4
18740101 18740131    62.2
18740201 18740228   142.2
18740301 18740331   134.9
18740401 18740430    11.9
18740501 18740531   201.9
18740601 18740630   150.1
18740701 18740731    60.7
18740801 18740831    70.9
18740901 18740930   163.8
18741001 18741031    21.8
18741101 18741130    64.8
18741201 18741231    50.0
18750101 18750131    15.0
18750201 18750228    49.5
18750301 18750331     3.6
18750401 18750430   116.1
18750501 18750531   202.4
18750601 18750630   100.3
18750701 18750731    75.2
18750801 18750831    69.3
18750901 18750930    33.8
18751001 18751031   100.6
18751101 18751130    40.9
18751201 18751231   123.7
18760101 18760131    43.2
18760201 18760229    25.4
18760301 18760331    54.1
18760401 18760430    51.8
18760501 18760531    39.4
18760601 18760630    95.5
18760701 18760731   158.0
18760801 18760831    38.1
18760901 18760930    80.0
18761001 18761031    88.1
18761101 18761130   138.2
18761201 18761231    23.9
18770101 18770131    24.4
18770201 18770228     9.7
18770301 18770331    32.7
18770401 18770430    96.2
18770501 18770531   196.1
18770601 18770630    44.1
18770701 18770731    77.5
18770801 18770831    16.2
18770901 18770930   134.9
18771001 18771031    97.2
18771101 18771130    17.3
18771201 18771231    22.9
18780101 18780131    11.9
18780201 18780228    93.0
18780301 18780331    81.1
18780401 18780430    20.1
18780501 18780531    16.5
18780601 18780630    51.2
18780701 18780731    37.5
18780801 18780831    46.6
18780901 18780930    41.0
18781001 18781031    33.8
18781101 18781130    48.2
18781201 18781231    27.5
18790101 18790131   163.2
18790201 18790228    83.5
18790301 18790331    93.2
18790401 18790430    53.2
18790501 18790531   190.5
18790601 18790630    86.2
18790701 18790731    65.1
18790801 18790831   119.0
18790901 18790930   158.1
18791001 18791031   142.7
18791101 18791130   131.0
18791201 18791231    34.2
18800101 18800131    18.7
18800201 18800229   151.4
18800301 18800331   194.2
18800401 18800430   162.0
18800501 18800531   292.3
18800601 18800630   101.9
18800701 18800731    90.1
18800801 18800831    72.7
18800901 18800930    30.7
18801001 18801031   126.9
18801101 18801130    33.0
18801201 18801231    38.6
18810101 18810131    16.3
18810201 18810228    83.1
18810301 18810331   118.9
18810401 18810430    83.4
18810501 18810531    49.9
18810601 18810630   154.4
18810701 18810731    56.2
18810801 18810831    22.9
18810901 18810930    25.2
18811001 18811031   149.4
18811101 18811130   106.3
18811201 18811231    66.3
18820101 18820131    39.8
18820201 18820228    15.0
18820301 18820331    38.7
18820401 18820430   103.1
18820501 18820531   121.8
18820601 18820630   167.7
18820701 18820731    94.8
18820801 18820831    96.6
18820901 18820930    19.3
18821001 18821031    98.4
18821101 18821130    42.7
18821201 18821231    38.0
18830101 18830131    66.3
18830201 18830228   143.9
18830301 18830331    44.7
18830401 18830430    61.1
18830501 18830531   158.6
18830601 18830630    10.7
18830701 18830731   101.7
18830801 18830831    19.3
18830901 18830930    56.0
18831001 18831031    96.5
18831101 18831130    63.1
18831201 18831231    20.6
18840101 18840131    36.7
18840201 18840229    47.4
18840301 18840331    69.8
18840401 18840430    95.0
18840501 18840531    48.7
18840601 18840630    36.3
18840701 18840731    41.1
18840801 18840831   102.4
18840901 18840930    48.3
18841001 18841031   197.2
18841101 18841130    49.5
18841201 18841231    58.2
18850101 18850131    36.8
18850201 18850228    56.2
18850301 18850331    51.2
18850401 18850430    56.3
18850501 18850531    28.4
18850601 18850630   101.8
18850701 18850731    57.8
18850801 18850831    11.8
18850901 18850930    36.3
18851001 18851031    40.1
18851101 18851130    82.1
18851201 18851231    63.6
18860101 18860131    56.1
18860201 18860228   139.7
18860301 18860331    62.5
18860401 18860430   167.7
18860501 18860531    72.2
18860601 18860630    32.0
18860701 18860731   109.2
18860801 18860831   106.8
18860901 18860930    49.3
18861001 18861031    76.2
18861101 18861130    44.5
18861201 18861231    92.2
18870101 18870131    80.4
18870201 18870228    52.5
18870301 18870331    59.2
18870401 18870430    54.6
18870501 18870531    87.7
18870601 18870630   191.0
18870701 18870731   123.8
18870801 18870831    47.9
18870901 18870930   111.2
18871001 18871031   132.0
18871101 18871130   140.2
18871201 18871231    77.3
18880101 18880131    63.3
18880201 18880229    58.5
18880301 18880331   183.9
18880401 18880430    18.5
18880501 18880531   122.1
18880601 18880630    43.7
18880701 18880731    26.2
18880801 18880831    65.8
18880901 18880930    43.8
18881001 18881031    44.8
18881101 18881130    10.2
18881201 18881231   120.8
18890101 18890131    68.2
18890201 18890228   162.1
18890301 18890331    16.8
18890401 18890430    52.1
18890501 18890531   109.7
18890601 18890630   312.8
18890701 18890731    52.6
18890801 18890831    53.8
18890901 18890930    83.0
18891001 18891031    95.3
18891101 18891130    62.9
18891201 18891231    22.7
18900101 18900131    14.9
18900201 18900228   122.6
18900301 18900331    85.8
18900401 18900430    73.1
18900501 18900531    95.6
18900601 18900630   212.5
18900701 18900731   168.2
18900801 18900831    48.8
18900901 18900930    43.2
18901001 18901031    94.0
18901101 18901130    73.8
18901201 18901231    55.5
18910101 18910131    80.6
18910201 18910228    89.9
18910301 18910331     8.4
18910401 18910430   139.8
18910501 18910531    44.4
18910601 18910630   300.4
18910701 18910731   123.9
18910801 18910831   117.3
18910901 18910930    93.1
18911001 18911031    98.6
18911101 18911130    70.5
18911201 18911231    50.9
18920101 18920131    29.4
18920201 18920229    24.9
18920301 18920331    67.6
18920401 18920430   149.3
18920501 18920531    51.6
18920601 18920630   123.5
18920701 18920731    67.8
18920801 18920831    70.6
18920901 18920930   167.9
18921001 18921031   148.6
18921101 18921130   107.7
18921201 18921231    65.1
18930101 18930131   197.3
18930201 18930228     7.8
18930301 18930331    22.4
18930401 18930430   184.3
18930501 18930531    93.4
18930601 18930630    59.5
18930701 18930731   128.2
18930801 18930831    52.2
18930901 18930930   109.6
18931001 18931031    36.0
18931101 18931130   149.2
18931201 18931231   266.8
18940101 18940131   151.6
18940201 18940228    51.2
18940301 18940331    81.2
18940401 18940430   102.9
18940501 18940531    35.4
18940601 18940630   120.2
18940701 18940731    59.0
18940801 18940831   127.5
18940901 18940930    94.7
18941001 18941031    46.0
18941101 18941130    27.0
18941201 18941231    31.6
18950101 18950131    57.1
18950201 18950228    43.5
18950301 18950331    40.0
18950401 18950430    48.8
18950501 18950531    44.3
18950601 18950630    99.6
18950701 18950731   125.0
18950801 18950831    84.0
18950901 18950930    91.1
18951001 18951031    41.8
18951101 18951130    11.5
18951201 18951231    40.7
18960101 18960131    59.4
18960201 18960229    54.8
18960301 18960331    50.1
18960401 18960430    19.5
18960501 18960531   120.8
18960601 18960630   313.6
18960701 18960731    78.6
18960801 18960831   251.3
18960901 18960930    94.0
18961001 18961031    95.3
18961101 18961130    44.2
18961201 18961231    43.7
18970101 18970131   160.5
18970201 18970228   156.0
18970301 18970331    73.0
18970401 18970430    61.9
18970501 18970531    72.3
18970601 18970630    68.0
18970701 18970731    33.1
18970801 18970831    61.0
18970901 18970930    42.7
18971001 18971031    23.6
18971101 18971130     5.1
18971201 18971231    29.4
18980101 18980131     9.9
18980201 18980228   165.1
18980301 18980331    19.4
18980401 18980430    11.8
18980501 18980531   186.8
18980601 18980630    32.5
18980701 18980731    57.4
18980801 18980831    47.7
18980901 18980930    25.7
18981001 18981031    72.1
18981101 18981130    30.6
18981201 18981231    53.5
18990101 18990131   139.2
18990201 18990228     2.8
18990301 18990331    17.5
18990401 18990430   182.9
18990501 18990531   112.4
18990601 18990630    82.7
18990701 18990731   131.7
18990801 18990831   124.2
18990901 18990930    59.2
18991001 18991031   117.6
18991101 18991130    34.3
18991201 18991231    17.8
19000101 19000131    51.3
19000201 19000228     6.6
19000301 19000331    68.1
19000401 19000430   200.8
19000501 19000531   299.2
19000601 19000630    84.9
19000701 19000731    76.9
19000801 19000831    34.1
19000901 19000930   142.6
19001001 19001031    20.0
19001101 19001130    14.4
19001201 19001231    41.6
19010101 19010131    88.6
19010201 19010228     6.8
19010301 19010331    21.0
19010401 19010430   120.4
19010501 19010531    26.7
19010601 19010630   138.6
19010701 19010731    62.1
19010801 19010831   113.9
19010901 19010930    40.0
19011001 19011031    32.3
19011101 19011130    20.8
19011201 19011231    16.4
19020101 19020131    45.4
19020201 19020228     9.9
19020301 19020331    50.8
19020401 19020430    29.4
19020501 19020531    20.0
19020601 19020630   107.2
19020701 19020731   130.0
19020801 19020831   102.7
19020901 19020930    68.8
19021001 19021031    87.1
19021101 19021130    27.1
19021201 19021231   185.0
19030101 19030131    78.8
19030201 19030228     7.1
19030301 19030331    39.0
19030401 19030430    56.8
19030501 19030531   209.5
19030601 19030630    72.2
19030701 19030731   115.5
19030801 19030831    22.0
19030901 19030930    88.9
19031001 19031031    31.8
19031101 19031130    88.5
19031201 19031231    81.1
19040101 19040131    75.4
19040201 19040229    99.8
19040301 19040331    18.3
19040401 19040430    26.8
19040501 19040531    85.2
19040601 19040630    75.3
19040701 19040731    94.1
19040801 19040831   117.5
19040901 19040930    83.5
19041001 19041031    78.3
19041101 19041130    25.4
19041201 19041231    11.3
19050101 19050131   102.1
19050201 19050228    49.3
19050301 19050331    30.4
19050401 19050430    73.1
19050501 19050531   226.3
19050601 19050630    66.8
19050701 19050731    55.3
19050801 19050831    34.5
19050901 19050930   112.0
19051001 19051031   186.1
19051101 19051130    15.7
19051201 19051231    86.6
19060101 19060131    19.3
19060201 19060228    20.8
19060301 19060331   211.2
19060401 19060430    21.1
19060501 19060531    44.7
19060601 19060630    28.3
19060701 19060731    80.3
19060801 19060831    54.2
19060901 19060930    39.8
19061001 19061031    90.4
19061101 19061130    86.5
19061201 19061231    63.8
19070101 19070131    50.3
19070201 19070228    17.2
19070301 19070331    46.7
19070401 19070430    57.2
19070501 19070531    72.1
19070601 19070630   147.3
19070701 19070731    22.7
19070801 19070831    74.9
19070901 19070930    36.1
19071001 19071031    32.9
19071101 19071130    55.6
19071201 19071231   135.0
19080101 19080131    25.5
19080201 19080229    40.2
19080301 19080331    28.7
19080401 19080430    50.0
19080501 19080531    36.4
19080601 19080630   106.2
19080701 19080731    54.0
19080801 19080831    98.9
19080901 19080930   239.3
19081001 19081031    98.5
19081101 19081130    18.7
19081201 19081231    15.6
19090101 19090131    80.3
19090201 19090228   180.9
19090301 19090331    41.5
19090401 19090430    23.9
19090501 19090531    28.2
19090601 19090630   244.1
19090701 19090731    90.7
19090801 19090831    46.7
19090901 19090930   121.9
19091001 19091031    49.3
19091101 19091130    14.0
19091201 19091231    60.1
19100101 19100131   158.4
19100201 19100228    41.2
19100301 19100331    68.6
19100401 19100430     4.9
19100501 19100531    34.3
19100601 19100630   198.5
19100701 19100731   119.4
