PRCP       084030 18830301 20111031 missing_value=99999.9 ORBOST (COMPARISON)                       
18830301 18830331    47.8
18830401 18830430    87.8
18830501 18830531    88.1
18830601 18830630    44.4
18830701 18830731    45.1
18830801 18830831    33.5
18830901 18830930   105.1
18831001 18831031    86.4
18831101 18831130    80.3
18831201 18831231    36.8
18840101 18840131    37.0
18840201 18840229    59.9
18840301 18840331    92.7
18840401 18840430    42.6
18840501 18840531    19.0
18840601 18840630    32.5
18840701 18840731    23.2
18840801 18840831    44.5
18840901 18840930    55.1
18841001 18841031   212.7
18841101 18841130    50.6
18841201 18841231    73.2
18850101 18850131    27.3
18850201 18850228   160.4
18850301 18850331    47.0
18850401 18850430    82.0
18850501 18850531    26.4
18850601 18850630    71.8
18850701 18850731    41.5
18850801 18850831    30.8
18850901 18850930    75.0
18851001 18851031    84.8
18851101 18851130    61.8
18851201 18851231    26.4
18860101 18860131   101.4
18860201 18860228   151.7
18860301 18860331    60.3
18860401 18860430   256.2
18860501 18860531    49.5
18860601 18860630    19.8
18860701 18860731    10.2
18860801 18860831    78.5
18860901 18860930    38.6
18861001 18861031   133.3
18861101 18861130   113.3
18861201 18861231   146.3
18870101 18870131    20.3
18870201 18870228    97.2
18870301 18870331    33.7
18870401 18870430    80.1
18870501 18870531    49.4
18870601 18870630   182.5
18870701 18870731    93.4
18870801 18870831    24.7
18870901 18870930    83.7
18871001 18871031    63.0
18871101 18871130   145.4
18871201 18871231    84.3
18880101 18880131    89.6
18880201 18880229    23.4
18880301 18880331    92.2
18880401 18880430    11.1
18880501 18880531    68.3
18880601 18880630    26.2
18880701 18880731    35.0
18880801 18880831    62.5
18880901 18880930    39.7
18881001 18881031    49.9
18881101 18881130    13.4
18881201 18881231    72.9
18890101 18890131    59.2
18890201 18890228    86.1
18890301 18890331     1.0
18890401 18890430    57.5
18890501 18890531   117.5
18890601 18890630   149.4
18890701 18890731    30.7
18890801 18890831    20.0
18890901 18890930    46.0
18891001 18891031    56.6
18891101 18891130    58.7
18891201 18891231    25.6
18900101 18900131    40.4
18900201 18900228    56.6
18900301 18900331    42.5
18900401 18900430    25.1
18900501 18900531   116.1
18900601 18900630   183.7
18900701 18900731   114.6
18900801 18900831    79.3
18900901 18900930    46.7
18901001 18901031   116.8
18901101 18901130    63.2
18901201 18901231    79.7
18910101 18910131    85.2
18910201 18910228    35.1
18910301 18910331    15.5
18910401 18910430    55.6
18910501 18910531    79.0
18910601 18910630   228.3
18910701 18910731   125.3
18910801 18910831    95.7
18910901 18910930    73.4
18911001 18911031    54.2
18911101 18911130    87.6
18911201 18911231    48.2
18920101 18920131   157.2
18920201 18920229     6.8
18920301 18920331    26.3
18920401 18920430   161.5
18920501 18920531    47.3
18920601 18920630    11.9
18920701 18920731    39.8
18920801 18920831    49.7
18920901 18920930   103.2
18921001 18921031   119.7
18921101 18921130   103.2
18921201 18921231    33.3
18930101 18930131    75.9
18930201 18930228     0.0
18930301 18930331   111.0
18930401 18930430   114.2
18930501 18930531    94.0
18930601 18930630    31.2
18930701 18930731   139.9
18930801 18930831    20.5
18930901 18930930    73.2
18931001 18931031    47.8
18931101 18931130    91.8
18931201 18931231   372.8
18940101 18940131    76.0
