PRCP       085046 18880701 20160630 missing_value=99999.9 LABERTOUCHE                               
18880701 18880731   117.3
18880801 18880831    53.1
18880901 18880930    69.3
18881001 18881031    78.1
18881101 18881130    43.2
18881201 18881231    63.7
18890101 18890131   143.0
18890201 18890228    57.4
18890301 18890331    26.9
18890401 18890430   123.2
18890501 18890531    84.1
18890601 18890630   202.8
18890701 18890731    31.4
18890801 18890831   123.4
18890901 18890930   127.5
18891001 18891031   101.7
18891101 18891130    99.3
18891201 18891231    84.9
18900101 18900131    17.5
18900201 18900228    62.0
18900301 18900331    70.5
18900401 18900430    55.2
18900501 18900531    51.3
18900601 18900630    93.8
18900701 18900731    33.4
18900801 18900831   127.3
18900901 18900930   100.4
18901001 18901031   179.9
18901101 18901130   120.0
18901201 18901231    56.9
18910101 18910131    45.9
18910201 18910228     3.0
18910301 18910331    35.0
18910401 18910430    95.2
18910501 18910531    82.4
18910601 18910630   115.8
18910701 18910731    85.1
18910801 18910831   103.7
18910901 18910930    74.1
18911001 18911031   119.6
18911101 18911130   104.6
18911201 18911231   133.8
18920101 18920131    27.0
18920201 18920229    11.5
18920301 18920331    44.2
18920401 18920430   116.4
18920501 18920531    72.7
18920601 18920630    83.3
18920701 18920731    68.1
18920801 18920831    70.1
18920901 18920930    80.8
18921001 18921031    77.4
18921101 18921130    72.3
18921201 18921231   114.1
18930101 18930131    13.5
18930201 18930228    14.4
18930301 18930331    37.1
18930401 18930430    47.3
18930501 18930531   140.9
18930601 18930630   113.9
18930701 18930731    85.8
18930801 18930831   109.0
18930901 18930930   155.1
18931001 18931031    87.2
18931101 18931130    82.7
18931201 18931231   125.9
18940101 18940131    18.3
18940201 18940228     7.0
18940301 18940331    42.7
18940401 18940430    70.5
18940501 18940531    71.9
18940601 18940630    66.8
18940701 18940731   144.4
18940801 18940831   156.5
18940901 18940930    71.9
18941001 18941031    87.5
18941101 18941130    38.6
18941201 18941231    75.1
18950101 18950131    29.6
18950201 18950228    21.1
18950301 18950331    53.7
18950401 18950430    67.6
18950501 18950531    42.6
18950601 18950630   110.8
18950701 18950731    77.4
18950801 18950831    99.9
18950901 18950930   118.0
18951001 18951031    26.5
18951101 18951130    15.4
18951201 18951231   117.1
18960101 18960131    61.5
18960201 18960229    68.8
18960301 18960331    74.2
18960401 18960430   118.3
18960501 18960531    52.5
18960601 18960630    58.0
18960701 18960731    75.9
18960801 18960831    60.9
18960901 18960930    82.6
18961001 18961031    22.1
18961101 18961130    46.7
18961201 18961231    41.9
18970101 18970131   127.6
18970201 18970228   102.8
18970301 18970331    91.3
18970401 18970430    57.8
18970501 18970531    73.7
18970601 18970630    36.2
18970701 18970731    72.7
18970801 18970831    98.5
18970901 18970930    44.1
18971001 18971031   103.3
18971101 18971130    43.5
18971201 18971231    20.5
18980101 18980131    25.2
18980201 18980228    11.7
18980301 18980331    39.4
18980401 18980430    76.2
18980501 18980531    80.6
18980601 18980630   101.2
18980701 18980731    45.2
18980801 18980831    42.2
18980901 18980930   120.5
18981001 18981031    93.1
18981101 18981130   139.5
18981201 18981231    30.7
18990101 18990131   153.2
18990201 18990228    12.7
18990301 18990331    53.2
18990401 18990430    89.4
18990501 18990531   132.7
18990601 18990630    71.1
18990701 18990731    47.7
18990801 18990831    43.1
18990901 18990930    61.7
18991001 18991031   123.0
18991101 18991130    64.3
