PRCP       085096 18721201 20180131 missing_value=99999.9 WILSONS PROMONTORY LIGHTHOUSE             
18721201 18721231    76.8
18730101 18730131    52.3
18730201 18730228   101.7
18730301 18730331    43.7
18730401 18730430    97.3
18730501 18730531    98.4
18730601 18730630    91.0
18730701 18730731   111.8
18730801 18730831   199.5
18730901 18730930    97.0
18731001 18731031    68.4
18731101 18731130    92.7
18731201 18731231    47.0
18740101 18740131    57.2
18740201 18740228    30.9
18740301 18740331   136.3
18740401 18740430    78.8
18740501 18740531    98.2
18740601 18740630    89.7
18740701 18740731   100.0
18740801 18740831   137.5
18740901 18740930   125.0
18741001 18741031    63.1
18741101 18741130    68.2
18741201 18741231    80.0
18750101 18750131    50.2
18750201 18750228    51.7
18750301 18750331    42.3
18750401 18750430    77.5
18750501 18750531   168.7
18750601 18750630    65.1
18750701 18750731    90.3
18750801 18750831   162.2
18750901 18750930   152.7
18751001 18751031    87.2
18751101 18751130   170.8
18751201 18751231   126.1
18760101 18760131    57.4
18760201 18760229     4.3
18760301 18760331    92.5
18760401 18760430   107.3
18760501 18760531   108.1
18760601 18760630   161.6
18760701 18760731    63.3
18760801 18760831    82.5
18760901 18760930   106.9
18761001 18761031   110.7
18761101 18761130   109.4
18761201 18761231    90.5
18770101 18770131    10.9
18770201 18770228    68.1
18770301 18770331    76.0
18770401 18770430    64.8
18770501 18770531   239.1
18770601 18770630    90.5
18770701 18770731    38.3
18770801 18770831   117.0
18770901 18770930   108.0
18771001 18771031    71.1
18771101 18771130    73.6
18771201 18771231    84.5
18780101 18780131     0.3
18780201 18780228    40.5
18780301 18780331   153.7
18780401 18780430   106.1
18780501 18780531    88.7
18780601 18780630   134.4
18780701 18780731    50.8
18780801 18780831   150.7
18780901 18780930   116.6
18781001 18781031   145.9
18781101 18781130    95.9
18781201 18781231    50.0
18790101 18790131    34.3
18790201 18790228    46.5
18790301 18790331    40.9
18790401 18790430    66.2
18790501 18790531   128.0
18790601 18790630   117.2
18790701 18790731   101.7
18790801 18790831    91.7
18790901 18790930    81.3
18791001 18791031   137.8
18791101 18791130   106.8
18791201 18791231    53.3
18800101 18800131    37.2
18800201 18800229    43.3
18800301 18800331   160.2
18800401 18800430   196.4
18800501 18800531   190.5
18800601 18800630   116.2
18800701 18800731   110.0
18800801 18800831   200.6
18800901 18800930   144.4
18801001 18801031    91.5
18801101 18801130    98.2
18801201 18801231    50.7
18810101 18810131    42.7
18810201 18810228    45.5
18810301 18810331    67.0
18810401 18810430    71.0
18810501 18810531   133.7
18810601 18810630    92.2
18810701 18810731   188.7
18810801 18810831    83.0
18810901 18810930   109.0
18811001 18811031    40.6
18811101 18811130    73.2
18811201 18811231    88.5
18820101 18820131    22.2
18820201 18820228    15.0
18820301 18820331    31.5
18820401 18820430    91.1
18820501 18820531   135.0
18820601 18820630   114.7
