PRCP       086117 18920501 20180131 missing_value=99999.9 TOOROURRONG                               
18920501 18920531    68.0
18920601 18920630    62.0
18920701 18920731    64.2
18920801 18920831    53.1
18920901 18920930    59.6
18921001 18921031    70.7
18921101 18921130   114.5
18921201 18921231    46.8
18930101 18930131    54.6
18930201 18930228     6.2
18930301 18930331    43.8
18930401 18930430    37.5
18930501 18930531   116.6
18930601 18930630   124.1
18930701 18930731    79.4
18930801 18930831    81.1
18930901 18930930   126.8
18931001 18931031    90.9
18931101 18931130    89.2
18931201 18931231   121.7
18940101 18940131    56.1
18940201 18940228    14.2
18940301 18940331    31.2
18940401 18940430    69.8
18940501 18940531   113.6
18940601 18940630    68.8
18940701 18940731    92.1
18940801 18940831   111.3
18940901 18940930    96.1
18941001 18941031   150.2
18941101 18941130    19.1
18941201 18941231    81.7
18950101 18950131    75.2
18950201 18950228    33.6
18950301 18950331    45.4
18950401 18950430    65.2
18950501 18950531    17.2
18950601 18950630    59.0
18950701 18950731    59.4
18950801 18950831    43.3
18950901 18950930    42.5
18951001 18951031    25.2
18951101 18951130    12.7
18951201 18951231    76.5
18960101 18960131    59.5
18960201 18960229    61.8
18960301 18960331    21.9
18960401 18960430    65.5
18960501 18960531    56.6
18960601 18960630    99.0
18960701 18960731    88.2
18960801 18960831   144.8
18960901 18960930    60.3
18961001 18961031    14.8
18961101 18961130    31.1
18961201 18961231    42.2
18970101 18970131   188.6
18970201 18970228   105.3
18970301 18970331    49.2
18970401 18970430    42.6
18970501 18970531    56.2
18970601 18970630    46.5
18970701 18970731    60.2
18970801 18970831    89.5
18970901 18970930    56.5
18971001 18971031    45.9
18971101 18971130    29.4
18971201 18971231    35.6
18980101 18980131     7.4
18980201 18980228    45.7
18980301 18980331     8.2
18980401 18980430    46.8
18980501 18980531    70.3
18980601 18980630    90.0
18980701 18980731    59.5
18980801 18980831    46.8
18980901 18980930    81.9
18981001 18981031    45.7
18981101 18981130    37.9
18981201 18981231    57.8
18990101 18990131    71.2
18990201 18990228    42.0
18990301 18990331   102.6
18990401 18990430    62.1
18990501 18990531    74.5
18990601 18990630   114.0
18990701 18990731    37.4
18990801 18990831    96.5
18990901 18990930    51.8
18991001 18991031    69.5
18991101 18991130    55.5
18991201 18991231    26.9
19000101 19000131    83.6
19000201 19000228     8.2
19000301 19000331   135.9
19000401 19000430   100.2
19000501 19000531   123.0
19000601 19000630    75.5
19000701 19000731    33.8
19000801 19000831    99.0
19000901 19000930    83.1
19001001 19001031    33.6
19001101 19001130    50.3
19001201 19001231    36.6
19010101 19010131    96.2
19010201 19010228    32.3
19010301 19010331    59.3
19010401 19010430   247.8
19010501 19010531    35.5
19010601 19010630   140.7
19010701 19010731    50.1
19010801 19010831    66.3
19010901 19010930   100.9
19011001 19011031    85.6
19011101 19011130    59.9
19011201 19011231    15.6
19020101 19020131    85.5
19020201 19020228    24.6
19020301 19020331   115.1
19020401 19020430    13.6
19020501 19020531    37.3
19020601 19020630    55.8
19020701 19020731    22.0
19020801 19020831    41.6
19020901 19020930    85.5
19021001 19021031   116.7
19021101 19021130    21.3
19021201 19021231   116.0
19030101 19030131    35.5
19030201 19030228    36.9
19030301 19030331    92.0
19030401 19030430   109.6
19030501 19030531    51.3
19030601 19030630   101.2
19030701 19030731    71.6
19030801 19030831    26.7
19030901 19030930   121.3
19031001 19031031    97.9
19031101 19031130   123.2
19031201 19031231    69.6
19040101 19040131   135.5
19040201 19040229   145.8
19040301 19040331    29.7
19040401 19040430    37.1
19040501 19040531    53.8
19040601 19040630   127.0
19040701 19040731    63.6
19040801 19040831   103.5
19040901 19040930    30.0
19041001 19041031    79.2
19041101 19041130    43.2
19041201 19041231     9.5
19050101 19050131    39.2
19050201 19050228    54.5
19050301 19050331    17.9
19050401 19050430    69.8
19050501 19050531    80.5
19050601 19050630    47.1
19050701 19050731   120.9
19050801 19050831    47.0
19050901 19050930    85.9
19051001 19051031   135.3
19051101 19051130    28.2
19051201 19051231    97.0
19060101 19060131     7.4
19060201 19060228     4.1
19060301 19060331   115.4
19060401 19060430    11.4
19060501 19060531    67.1
19060601 19060630    69.1
19060701 19060731    56.7
19060801 19060831    61.3
19060901 19060930   135.2
19061001 19061031   128.3
19061101 19061130    89.0
19061201 19061231    71.8
19070101 19070131    38.6
19070201 19070228    17.1
19070301 19070331    25.2
19070401 19070430    78.8
19070501 19070531    39.2
19070601 19070630    39.6
19070701 19070731    67.5
19070801 19070831    61.3
19070901 19070930    36.1
19071001 19071031    41.2
19071101 19071130    65.1
19071201 19071231   118.6
19080101 19080131    37.8
19080201 19080229    13.0
19080301 19080331    39.7
19080401 19080430     5.9
19080501 19080531    38.0
19080601 19080630   101.2
19080701 19080731    34.5
19080801 19080831    82.8
19080901 19080930    52.2
19081001 19081031    75.6
19081101 19081130    31.3
19081201 19081231    20.9
19090101 19090131    73.1
19090201 19090228    51.3
19090301 19090331    40.4
19090401 19090430    82.4
19090501 19090531   124.3
19090601 19090630    69.5
19090701 19090731    60.4
19090801 19090831   138.1
19090901 19090930    47.9
19091001 19091031    30.3
19091101 19091130    14.2
19091201 19091231    49.1
19100101 19100131    47.4
19100201 19100228    17.0
19100301 19100331    66.3
19100401 19100430    31.2
19100501 19100531    57.8
19100601 19100630    72.1
19100701 19100731    85.4
19100801 19100831    55.6
19100901 19100930   123.4
19101001 19101031   109.2
19101101 19101130    70.7
19101201 19101231    84.6
19110101 19110131    56.5
19110201 19110228   186.4
19110301 19110331   182.8
19110401 19110430    13.5
19110501 19110531   109.5
19110601 19110630   145.3
19110701 19110731    68.4
19110801 19110831    34.9
19110901 19110930    89.9
19111001 19111031    38.8
19111101 19111130    46.4
19111201 19111231   103.9
19120101 19120131    15.0
19120201 19120229    38.9
19120301 19120331    36.1
19120401 19120430    48.4
19120501 19120531    34.5
19120601 19120630    58.0
19120701 19120731    82.0
19120801 19120831    53.2
19120901 19120930    89.7
19121001 19121031    31.6
19121101 19121130    74.2
19121201 19121231    97.1
19130101 19130131     5.7
19130201 19130228    15.5
19130301 19130331   147.9
19130401 19130430    37.4
19130501 19130531    85.2
19130601 19130630    54.5
19130701 19130731    34.4
19130801 19130831    59.2
19130901 19130930    31.0
19131001 19131031    41.4
19131101 19131130    79.9
19131201 19131231    29.0
19140101 19140131    16.8
19140201 19140228     4.1
19140301 19140331    83.1
