PRCP       086131 18630101 20180131 missing_value=99999.9 YAN YEAN                                  
18630101 18630131    68.1
18630201 18630228    68.8
18630301 18630331   106.7
18630401 18630430    10.2
18630501 18630531    53.6
18630601 18630630    34.5
18630701 18630731    34.8
18630801 18630831    88.6
18630901 18630930    63.5
18631001 18631031   104.4
18631101 18631130    66.0
18631201 18631231   134.6
18640101 18640131    70.4
18640201 18640229    48.5
18640301 18640331    38.1
18640401 18640430   115.3
18640501 18640531    29.5
18640601 18640630    44.7
18640701 18640731   104.4
18640801 18640831    68.6
18640901 18640930    59.4
18641001 18641031   107.7
18641101 18641130    27.9
18641201 18641231    57.7
18650101 18650131    12.7
18650201 18650228    12.4
18650301 18650331    54.1
18650401 18650430    29.5
18650501 18650531    45.2
18650601 18650630    53.3
18650701 18650731    59.9
18650801 18650831    41.4
18650901 18650930    63.5
18651001 18651031    17.0
18651101 18651130    25.9
18651201 18651231    66.0
18660101 18660131    34.0
18660201 18660228    10.7
18660301 18660331    15.0
18660401 18660430    33.0
18660501 18660531    90.2
18660601 18660630    33.5
18660701 18660731    61.0
18660801 18660831    79.5
18660901 18660930    46.5
18661001 18661031    45.0
18661101 18661130    65.5
18661201 18661231     9.4
18670101 18670131    45.5
18670201 18670228    51.6
18670301 18670331    27.7
18670401 18670430    48.3
18670501 18670531    47.8
18670601 18670630    31.2
18670701 18670731    57.9
18670801 18670831    54.4
18670901 18670930   101.3
18671001 18671031    66.5
18671101 18671130    18.8
18671201 18671231    84.1
18680101 18680131    69.1
18680201 18680229    26.7
18680301 18680331    24.1
18680401 18680430    19.8
18680501 18680531    27.7
18680601 18680630    37.3
18680701 18680731    38.6
18680801 18680831    35.6
18680901 18680930    43.7
18681001 18681031    28.4
18681101 18681130    74.7
18681201 18681231    33.3
18690101 18690131    36.3
18690201 18690228    17.5
18690301 18690331    43.9
18690401 18690430    35.8
18690501 18690531    50.0
18690601 18690630    55.4
18690701 18690731    34.5
18690801 18690831    30.7
18690901 18690930    54.1
18691001 18691031   104.6
18691101 18691130    43.2
18691201 18691231    36.3
18700101 18700131    67.6
18700201 18700228     1.8
18700301 18700331    20.3
18700401 18700430    53.8
18700501 18700531    77.0
18700601 18700630    75.7
18700701 18700731    45.0
18700801 18700831    68.1
18700901 18700930   114.3
18701001 18701031    88.6
18701101 18701130    53.1
18701201 18701231    46.7
18710101 18710131    46.0
18710201 18710228    69.6
18710301 18710331    42.7
18710401 18710430    34.0
18710501 18710531    54.6
18710601 18710630    54.6
18710701 18710731    35.3
