PRCP       087034 18770101 20161231 missing_value=99999.9 LOVELY BANKS RESERVOIR                    
18770101 18770131    13.7
18770201 18770228    11.4
18770301 18770331    64.8
18770401 18770430    28.7
18770501 18770531    67.6
18770601 18770630    13.0
18770701 18770731    28.7
18770801 18770831    25.7
18770901 18770930    47.2
18771001 18771031    20.8
18771101 18771130    31.0
18771201 18771231    10.4
18780101 18780131     0.0
18780201 18780228    75.9
18780301 18780331    82.3
18780401 18780430    51.3
18780501 18780531    15.2
18780601 18780630    63.0
18780701 18780731    30.0
18780801 18780831    45.5
18780901 18780930    45.2
18781001 18781031    57.9
18781101 18781130    31.2
18781201 18781231     6.9
18790101 18790131     8.9
18790201 18790228    11.9
18790301 18790331    25.9
18790401 18790430    14.5
18790501 18790531   114.0
18790601 18790630    22.9
18790701 18790731    24.4
18790801 18790831    31.8
18790901 18790930    21.1
18791001 18791031    67.1
18791101 18791130    56.9
18791201 18791231    11.4
18800101 18800131     8.6
18800201 18800229    23.4
18800301 18800331    68.6
18800401 18800430    87.6
18800501 18800531    57.2
18800601 18800630    63.2
18800701 18800731    40.1
18800801 18800831    40.9
18800901 18800930   162.1
18801001 18801031    38.6
18801101 18801130    32.0
18801201 18801231    19.8
18810101 18810131    21.3
18810201 18810228    11.9
18810301 18810331    34.3
18810401 18810430    21.3
18810501 18810531    41.9
18810601 18810630    36.6
18810701 18810731    18.5
18810801 18810831    25.9
18810901 18810930    19.6
18811001 18811031    57.7
18811101 18811130    88.4
18811201 18811231    32.5
18820101 18820131     5.6
18820201 18820228     2.3
18820301 18820331    16.5
18820401 18820430    46.0
18820501 18820531    62.2
18820601 18820630    35.1
18820701 18820731    45.2
18820801 18820831    22.6
18820901 18820930    35.3
18821001 18821031    39.6
18821101 18821130    82.3
18821201 18821231    27.2
18830101 18830131    10.2
18830201 18830228    43.9
18830301 18830331    49.3
18830401 18830430    39.6
18830501 18830531    43.9
18830601 18830630    37.6
18830701 18830731    36.3
18830801 18830831    17.8
18830901 18830930    47.2
18831001 18831031    48.0
18831101 18831130    40.6
18831201 18831231    22.6
18840101 18840131    35.8
18840201 18840229    13.0
18840301 18840331    37.8
18840401 18840430    15.2
18840501 18840531    40.9
18840601 18840630    24.6
18840701 18840731    19.6
18840801 18840831    36.8
18840901 18840930    21.8
18841001 18841031    36.8
18841101 18841130    38.9
18841201 18841231    35.8
18850101 18850131    24.6
18850201 18850228    45.5
18850301 18850331    37.3
18850401 18850430    59.7
18850501 18850531    14.5
18850601 18850630    50.8
18850701 18850731    86.4
18850801 18850831    25.4
18850901 18850930    68.1
18851001 18851031    26.7
18851101 18851130    54.1
18851201 18851231    23.6
18860101 18860131   158.5
18860201 18860228    34.5
18860301 18860331    23.1
18860401 18860430    11.9
18860501 18860531    20.8
18860601 18860630    10.7
