PRCP       087043 18750101 20180131 missing_value=99999.9 MEREDITH (DARRA)                          
18750101 18750131    23.1
18750201 18750228    88.4
18750301 18750331    16.8
18750401 18750430    82.3
18750501 18750531    92.5
18750601 18750630    87.4
18750701 18750731    46.0
18750801 18750831    66.3
18750901 18750930    61.0
18751001 18751031   145.3
18751101 18751130   125.0
18751201 18751231   114.0
18760101 18760131    31.5
18760201 18760229     2.5
18760301 18760331    80.8
18760401 18760430    60.2
18760501 18760531    53.1
18760601 18760630    36.1
18760701 18760731    51.1
18760801 18760831    59.7
18760901 18760930    67.8
18761001 18761031    93.2
18761101 18761130   126.0
18761201 18761231    11.7
18770101 18770131    13.2
18770201 18770228    27.9
18770301 18770331    69.9
18770401 18770430    51.6
18770501 18770531    74.7
18770601 18770630    28.7
18770701 18770731    18.0
18770801 18770831    23.1
18770901 18770930    92.2
18771001 18771031    57.4
18771101 18771130    47.0
18771201 18771231    42.9
18780101 18780131     0.8
18780201 18780228    64.5
18780301 18780331   125.0
18780401 18780430    73.4
18780501 18780531    23.6
18780601 18780630   100.6
18780701 18780731    45.7
18780801 18780831    77.0
18780901 18780930    53.1
18781001 18781031    56.6
18781101 18781130    29.7
18781201 18781231     7.4
18790101 18790131     7.9
18790201 18790228    16.8
18790301 18790331    28.7
18790401 18790430    38.6
18790501 18790531   159.3
18790601 18790630    37.6
18790701 18790731    45.7
18790801 18790831    45.2
18790901 18790930    38.6
18791001 18791031    84.6
18791101 18791130    65.5
18791201 18791231    29.0
18800101 18800131    26.2
18800201 18800229   114.6
18800301 18800331    74.2
18800401 18800430   113.8
18800501 18800531    70.1
18800601 18800630    74.4
18800701 18800731    63.0
18800801 18800831    62.2
18800901 18800930   253.7
18801001 18801031    47.5
18801101 18801130    53.1
18801201 18801231    27.7
18810101 18810131    33.8
18810201 18810228    12.7
18810301 18810331    40.4
18810401 18810430    28.7
18810501 18810531    56.6
18810601 18810630    66.8
18810701 18810731    33.5
18810801 18810831    34.5
18810901 18810930    39.1
18811001 18811031    78.2
18811101 18811130   111.5
18811201 18811231    62.0
18820101 18820131     9.4
18820201 18820228     2.5
18820301 18820331    30.7
18820401 18820430    81.8
18820501 18820531    77.7
18820601 18820630    65.5
18820701 18820731    86.6
