PRCP       087053 18840601 20170131 missing_value=99999.9 PORTARLINGTON                             
18840601 18840630    42.6
18840701 18840731    20.0
18840801 18840831    57.5
18840901 18840930    25.9
18841001 18841031    56.2
18841101 18841130    76.6
18841201 18841231    40.7
18850101 18850131    47.0
18850201 18850228    41.3
18850301 18850331    50.9
18850401 18850430    89.3
18850501 18850531    31.7
18850601 18850630    84.7
18850701 18850731    51.3
18850801 18850831    23.2
18850901 18850930    83.6
18851001 18851031    37.0
18851101 18851130    63.8
18851201 18851231    53.6
18860101 18860131   132.6
18860201 18860228    42.9
18860301 18860331    26.7
18860401 18860430    18.8
18860501 18860531    29.5
18860601 18860630    22.7
18860701 18860731    20.8
18860801 18860831    79.0
18860901 18860930    49.5
18861001 18861031    82.8
18861101 18861130    50.8
18861201 18861231    63.4
18870101 18870131    18.0
18870201 18870228    60.4
18870301 18870331    21.3
18870401 18870430    55.9
18870501 18870531    29.1
18870601 18870630    81.6
18870701 18870731    85.6
18870801 18870831    14.8
18870901 18870930    70.7
18871001 18871031    44.7
18871101 18871130   105.1
18871201 18871231    54.0
18880101 18880131    38.6
18880201 18880229    27.7
18880301 18880331    75.3
18880401 18880430    26.3
18880501 18880531    89.1
18880601 18880630    43.2
18880701 18880731    44.4
18880801 18880831    26.2
18880901 18880930    30.7
18881001 18881031    26.4
18881101 18881130    16.7
18881201 18881231    30.0
18890101 18890131    72.9
18890201 18890228    45.5
18890301 18890331     3.3
18890401 18890430   116.8
18890501 18890531    47.7
18890601 18890630   101.5
18890701 18890731    51.1
18890801 18890831    64.4
18890901 18890930    43.4
18891001 18891031    78.5
18891101 18891130    71.4
18891201 18891231    23.6
18900101 18900131    28.7
18900201 18900228    11.7
18900301 18900331    49.9
18900401 18900430    36.0
18900501 18900531    67.3
18900601 18900630    48.1
18900701 18900731    66.6
18900801 18900831    48.2
18900901 18900930    68.7
18901001 18901031    51.1
18901101 18901130    84.5
18901201 18901231    40.7
18910101 18910131    13.2
18910201 18910228    10.1
18910301 18910331    53.6
18910401 18910430    51.5
18910501 18910531    65.7
18910601 18910630    94.9
18910701 18910731   144.5
18910801 18910831    51.7
18910901 18910930    43.8
18911001 18911031    69.5
18911101 18911130    89.9
18911201 18911231    45.9
18920101 18920131     7.1
18920201 18920229    10.7
18920301 18920331    41.1
18920401 18920430   123.8
18920501 18920531    50.8
18920601 18920630    39.5
18920701 18920731    39.1
18920801 18920831    68.1
18920901 18920930    64.6
18921001 18921031    70.0
18921101 18921130    47.1
18921201 18921231    46.5
18930101 18930131     1.3
18930201 18930228     6.6
18930301 18930331    56.4
18930401 18930430    48.0
18930501 18930531   101.4
18930601 18930630    86.1
18930701 18930731    62.8
18930801 18930831    53.8
18930901 18930930    97.1
18931001 18931031    83.9
18931101 18931130    64.7
18931201 18931231    39.8
18940101 18940131     4.3
18940201 18940228    24.4
18940301 18940331    23.5
18940401 18940430    76.3
18940501 18940531    40.4
18940601 18940630    83.9
18940701 18940731    81.2
18940801 18940831    48.8
18940901 18940930    68.1
18941001 18941031   117.5
18941101 18941130    16.6
18941201 18941231    58.3
18950101 18950131    42.9
18950201 18950228     3.3
18950301 18950331    44.2
18950401 18950430    74.4
18950501 18950531    27.9
18950601 18950630    80.0
18950701 18950731    51.2
18950801 18950831    61.1
18950901 18950930   145.0
18951001 18951031    21.0
18951101 18951130     3.8
18951201 18951231    69.5
18960101 18960131    71.5
18960201 18960229    69.1
18960301 18960331    59.8
18960401 18960430    74.2
18960501 18960531   137.7
18960601 18960630    78.1
18960701 18960731    68.1
18960801 18960831    71.0
18960901 18960930    54.5
18961001 18961031    19.3
18961101 18961130    21.9
18961201 18961231    24.5
18970101 18970131   101.9
18970201 18970228    65.2
18970301 18970331    39.6
18970401 18970430    31.2
18970501 18970531    62.9
18970601 18970630    44.1
18970701 18970731    55.3
18970801 18970831    75.1
18970901 18970930    45.6
18971001 18971031    52.7
18971101 18971130    36.0
18971201 18971231    23.6
18980101 18980131     6.4
18980201 18980228     4.1
18980301 18980331    11.7
18980401 18980430    38.3
18980501 18980531    51.1
18980601 18980630    54.7
18980701 18980731    42.9
18980801 18980831    24.6
18980901 18980930    80.7
18981001 18981031    33.5
18981101 18981130    44.1
18981201 18981231    21.9
18990101 18990131    57.1
18990201 18990228    49.8
18990301 18990331    59.8
18990401 18990430    96.7
18990501 18990531    75.6
18990601 18990630   119.1
18990701 18990731    38.0
18990801 18990831    80.4
18990901 18990930    49.1
18991001 18991031    62.5
18991101 18991130    54.5
18991201 18991231    16.8
19000101 19000131    49.5
19000201 19000228     3.6
19000301 19000331    59.3
19000401 19000430    94.8
19000501 19000531    80.9
19000601 19000630    53.9
19000701 19000731    35.5
19000801 19000831    70.2
19000901 19000930    58.0
19001001 19001031    18.4
19001101 19001130     4.0
19001201 19001231    16.5
19010101 19010131    67.1
19010201 19010228    11.4
19010301 19010331    40.7
19010401 19010430   161.2
19010501 19010531    11.2
19010601 19010630    54.9
19010701 19010731    52.3
19010801 19010831    45.0
19010901 19010930    45.9
19011001 19011031    46.8
19011101 19011130    31.1
19011201 19011231     6.6
19020101 19020131    33.1
19020201 19020228    24.5
19020301 19020331   130.4
19020401 19020430     3.5
19020501 19020531    20.6
19020601 19020630    55.4
19020701 19020731    16.2
19020801 19020831    31.0
19020901 19020930    61.0
19021001 19021031    22.1
19021101 19021130     8.3
19021201 19021231    97.2
19030101 19030131    23.4
19030201 19030228    32.2
19030301 19030331    67.6
19030401 19030430   101.5
19030501 19030531    48.8
19030601 19030630    54.8
19030701 19030731    42.0
19030801 19030831    22.4
19030901 19030930    57.7
19031001 19031031    65.1
19031101 19031130    89.9
19031201 19031231    47.9
19040101 19040131    93.2
19040201 19040229   118.5
19040301 19040331    11.3
19040401 19040430    11.5
19040501 19040531    67.8
19040601 19040630    94.0
19040701 19040731    55.8
19040801 19040831    56.0
19040901 19040930    45.8
19041001 19041031    50.1
19041101 19041130    40.8
19041201 19041231     5.1
19050101 19050131    31.6
19050201 19050228    36.9
19050301 19050331    38.9
19050401 19050430    57.5
19050501 19050531    72.3
19050601 19050630    47.4
19050701 19050731    95.0
19050801 19050831    31.8
19050901 19050930    62.5
19051001 19051031    66.6
19051101 19051130    29.0
19051201 19051231    36.1
19060101 19060131     3.6
19060201 19060228     8.6
19060301 19060331    88.3
19060401 19060430    13.3
19060501 19060531    59.1
19060601 19060630    58.0
19060701 19060731    34.1
19060801 19060831    58.5
19060901 19060930    98.5
19061001 19061031    89.2
