PRCP       088060 18840201 20180131 missing_value=99999.9 WALLABY CREEK WEIR                        
18840201 18840229    69.8
18840301 18840331    62.9
18840401 18840430    29.0
18840501 18840531    77.4
18840601 18840630    94.7
18840701 18840731    34.4
18840801 18840831   146.4
18840901 18840930    77.9
18841001 18841031   129.4
18841101 18841130   121.3
18841201 18841231   140.9
18850101 18850131    31.2
18850201 18850228    88.6
18850301 18850331    93.9
18850401 18850430   121.2
18850501 18850531    81.5
18850601 18850630   189.1
18850701 18850731    72.8
18850801 18850831    81.2
18850901 18850930   201.2
18851001 18851031    99.1
18851101 18851130   118.8
18851201 18851231   117.7
18860101 18860131   139.4
18860201 18860228    82.7
18860301 18860331    55.2
18860401 18860430    55.2
18860501 18860531    85.7
18860601 18860630    74.1
18860701 18860731    79.4
18860801 18860831   132.9
18860901 18860930    77.6
18861001 18861031   174.2
18861101 18861130    94.6
18861201 18861231    90.3
18870101 18870131    63.6
18870201 18870228    55.0
18870301 18870331    39.8
18870401 18870430   110.8
18870501 18870531   109.8
18870601 18870630   163.0
18870701 18870731   178.9
18870801 18870831   100.0
18870901 18870930   160.4
18871001 18871031   154.2
18871101 18871130   265.9
18871201 18871231   155.6
18880101 18880131    70.1
18880201 18880229    20.2
18880301 18880331    88.4
18880401 18880430    25.5
18880501 18880531   150.3
18880601 18880630   126.5
18880701 18880731   117.3
18880801 18880831    92.5
18880901 18880930    56.2
18881001 18881031    74.6
18881101 18881130    35.2
18881201 18881231    70.1
18890101 18890131   176.9
18890201 18890228   144.0
18890301 18890331    23.7
18890401 18890430   171.5
18890501 18890531   202.5
18890601 18890630   269.8
18890701 18890731   130.9
18890801 18890831   209.3
18890901 18890930   118.8
18891001 18891031   103.4
18891101 18891130    97.2
18891201 18891231    43.0
18900101 18900131    24.2
18900201 18900228    36.6
18900301 18900331   115.3
18900401 18900430    52.0
18900501 18900531    93.8
18900601 18900630   238.6
18900701 18900731   153.9
18900801 18900831   143.4
18900901 18900930   131.0
18901001 18901031   141.8
18901101 18901130   168.4
18901201 18901231    53.9
18910101 18910131    34.0
18910201 18910228    11.4
