PRCP       089005 18821001 20180131 missing_value=99999.9 BEAUFORT                                  
18821001 18821031    79.3
18821101 18821130    58.5
18821201 18821231    41.9
18830101 18830131     8.9
18830201 18830228    79.8
18830301 18830331    55.6
18830401 18830430    42.3
18830501 18830531    91.1
18830601 18830630    78.6
18830701 18830731    75.1
18830801 18830831    73.6
18830901 18830930    68.3
18831001 18831031    69.1
18831101 18831130    53.0
18831201 18831231    35.6
18840101 18840131    93.9
18840201 18840229    26.0
18840301 18840331    47.0
18840401 18840430    44.7
18840501 18840531    93.2
18840601 18840630    50.3
18840701 18840731    22.6
18840801 18840831    63.2
18840901 18840930    68.6
18841001 18841031    52.3
18841101 18841130    31.5
18841201 18841231    68.9
18850101 18850131    30.0
18850201 18850228    51.8
18850301 18850331    54.6
18850401 18850430    46.7
18850501 18850531    41.2
18850601 18850630    80.5
18850701 18850731    56.6
18850801 18850831    66.2
18850901 18850930   102.8
18851001 18851031    19.8
18851101 18851130    27.6
18851201 18851231    35.6
18860101 18860131   113.2
18860201 18860228    30.7
18860301 18860331    35.3
18860401 18860430    13.2
18860501 18860531    38.5
18860601 18860630    39.6
18860701 18860731    53.2
18860801 18860831    89.8
18860901 18860930    55.5
18861001 18861031   102.6
18861101 18861130    48.6
18861201 18861231    51.2
18870101 18870131    23.7
18870201 18870228    34.4
18870301 18870331     7.6
18870401 18870430    42.7
18870501 18870531    40.1
18870601 18870630   103.5
18870701 18870731    82.4
18870801 18870831    79.2
18870901 18870930    82.7
18871001 18871031    80.0
18871101 18871130   124.3
18871201 18871231    78.0
18880101 18880131    42.9
18880201 18880229    17.6
18880301 18880331    86.0
18880401 18880430    56.4
18880501 18880531    61.0
18880601 18880630    89.0
18880701 18880731    81.1
18880801 18880831    47.1
18880901 18880930    37.6
18881001 18881031    33.1
18881101 18881130     7.6
18881201 18881231    28.4
18890101 18890131    42.9
18890201 18890228    37.2
18890301 18890331     4.6
18890401 18890430   137.3
18890501 18890531    76.3
18890601 18890630   179.2
18890701 18890731    58.7
18890801 18890831    84.7
18890901 18890930    52.4
18891001 18891031    89.1
18891101 18891130    62.0
18891201 18891231    10.1
18900101 18900131    22.1
18900201 18900228     6.6
18900301 18900331    37.8
18900401 18900430    30.7
18900501 18900531    52.7
18900601 18900630    78.6
18900701 18900731    73.7
18900801 18900831   115.8
18900901 18900930    66.2
18901001 18901031    87.9
18901101 18901130   104.1
18901201 18901231    38.3
18910101 18910131    14.7
18910201 18910228     3.5
18910301 18910331    26.5
18910401 18910430    34.0
18910501 18910531    49.7
18910601 18910630    95.1
18910701 18910731    52.6
18910801 18910831    32.6
18910901 18910930    72.8
18911001 18911031    82.6
18911101 18911130    53.0
18911201 18911231    50.7
18920101 18920131     9.4
18920201 18920229     4.5
18920301 18920331    29.3
18920401 18920430   125.9
18920501 18920531    79.7
