PRCP       089033 18790501 20180131 missing_value=99999.9 WICKLIFFE                                 
18790501 18790531    45.8
18790601 18790630    31.9
18790701 18790731    37.7
18790801 18790831    53.1
18790901 18790930    48.6
18791001 18791031    55.2
18791101 18791130    51.6
18791201 18791231    65.8
18800101 18800131     0.0
18800201 18800229    77.0
18800301 18800331    64.4
18800401 18800430    77.7
18800501 18800531    57.3
18800601 18800630    70.5
18800701 18800731    25.8
18800801 18800831    57.5
18800901 18800930    80.6
18801001 18801031    51.1
18801101 18801130    21.8
18801201 18801231    17.7
18810101 18810131     9.7
18810201 18810228     1.3
18810301 18810331    18.5
18810401 18810430    26.9
18810501 18810531    63.6
18810601 18810630    93.1
18810701 18810731    21.2
18810801 18810831    51.8
18810901 18810930    31.6
18811001 18811031    52.8
18811101 18811130    64.1
18811201 18811231    39.8
18820101 18820131     6.4
18820201 18820228     0.8
18820301 18820331    22.0
18820401 18820430    84.2
18820501 18820531    51.2
18820601 18820630    48.7
18820701 18820731    81.3
18820801 18820831    25.9
18820901 18820930    34.7
18821001 18821031    60.4
18821101 18821130    72.0
18821201 18821231    33.2
18830101 18830131    11.1
18830201 18830228   119.8
18830301 18830331    42.0
18830401 18830430    18.2
18830501 18830531    67.9
18830601 18830630    76.0
18830701 18830731    47.2
18830801 18830831    53.3
18830901 18830930    77.3
18831001 18831031    68.9
18831101 18831130    38.0
18831201 18831231    22.2
18840101 18840131    98.3
18840201 18840229    13.9
18840301 18840331    55.9
18840401 18840430    37.1
18840501 18840531    56.5
18840601 18840630    57.0
18840701 18840731    19.8
18840801 18840831    40.7
18840901 18840930    41.4
18841001 18841031    35.2
18841101 18841130    44.2
18841201 18841231    42.6
18850101 18850131    29.7
18850201 18850228    23.4
18850301 18850331    37.1
18850401 18850430    26.0
18850501 18850531    29.7
18850601 18850630    59.5
18850701 18850731    39.7
18850801 18850831    76.5
18850901 18850930    53.6
18851001 18851031    11.1
18851101 18851130    12.6
18851201 18851231    33.4
18860101 18860131   105.0
18860201 18860228    45.4
18860301 18860331    29.2
18860401 18860430    16.0
18860501 18860531    15.9
