PRCP       090135 18900101 20180131 missing_value=99999.9 CASTERTON SHOWGROUNDS                     
18900101 18900131    33.9
18900201 18900228     3.6
18900301 18900331    28.3
18900401 18900430    40.1
18900501 18900531    24.2
18900601 18900630   133.0
18900701 18900731    62.8
18900801 18900831   112.7
18900901 18900930    65.3
18901001 18901031    87.2
18901101 18901130    89.5
18901201 18901231    21.1
18910101 18910131    24.2
18910201 18910228     5.7
18910301 18910331    12.4
18910401 18910430    36.8
18910501 18910531    44.0
18910601 18910630   101.1
18910701 18910731    50.7
18910801 18910831    33.7
18910901 18910930    64.6
18911001 18911031    96.5
18911101 18911130    33.7
18911201 18911231    82.6
18920101 18920131    16.2
18920201 18920229     2.0
18920301 18920331    36.1
18920401 18920430    69.7
18920501 18920531    67.2
18920601 18920630    65.8
18920701 18920731    64.6
18920801 18920831    59.2
18920901 18920930    56.8
18921001 18921031    37.1
18921101 18921130    39.9
18921201 18921231    50.4
18930101 18930131    14.9
18930201 18930228     2.3
18930301 18930331    24.1
18930401 18930430    43.8
18930501 18930531   147.0
18930601 18930630    53.8
18930701 18930731    76.1
18930801 18930831    95.8
18930901 18930930   125.4
18931001 18931031    77.3
18931101 18931130    48.3
18931201 18931231    18.3
18940101 18940131    15.7
18940201 18940228    17.5
18940301 18940331    37.3
18940401 18940430    64.4
18940501 18940531    55.3
18940601 18940630    47.2
18940701 18940731   124.4
18940801 18940831    84.5
18940901 18940930    64.1
18941001 18941031   162.0
18941101 18941130    14.3
18941201 18941231    89.2
18950101 18950131    53.2
18950201 18950228     2.0
18950301 18950331    71.3
18950401 18950430    80.1
18950501 18950531    34.2
18950601 18950630    67.0
18950701 18950731   116.0
18950801 18950831   166.2
18950901 18950930    63.8
18951001 18951031    40.6
18951101 18951130     4.2
18951201 18951231    57.5
18960101 18960131    61.2
18960201 18960229    19.2
18960301 18960331    38.5
18960401 18960430    85.2
18960501 18960531    47.1
18960601 18960630    37.3
18960701 18960731    66.0
18960801 18960831    44.3
18960901 18960930    35.9
18961001 18961031    16.0
18961101 18961130    29.7
18961201 18961231    50.9
18970101 18970131    44.0
18970201 18970228    14.8
18970301 18970331    30.9
18970401 18970430    27.0
18970501 18970531    58.9
18970601 18970630    33.5
18970701 18970731    38.1
18970801 18970831    86.1
18970901 18970930    63.4
18971001 18971031    40.9
18971101 18971130    30.6
18971201 18971231     3.4
18980101 18980131     2.1
18980201 18980228    23.6
18980301 18980331     8.0
18980401 18980430    77.6
18980501 18980531    35.6
18980601 18980630    87.0
18980701 18980731    98.2
18980801 18980831    41.2
18980901 18980930    61.6
18981001 18981031    65.0
18981101 18981130    63.4
18981201 18981231    16.5
18990101 18990131    38.2
18990201 18990228    25.1
18990301 18990331    56.3
18990401 18990430    60.8
18990501 18990531    48.0
18990601 18990630    96.1
18990701 18990731    15.1
18990801 18990831    28.9
18990901 18990930    35.8
18991001 18991031    68.5
18991101 18991130    40.4
18991201 18991231    41.2
