PRCP       091011 18960401 20170731 missing_value=99999.9 CAPE GRIM (WOOLNORTH)                     
18960401 18960430   153.2
18960501 18960531   137.8
18960601 18960630    46.3
18960701 18960731   125.1
18960801 18960831    95.5
18960901 18960930    63.4
18961001 18961031    56.2
18961101 18961130    19.4
18961201 18961231    47.2
18970101 18970131    55.9
18970201 18970228    25.9
18970301 18970331    64.6
18970401 18970430    47.0
18970501 18970531    88.0
18970601 18970630    69.5
18970701 18970731   105.9
18970801 18970831    95.4
18970901 18970930    32.3
18971001 18971031   112.3
18971101 18971130    60.1
18971201 18971231     6.2
18980101 18980131    21.6
18980201 18980228     5.4
18980301 18980331    31.1
18980401 18980430   112.8
18980501 18980531    81.0
18980601 18980630   115.2
18980701 18980731   147.2
18980801 18980831    59.6
18980901 18980930   138.5
18981001 18981031    51.1
18981101 18981130   138.0
18981201 18981231    44.7
18990101 18990131   104.8
18990201 18990228    73.3
18990301 18990331    86.9
18990401 18990430    73.0
18990501 18990531   156.3
18990601 18990630   134.4
18990701 18990731    42.2
18990801 18990831    31.0
18990901 18990930    84.2
18991001 18991031    70.2
18991101 18991130   112.2
18991201 18991231    47.4
19000101 19000131    67.5
19000201 19000228    47.1
19000301 19000331    99.8
19000401 19000430   129.2
19000501 19000531    47.4
19000601 19000630   138.2
19000701 19000731    84.4
19000801 19000831   163.9
19000901 19000930    32.4
19001001 19001031   101.0
19001101 19001130     9.8
19001201 19001231    66.2
19010101 19010131    73.7
19010201 19010228    11.9
19010301 19010331    48.3
19010401 19010430    86.4
19010501 19010531    69.6
19010601 19010630   136.1
19010701 19010731    71.4
19010801 19010831    75.4
19010901 19010930   101.3
19011001 19011031    65.3
19011101 19011130    47.2
19011201 19011231    17.8
19020101 19020131    63.5
19020201 19020228    84.8
19020301 19020331    47.0
19020401 19020430    30.2
19020501 19020531    51.3
19020601 19020630    77.7
19020701 19020731    68.6
19020801 19020831    69.3
19020901 19020930    64.5
19021001 19021031    58.7
19021101 19021130    22.1
19021201 19021231    51.1
19030101 19030131    36.1
19030201 19030228    62.0
19030301 19030331    92.2
19030401 19030430    84.1
19030501 19030531    61.5
19030601 19030630   147.1
19030701 19030731    93.5
19030801 19030831   123.7
19030901 19030930    75.4
19031001 19031031    67.3
19031101 19031130    50.8
19031201 19031231    80.5
19040101 19040131    77.1
19040201 19040229   126.7
19040301 19040331    39.1
19040401 19040430    31.4
19040501 19040531   118.5
19040601 19040630   133.5
19040701 19040731    74.1
19040801 19040831    86.6
19040901 19040930    77.6
19041001 19041031    64.1
19041101 19041130    63.6
19041201 19041231    27.1
19050101 19050131    74.7
19050201 19050228    48.0
19050301 19050331    57.7
19050401 19050430    86.9
19050501 19050531    77.0
19050601 19050630   102.6
19050701 19050731   119.6
19050801 19050831    86.9
19050901 19050930   110.7
19051001 19051031    94.5
19051101 19051130    49.3
19051201 19051231    76.4
19060101 19060131    15.5
19060201 19060228    19.3
19060301 19060331    15.7
19060401 19060430    94.7
19060501 19060531   130.0
19060601 19060630   175.5
19060701 19060731   238.8
19060801 19060831    84.3
19060901 19060930    88.4
19061001 19061031    99.3
19061101 19061130    77.5
19061201 19061231    34.3
19070101 19070131    33.4
19070201 19070228    29.8
19070301 19070331    44.5
19070401 19070430   125.5
19070501 19070531    79.9
19070601 19070630   118.1
19070701 19070731   141.6
19070801 19070831   138.8
19070901 19070930   104.4
19071001 19071031    97.1
19071101 19071130    21.1
19071201 19071231   128.5
19080101 19080131    19.8
19080201 19080229    19.5
19080301 19080331    88.8
19080401 19080430    24.3
19080501 19080531   113.6
19080601 19080630    82.6
19080701 19080731    62.7
19080801 19080831    48.0
19080901 19080930    88.0
19081001 19081031    59.1
19081101 19081130    45.4
19081201 19081231    33.1
19090101 19090131    21.9
19090201 19090228    15.6
19090301 19090331    64.4
19090401 19090430    98.5
19090501 19090531    81.1
19090601 19090630   106.1
19090701 19090731   138.1
19090801 19090831   155.9
19090901 19090930    50.2
19091001 19091031    71.3
19091101 19091130    49.2
19091201 19091231    69.4
19100101 19100131    38.2
19100201 19100228    25.4
19100301 19100331    51.1
19100401 19100430    70.8
19100501 19100531   165.6
19100601 19100630   149.5
19100701 19100731   116.0
19100801 19100831   123.2
19100901 19100930   153.3
19101001 19101031    60.3
19101101 19101130    58.5
19101201 19101231    68.5
19110101 19110131    13.3
19110201 19110228    68.7
19110301 19110331    48.8
19110401 19110430    72.7
19110501 19110531    77.5
19110601 19110630   138.3
19110701 19110731    72.1
19110801 19110831    63.2
19110901 19110930    26.4
19111001 19111031    62.4
19111101 19111130    28.5
19111201 19111231   102.8
19120101 19120131    19.4
19120201 19120229     9.2
19120301 19120331    44.7
19120401 19120430    87.2
19120501 19120531    73.4
19120601 19120630    54.9
19120701 19120731    81.7
19120801 19120831    99.8
19120901 19120930   102.4
19121001 19121031    46.1
19121101 19121130    91.2
19121201 19121231    82.7
19130101 19130131    26.2
19130201 19130228    21.5
19130301 19130331    71.3
19130401 19130430    20.3
19130501 19130531    38.1
19130601 19130630    53.7
19130701 19130731    79.5
19130801 19130831   119.0
19130901 19130930   109.1
19131001 19131031    74.0
19131101 19131130    70.6
19131201 19131231    47.7
19140101 19140131    42.9
19140201 19140228     5.2
19140301 19140331    30.5
19140401 19140430   128.2
19140501 19140531    92.1
19140601 19140630    54.7
19140701 19140731    59.8
19140801 19140831    34.4
19140901 19140930    34.3
19141001 19141031     8.5
19141101 19141130    40.4
19141201 19141231    86.1
19150101 19150131    17.8
19150201 19150228    12.0
19150301 19150331    40.1
19150401 19150430    28.4
19150501 19150531    82.2
19150601 19150630   145.7
19150701 19150731    81.6
19150801 19150831   113.5
19150901 19150930   149.1
19151001 19151031    89.3
19151101 19151130    77.8
19151201 19151231     4.1
19160101 19160131    63.8
19160201 19160229    26.4
19160301 19160331    29.7
19160401 19160430    63.3
19160501 19160531    61.7
19160601 19160630    99.4
19160701 19160731    55.6
19160801 19160831   137.1
19160901 19160930    58.6
19161001 19161031    96.8
19161101 19161130    77.2
19161201 19161231   139.0
19170101 19170131    34.9
19170201 19170228    47.8
19170301 19170331    34.5
19170401 19170430    53.0
19170501 19170531   117.7
19170601 19170630    96.7
19170701 19170731   214.9
19170801 19170831    94.8
19170901 19170930   100.8
19171001 19171031   123.9
19171101 19171130    95.1
19171201 19171231    25.3
19180101 19180131    23.7
19180201 19180228    54.6
19180301 19180331    37.7
19180401 19180430    26.1
19180501 19180531   117.4
19180601 19180630   127.6
19180701 19180731   135.2
19180801 19180831    68.2
19180901 19180930    41.3
19181001 19181031   125.7
19181101 19181130    28.8
19181201 19181231    71.2
19190101 19190131    30.8
19190201 19190228    57.7
19190301 19190331    53.2
19190401 19190430    26.8
19190501 19190531    79.2
19190601 19190630   127.6
19190701 19190731   130.0
19190801 19190831    75.9
19190901 19190930    63.6
19191001 19191031    58.9
19191101 19191130    24.0
19191201 19191231    56.6
19200101 19200131     8.9
19200201 19200229    21.9
19200301 19200331    49.2
19200401 19200430    96.8
19200501 19200531    95.9
19200601 19200630   172.2
19200701 19200731   171.5
19200801 19200831   143.1
19200901 19200930    84.6
19201001 19201031    49.2
19201101 19201130    51.0
19201201 19201231    33.5
19210101 19210131    25.7
19210201 19210228    50.3
19210301 19210331    13.6
19210401 19210430    55.7
19210501 19210531    70.1
19210601 19210630   159.8
19210701 19210731   141.1
19210801 19210831   127.4
19210901 19210930    98.2
19211001 19211031    76.5
19211101 19211130    66.9
19211201 19211231    19.7
19220101 19220131    60.7
19220201 19220228    75.2
19220301 19220331    76.2
19220401 19220430    69.2
19220501 19220531   139.0
19220601 19220630    93.6
19220701 19220731    58.5
19220801 19220831    96.3
19220901 19220930    79.9
19221001 19221031   105.0
19221101 19221130    31.2
19221201 19221231    75.7
19230101 19230131    78.2
19230201 19230228    33.1
19230301 19230331    29.2
19230401 19230430     4.1
19230501 19230531   212.6
19230601 19230630   184.7
19230701 19230731   142.3
19230801 19230831    84.6
19230901 19230930   129.5
19231001 19231031   132.3
19231101 19231130    91.9
19231201 19231231    85.2
19240101 19240131    90.0
19240201 19240229   129.2
19240301 19240331    76.2
19240401 19240430    84.5
19240501 19240531    74.2
19240601 19240630   159.3
19240701 19240731    96.6
19240801 19240831   105.6
19240901 19240930   111.1
19241001 19241031    81.7
19241101 19241130    87.0
19241201 19241231    31.3
19250101 19250131    40.2
19250201 19250228    63.5
19250301 19250331    25.7
19250401 19250430    60.4
19250501 19250531    49.8
19250601 19250630    64.9
19250701 19250731    88.6
19250801 19250831    87.8
19250901 19250930    86.5
19251001 19251031    86.9
19251101 19251130    22.0
19251201 19251231    34.9
19260101 19260131    12.2
19260201 19260228    49.8
19260301 19260331    44.4
19260401 19260430    87.9
19260501 19260531   104.6
19260601 19260630   114.9
19260701 19260731   136.8
19260801 19260831   139.9
19260901 19260930    55.8
19261001 19261031    93.9
19261101 19261130    77.2
19261201 19261231    54.6
19270101 19270131    13.8
19270201 19270228    51.6
19270301 19270331    36.2
19270401 19270430    24.2
19270501 19270531   111.1
19270601 19270630    76.2
19270701 19270731   127.4
19270801 19270831   148.3
19270901 19270930    61.5
19271001 19271031    39.2
19271101 19271130    13.8
19271201 19271231    60.0
19280101 19280131    50.5
19280201 19280229    79.9
19280301 19280331    48.3
19280401 19280430    78.7
19280501 19280531    70.2
19280601 19280630    95.2
19280701 19280731   126.0
19280801 19280831    94.9
19280901 19280930   119.5
19281001 19281031   146.5
19281101 19281130    88.9
19281201 19281231    51.6
19290101 19290131    60.6
19290201 19290228    42.3
19290301 19290331    58.0
19290401 19290430   192.8
19290501 19290531    65.4
19290601 19290630   171.4
19290701 19290731   115.1
19290801 19290831    87.7
19290901 19290930    82.3
19291001 19291031    96.7
19291101 19291130    70.8
19291201 19291231    92.0
19300101 19300131    28.0
19300201 19300228    39.8
19300301 19300331    17.4
19300401 19300430    54.1
19300501 19300531    76.0
19300601 19300630    40.4
19300701 19300731    87.7
19300801 19300831   170.3
19300901 19300930   119.2
19301001 19301031    80.4
19301101 19301130    74.9
19301201 19301231    76.3
19310101 19310131    27.2
19310201 19310228    29.7
19310301 19310331    89.0
19310401 19310430    58.8
19310501 19310531   169.5
19310601 19310630   175.0
19310701 19310731   172.2
