PRCP       091044 19080101 20180131 missing_value=99999.9 IRISHTOWN (JOHNS HILL ROAD)               
19080101 19080131    22.7
19080201 19080229    31.7
19080301 19080331   137.2
19080401 19080430    47.2
19080501 19080531   188.9
19080601 19080630   132.9
19080701 19080731   104.0
19080801 19080831   115.5
19080901 19080930   126.2
19081001 19081031    88.6
19081101 19081130    72.4
19081201 19081231    63.7
19090101 19090131    27.7
19090201 19090228    19.3
19090301 19090331   110.8
19090401 19090430   178.0
19090501 19090531   141.1
19090601 19090630   177.9
19090701 19090731   165.9
19090801 19090831   260.4
19090901 19090930    68.9
19091001 19091031   129.9
19091101 19091130    83.0
19091201 19091231   119.1
19100101 19100131    58.3
19100201 19100228    27.0
19100301 19100331    45.5
19100401 19100430    82.2
19100501 19100531   258.1
19100601 19100630   253.8
19100701 19100731   161.7
19100801 19100831   190.2
19100901 19100930   226.7
19101001 19101031   120.3
19101101 19101130    85.9
19101201 19101231   127.7
19110101 19110131    28.8
19110201 19110228   148.9
19110301 19110331    79.8
19110401 19110430   127.4
19110501 19110531   115.8
19110601 19110630   169.4
19110701 19110731    97.0
19110801 19110831    79.1
19110901 19110930    57.8
19111001 19111031   113.4
19111101 19111130    59.2
19111201 19111231   179.5
19120101 19120131    45.2
19120201 19120229    15.1
19120301 19120331    88.8
19120401 19120430   111.3
19120501 19120531   106.2
19120601 19120630   145.5
19120701 19120731   158.2
19120801 19120831   139.9
19120901 19120930   184.4
19121001 19121031   106.9
19121101 19121130   156.8
19121201 19121231   116.0
19130101 19130131    39.7
19130201 19130228    39.4
19130301 19130331    83.9
19130401 19130430    40.3
19130501 19130531    54.2
19130601 19130630    92.0
19130701 19130731   134.8
19130801 19130831   229.0
19130901 19130930   152.9
19131001 19131031   105.3
19131101 19131130   135.1
19131201 19131231    85.8
19140101 19140131    64.2
19140201 19140228    12.0
19140301 19140331    60.0
19140401 19140430   235.9
19140501 19140531   133.1
19140601 19140630    98.6
19140701 19140731   102.6
19140801 19140831    70.4
19140901 19140930    61.1
19141001 19141031    10.4
19141101 19141130    52.9
19141201 19141231    84.9
19150101 19150131    30.6
19150201 19150228    14.3
19150301 19150331    75.8
19150401 19150430    79.2
19150501 19150531   160.0
19150601 19150630   225.6
19150701 19150731   141.3
19150801 19150831   182.7
19150901 19150930   275.4
19151001 19151031   170.2
19151101 19151130   205.6
19151201 19151231    16.2
19160101 19160131    82.1
19160201 19160229    41.6
19160301 19160331    26.7
19160401 19160430   122.9
19160501 19160531   116.2
19160601 19160630   185.9
19160701 19160731    98.6
19160801 19160831   246.2
19160901 19160930    89.3
19161001 19161031   179.9
19161101 19161130   114.8
19161201 19161231   184.5
19170101 19170131    67.7
19170201 19170228    81.1
19170301 19170331    68.3
19170401 19170430    76.9
19170501 19170531   172.7
19170601 19170630   146.2
19170701 19170731   319.3
19170801 19170831   122.0
19170901 19170930   172.2
19171001 19171031   189.8
19171101 19171130   201.9
19171201 19171231    28.0
19180101 19180131    56.6
19180201 19180228    49.2
19180301 19180331    72.4
19180401 19180430    73.1
19180501 19180531   160.7
19180601 19180630   182.9
19180701 19180731   169.9
19180801 19180831    82.7
19180901 19180930    58.9
19181001 19181031   157.0
19181101 19181130    22.8
19181201 19181231    93.9
19190101 19190131    33.5
19190201 19190228    59.2
19190301 19190331    72.6
19190401 19190430    48.8
19190501 19190531   108.5
19190601 19190630   231.8
19190701 19190731   176.0
19190801 19190831   105.9
19190901 19190930   105.7
19191001 19191031   109.7
19191101 19191130    29.8
19191201 19191231    78.2
19200101 19200131     5.1
19200201 19200229    31.2
19200301 19200331    71.9
19200401 19200430    74.6
19200501 19200531   117.9
19200601 19200630   193.7
19200701 19200731   217.4
19200801 19200831   202.6
19200901 19200930    95.3
19201001 19201031    96.9
19201101 19201130    85.7
19201201 19201231    58.0
19210101 19210131    36.5
19210201 19210228    58.5
19210301 19210331    33.1
19210401 19210430    90.8
19210501 19210531    74.0
19210601 19210630   187.5
19210701 19210731   193.9
19210801 19210831   183.8
19210901 19210930   171.3
19211001 19211031    90.9
19211101 19211130   115.0
19211201 19211231    26.4
19220101 19220131    55.1
19220201 19220228    57.9
19220301 19220331    61.7
19220401 19220430   122.9
19220501 19220531   148.3
19220601 19220630   100.7
19220701 19220731    51.6
19220801 19220831   114.6
19220901 19220930   107.2
19221001 19221031   141.6
19221101 19221130    64.9
19221201 19221231   127.4
19230101 19230131   101.6
19230201 19230228    58.0
19230301 19230331    41.3
19230401 19230430     0.0
19230501 19230531   315.0
19230601 19230630   185.9
19230701 19230731   159.4
19230801 19230831   101.9
19230901 19230930   164.6
19231001 19231031   156.2
19231101 19231130   125.6
19231201 19231231    91.0
19240101 19240131   124.0
19240201 19240229   135.1
19240301 19240331    91.9
19240401 19240430    84.0
19240501 19240531    77.6
19240601 19240630   150.2
19240701 19240731   100.3
19240801 19240831   133.1
19240901 19240930   159.2
19241001 19241031   109.3
19241101 19241130   160.3
19241201 19241231    26.1
19250101 19250131    52.0
19250201 19250228    83.2
19250301 19250331    29.7
19250401 19250430    74.1
19250501 19250531    64.2
19250601 19250630    98.4
19250701 19250731    88.8
19250801 19250831   126.8
19250901 19250930   101.1
19251001 19251031   111.7
19251101 19251130    29.3
19251201 19251231    50.7
19260101 19260131    19.7
19260201 19260228    91.9
19260301 19260331    39.9
19260401 19260430   126.4
19260501 19260531   105.0
19260601 19260630   102.0
19260701 19260731   181.3
19260801 19260831   180.2
19260901 19260930    60.5
19261001 19261031   132.8
19261101 19261130    96.8
19261201 19261231    82.8
19270101 19270131    25.4
19270201 19270228    66.2
19270301 19270331    26.1
19270401 19270430    20.7
19270501 19270531   137.9
19270601 19270630    76.2
19270701 19270731   143.9
19270801 19270831   176.8
19270901 19270930    81.2
19271001 19271031    74.3
19271101 19271130    37.2
19271201 19271231    61.4
19280101 19280131    43.3
19280201 19280229    81.8
19280301 19280331    40.7
19280401 19280430   140.9
19280501 19280531    78.0
19280601 19280630    72.0
19280701 19280731   166.3
19280801 19280831   126.6
19280901 19280930   182.7
19281001 19281031   226.9
19281101 19281130   110.5
19281201 19281231    56.4
19290101 19290131   107.0
19290201 19290228    24.5
19290301 19290331    50.4
19290401 19290430   257.5
19290501 19290531    82.7
19290601 19290630   203.9
19290701 19290731   128.8
19290801 19290831   121.7
19290901 19290930   105.7
19291001 19291031   158.5
19291101 19291130    84.2
19291201 19291231   101.6
19300101 19300131    34.6
19300201 19300228    27.9
19300301 19300331    17.3
19300401 19300430    88.4
19300501 19300531   102.6
