PRCP       092012 18880801 20180131 missing_value=99999.9 FINGAL (FORESTRY LEGGE STREET)            
18880801 18880831    47.8
18880901 18880930    48.3
18881001 18881031    28.0
18881101 18881130    14.0
18881201 18881231    64.3
18890101 18890131    61.7
18890201 18890228    22.9
18890301 18890331     1.8
18890401 18890430    98.5
18890501 18890531    39.6
18890601 18890630   215.6
18890701 18890731    23.9
18890801 18890831   114.8
18890901 18890930    38.6
18891001 18891031   150.6
18891101 18891130   199.5
18891201 18891231    26.5
18900101 18900131     4.8
18900201 18900228    77.8
18900301 18900331   146.1
18900401 18900430    17.9
18900501 18900531    63.3
18900601 18900630   345.6
18900701 18900731   104.1
18900801 18900831    40.1
18900901 18900930    38.1
18901001 18901031   114.0
18901101 18901130    74.2
18901201 18901231    25.1
18910101 18910131    42.8
18910201 18910228    21.0
18910301 18910331    22.9
18910401 18910430    15.2
18910501 18910531    78.0
18910601 18910630   115.2
18910701 18910731   122.4
18910801 18910831    39.1
18910901 18910930    17.5
18911001 18911031   137.9
18911101 18911130    38.9
18911201 18911231   113.5
18920101 18920131    44.5
18920201 18920229    10.7
18920301 18920331    44.5
18920401 18920430   209.0
18920501 18920531    37.6
18920601 18920630    98.3
18920701 18920731    57.4
18920801 18920831    38.6
18920901 18920930    39.1
18921001 18921031    53.6
18921101 18921130    23.4
18921201 18921231    17.3
18930101 18930131   126.3
18930201 18930228     0.0
18930301 18930331    41.6
18930401 18930430   111.8
18930501 18930531    64.8
18930601 18930630    55.6
18930701 18930731   288.4
18930801 18930831    17.0
18930901 18930930    73.4
18931001 18931031    33.4
18931101 18931130    22.8
18931201 18931231    24.4
18940101 18940131    69.1
18940201 18940228     4.1
18940301 18940331    43.9
18940401 18940430    79.2
18940501 18940531    56.9
18940601 18940630    67.3
18940701 18940731    64.0
18940801 18940831    85.9
18940901 18940930   134.9
18941001 18941031    35.8
18941101 18941130    13.5
18941201 18941231    34.0
18950101 18950131    11.9
18950201 18950228    13.5
18950301 18950331    37.6
18950401 18950430    46.7
18950501 18950531    47.2
18950601 18950630    46.2
18950701 18950731    63.2
18950801 18950831    78.5
18950901 18950930    66.3
18951001 18951031    37.6
18951101 18951130     4.6
18951201 18951231    68.3
18960101 18960131    26.6
18960201 18960229    50.0
18960301 18960331    11.0
18960401 18960430    30.1
18960501 18960531    41.7
18960601 18960630    76.9
18960701 18960731    48.5
18960801 18960831   128.2
18960901 18960930    12.8
18961001 18961031    73.9
18961101 18961130    38.4
18961201 18961231    18.5
18970101 18970131    34.9
18970201 18970228    65.5
18970301 18970331    10.4
18970401 18970430    14.3
18970501 18970531    42.9
18970601 18970630    68.2
18970701 18970731    16.0
18970801 18970831    59.9
18970901 18970930    52.1
18971001 18971031    46.9
18971101 18971130    28.8
18971201 18971231    16.2
18980101 18980131     4.8
18980201 18980228     7.9
18980301 18980331     6.8
18980401 18980430    23.3
18980501 18980531    98.5
18980601 18980630    45.3
18980701 18980731   122.2
18980801 18980831    99.8
18980901 18980930    28.3
18981001 18981031    36.6
18981101 18981130    57.7
18981201 18981231    19.8
18990101 18990131    55.6
18990201 18990228     9.7
18990301 18990331    91.3
18990401 18990430    36.2
18990501 18990531    40.3
18990601 18990630    77.8
18990701 18990731    15.7
18990801 18990831    66.0
18990901 18990930    25.8
18991001 18991031    25.8
18991101 18991130    21.5
18991201 18991231    17.7
19000101 19000131    39.8
19000201 19000228     1.3
19000301 19000331    33.0
19000401 19000430    54.2
19000501 19000531    11.7
19000601 19000630    51.3
19000701 19000731    37.7
19000801 19000831    83.0
19000901 19000930     9.5
19001001 19001031    25.6
19001101 19001130     5.6
19001201 19001231    56.5
19010101 19010131    45.2
19010201 19010228     0.5
19010301 19010331    44.5
19010401 19010430   110.0
19010501 19010531     4.8
19010601 19010630    73.2
19010701 19010731    32.0
19010801 19010831    50.3
19010901 19010930    78.0
19011001 19011031    55.6
19011101 19011130    20.3
19011201 19011231     7.4
19020101 19020131    95.3
19020201 19020228    37.3
19020301 19020331    13.0
19020401 19020430    26.2
19020501 19020531    13.0
19020601 19020630    52.6
19020701 19020731    12.2
19020801 19020831    44.7
19020901 19020930    68.1
19021001 19021031    10.2
19021101 19021130    22.1
19021201 19021231    69.6
19030101 19030131    17.0
19030201 19030228    19.1
19030301 19030331    50.0
19030401 19030430    51.6
19030501 19030531    62.5
19030601 19030630   131.1
19030701 19030731   119.1
19030801 19030831    30.0
19030901 19030930   107.7
19031001 19031031    70.4
19031101 19031130    56.1
19031201 19031231    30.5
19040101 19040131    64.2
19040201 19040229   158.0
19040301 19040331    43.8
19040401 19040430    30.9
19040501 19040531    38.6
19040601 19040630    44.7
19040701 19040731    19.5
19040801 19040831    19.0
19040901 19040930    19.8
19041001 19041031    38.6
19041101 19041130    27.7
19041201 19041231     9.4
19050101 19050131    72.4
19050201 19050228    65.5
19050301 19050331     7.4
19050401 19050430    31.5
19050501 19050531   232.9
19050601 19050630    29.5
19050701 19050731    55.4
19050801 19050831    14.5
19050901 19050930    35.1
19051001 19051031   114.6
19051101 19051130    25.1
19051201 19051231    85.9
19060101 19060131     6.6
19060201 19060228    17.8
19060301 19060331    33.8
19060401 19060430     8.1
19060501 19060531    38.1
19060601 19060630    35.1
19060701 19060731    60.2
19060801 19060831    18.3
19060901 19060930    30.5
19061001 19061031    82.3
19061101 19061130    64.3
19061201 19061231    32.0
19070101 19070131    89.3
19070201 19070228    58.9
19070301 19070331    32.5
19070401 19070430     9.4
19070501 19070531    16.3
19070601 19070630    78.0
19070701 19070731     9.1
19070801 19070831    44.8
19070901 19070930    32.5
19071001 19071031    67.7
19071101 19071130    13.3
19071201 19071231    77.7
19080101 19080131     9.7
19080201 19080229    27.3
19080301 19080331    65.8
19080401 19080430     2.5
19080501 19080531    31.4
19080601 19080630    30.6
19080701 19080731    19.2
19080801 19080831    23.1
19080901 19080930    41.9
19081001 19081031    25.0
19081101 19081130    24.5
19081201 19081231     0.5
19090101 19090131    73.6
19090201 19090228    21.9
19090301 19090331    38.5
19090401 19090430    85.4
19090501 19090531    38.3
19090601 19090630    97.7
19090701 19090731    16.8
19090801 19090831    74.1
19090901 19090930    24.8
19091001 19091031    18.1
19091101 19091130    25.2
19091201 19091231    17.0
19100101 19100131    44.3
19100201 19100228     0.0
19100301 19100331    56.7
19100401 19100430    39.6
19100501 19100531    15.8
19100601 19100630   164.1
19100701 19100731    41.2
19100801 19100831    37.0
19100901 19100930    90.1
19101001 19101031    47.5
19101101 19101130    31.7
19101201 19101231    50.2
19110101 19110131    14.0
19110201 19110228    49.2
19110301 19110331   240.8
19110401 19110430    22.9
19110501 19110531    81.2
19110601 19110630    38.0
19110701 19110731    35.6
19110801 19110831    13.0
19110901 19110930    55.1
19111001 19111031    34.2
19111101 19111130    14.7
19111201 19111231    45.4
19120101 19120131    25.4
19120201 19120229    15.3
19120301 19120331    48.6
19120401 19120430    42.1
19120501 19120531    19.1
19120601 19120630   124.5
19120701 19120731    88.7
19120801 19120831    25.4
19120901 19120930    75.2
19121001 19121031    58.7
19121101 19121130    52.3
19121201 19121231    48.0
19130101 19130131    19.6
19130201 19130228    16.5
19130301 19130331    30.0
19130401 19130430    78.7
19130501 19130531    15.6
19130601 19130630    46.9
19130701 19130731     5.0
