PRCP       092037 19040101 20041031 missing_value=99999.9 SWAN ISLAND LIGHTHOUSE                    
19040101 19040131    82.6
19040201 19040229    45.5
19040301 19040331    15.5
19040401 19040430    49.5
19040501 19040531    59.7
19040601 19040630    34.3
19040701 19040731    49.8
19040801 19040831    27.7
19040901 19040930    28.4
19041001 19041031    29.7
19041101 19041130    35.1
19041201 19041231    31.8
19050101 19050131    40.4
19050201 19050228     9.9
19050301 19050331    17.3
19050401 19050430    27.7
19050501 19050531   210.6
19050601 19050630   104.4
19050701 19050731    88.6
19050801 19050831    11.7
19050901 19050930    34.0
19051001 19051031    66.5
19051101 19051130    32.8
19051201 19051231    20.1
19060101 19060131     1.0
19060201 19060228     4.6
19060301 19060331    83.8
19060401 19060430    54.1
19060501 19060531    61.5
19060601 19060630    74.9
19060701 19060731   137.4
19060801 19060831    43.7
19060901 19060930    18.8
19061001 19061031   108.7
19061101 19061130    39.6
19061201 19061231    43.4
19070101 19070131    28.9
19070201 19070228    63.2
19070301 19070331    44.0
19070401 19070430    87.5
19070501 19070531    14.0
19070601 19070630    32.8
19070701 19070731    38.1
19070801 19070831    53.8
19070901 19070930    33.7
19071001 19071031    70.2
19071101 19071130     9.1
19071201 19071231    77.0
19080101 19080131    11.9
19080201 19080229    17.3
19080301 19080331    47.5
19080401 19080430    16.8
19080501 19080531    53.6
19080601 19080630    36.3
19080701 19080731    32.1
19080801 19080831    14.3
19080901 19080930    43.8
19081001 19081031    23.3
19081101 19081130     9.9
19081201 19081231    21.0
19090101 19090131    45.9
19090201 19090228    28.7
19090301 19090331    50.2
19090401 19090430    27.2
19090501 19090531    59.3
19090601 19090630    79.4
19090701 19090731    55.9
19090801 19090831    73.1
19090901 19090930    53.3
19091001 19091031    28.7
19091101 19091130    20.3
19091201 19091231    21.3
19100101 19100131    20.7
19100201 19100228     7.4
19100301 19100331    17.7
19100401 19100430    37.7
19100501 19100531    41.8
19100601 19100630    83.1
19100701 19100731    75.4
19100801 19100831    81.5
19100901 19100930    78.8
19101001 19101031    69.2
