PRCP       094061 18880101 20180131 missing_value=99999.9 SANDFORD (MAYDENA)                        
18880101 18880131    22.6
18880201 18880229     1.8
18880301 18880331    20.1
18880401 18880430    18.5
18880501 18880531    33.8
18880601 18880630    33.5
18880701 18880731    25.7
18880801 18880831    57.4
18880901 18880930    52.1
18881001 18881031    34.3
18881101 18881130    17.5
18881201 18881231    33.0
18890101 18890131    56.6
18890201 18890228    22.6
18890301 18890331     5.1
18890401 18890430   127.0
18890501 18890531    24.9
18890601 18890630   232.2
18890701 18890731    38.6
18890801 18890831    16.8
18890901 18890930    21.6
18891001 18891031    82.3
18891101 18891130    79.0
18891201 18891231    50.3
18900101 18900131    32.5
18900201 18900228    69.3
18900301 18900331    81.8
18900401 18900430    20.6
18900501 18900531    21.1
18900601 18900630   126.2
18900701 18900731    57.2
18900801 18900831   101.3
18900901 18900930    34.3
18901001 18901031    74.7
18901101 18901130    56.9
18901201 18901231    45.0
18910101 18910131    54.1
18910201 18910228    47.5
18910301 18910331    21.8
18910401 18910430    39.6
18910501 18910531    56.9
18910601 18910630    40.6
18910701 18910731    53.8
18910801 18910831    36.3
18910901 18910930     7.6
18911001 18911031   103.6
18911101 18911130    73.2
18911201 18911231   137.2
18920101 18920131    45.5
18920201 18920229     7.4
18920301 18920331    27.2
18920401 18920430    49.5
18920501 18920531    45.0
18920601 18920630    51.1
18920701 18920731    65.5
18920801 18920831    13.5
18920901 18920930    32.5
18921001 18921031    36.6
18921101 18921130    28.2
18921201 18921231    37.6
18930101 18930131   139.4
18930201 18930228     0.0
18930301 18930331    13.0
18930401 18930430   125.5
18930501 18930531    95.3
18930601 18930630   160.5
18930701 18930731   120.7
18930801 18930831    31.0
18930901 18930930    34.0
18931001 18931031    30.5
18931101 18931130    20.3
18931201 18931231    76.5
18940101 18940131    46.4
18940201 18940228    11.9
18940301 18940331    39.7
18940401 18940430    44.9
18940501 18940531    39.8
18940601 18940630    24.4
18940701 18940731    76.3
18940801 18940831    96.4
18940901 18940930    24.0
18941001 18941031    30.2
18941101 18941130    36.0
18941201 18941231    60.2
18950101 18950131     7.9
18950201 18950228    23.9
18950301 18950331    84.1
18950401 18950430    57.7
18950501 18950531    23.1
18950601 18950630    28.2
18950701 18950731    42.7
18950801 18950831    43.9
18950901 18950930    56.4
18951001 18951031    38.3
18951101 18951130    11.4
18951201 18951231    62.8
18960101 18960131    25.4
18960201 18960229    56.7
18960301 18960331    26.1
18960401 18960430    21.9
18960501 18960531    30.7
18960601 18960630    78.5
18960701 18960731    45.2
18960801 18960831    92.2
18960901 18960930    24.8
18961001 18961031    46.7
18961101 18961130    28.7
18961201 18961231     6.9
18970101 18970131    78.1
18970201 18970228    94.2
18970301 18970331    32.1
18970401 18970430    26.2
18970501 18970531    85.0
18970601 18970630    23.5
18970701 18970731    22.6
18970801 18970831    42.6
18970901 18970930    26.2
18971001 18971031    39.5
18971101 18971130    51.4
18971201 18971231     2.8
18980101 18980131    12.1
18980201 18980228     0.8
18980301 18980331    36.6
18980401 18980430    52.3
18980501 18980531    83.4
18980601 18980630    40.4
18980701 18980731    59.7
18980801 18980831    29.8
18980901 18980930    38.8
18981001 18981031    84.6
18981101 18981130    56.9
18981201 18981231    34.7
18990101 18990131    71.0
18990201 18990228     4.1
18990301 18990331    63.3
18990401 18990430    50.8
18990501 18990531    27.0
18990601 18990630    82.4
18990701 18990731    28.3
18990801 18990831    21.9
18990901 18990930    60.5
18991001 18991031    28.5
18991101 18991130    73.9
18991201 18991231    28.4
19000101 19000131    56.7
19000201 19000228    10.2
19000301 19000331    16.0
19000401 19000430   100.0
19000501 19000531    23.6
19000601 19000630    40.1
19000701 19000731    49.9
19000801 19000831    38.5
19000901 19000930    40.1
19001001 19001031    50.5
19001101 19001130    14.9
19001201 19001231    53.8
19010101 19010131   110.3
19010201 19010228     9.9
19010301 19010331   124.0
19010401 19010430   139.5
19010501 19010531    25.1
19010601 19010630    78.0
19010701 19010731    41.0
19010801 19010831    52.4
19010901 19010930    55.9
19011001 19011031    85.2
19011101 19011130    11.2
19011201 19011231     8.2
19020101 19020131    70.1
19020201 19020228   150.3
19020301 19020331    42.3
19020401 19020430    41.6
19020501 19020531    20.6
19020601 19020630    47.8
19020701 19020731    14.1
19020801 19020831    23.7
19020901 19020930    87.3
19021001 19021031    14.7
19021101 19021130    26.6
19021201 19021231    79.3
19030101 19030131    24.6
19030201 19030228   103.8
19030301 19030331    51.2
19030401 19030430    70.5
19030501 19030531    80.5
19030601 19030630    73.8
19030701 19030731    66.0
19030801 19030831    19.0
19030901 19030930    28.2
19031001 19031031    52.5
19031101 19031130    58.6
19031201 19031231    42.4
19040101 19040131    54.1
19040201 19040229   106.8
19040301 19040331   105.8
19040401 19040430     9.4
19040501 19040531    61.0
19040601 19040630    85.9
19040701 19040731    28.4
19040801 19040831    35.1
19040901 19040930    72.0
19041001 19041031    14.7
19041101 19041130    54.8
19041201 19041231     4.6
19050101 19050131   119.0
19050201 19050228    93.4
19050301 19050331    18.3
19050401 19050430    71.0
19050501 19050531   111.8
19050601 19050630    48.5
19050701 19050731    71.7
19050801 19050831    14.8
19050901 19050930    85.1
19051001 19051031    85.6
19051101 19051130    31.9
19051201 19051231    52.8
19060101 19060131    10.5
19060201 19060228    10.9
19060301 19060331    43.3
19060401 19060430    45.0
19060501 19060531    23.3
19060601 19060630    46.3
19060701 19060731    45.3
19060801 19060831    36.2
19060901 19060930    19.6
19061001 19061031   114.1
19061101 19061130    39.1
19061201 19061231    23.2
19070101 19070131    55.4
19070201 19070228    57.3
19070301 19070331    30.9
19070401 19070430    36.7
19070501 19070531    51.3
19070601 19070630    22.4
19070701 19070731    56.8
19070801 19070831    27.6
19070901 19070930    59.5
19071001 19071031    71.4
19071101 19071130    37.6
19071201 19071231   156.5
19080101 19080131    29.7
19080201 19080229     9.9
19080301 19080331    38.1
19080401 19080430    15.1
19080501 19080531     8.4
19080601 19080630    61.4
19080701 19080731    23.3
19080801 19080831    29.5
19080901 19080930    41.0
19081001 19081031   104.1
19081101 19081130    29.4
19081201 19081231     4.7
19090101 19090131    73.1
19090201 19090228    39.3
19090301 19090331    34.5
19090401 19090430   189.8
19090501 19090531    45.2
19090601 19090630   127.5
19090701 19090731    35.9
19090801 19090831    47.6
19090901 19090930    37.6
19091001 19091031    16.9
19091101 19091130    40.6
19091201 19091231    43.5
19100101 19100131    61.7
19100201 19100228     8.8
19100301 19100331    22.8
19100401 19100430    59.7
19100501 19100531    29.9
19100601 19100630    69.8
19100701 19100731    41.9
19100801 19100831    14.2
19100901 19100930    75.7
19101001 19101031    50.1
19101101 19101130    24.5
19101201 19101231    59.1
19110101 19110131     9.2
19110201 19110228    59.0
19110301 19110331    96.2
19110401 19110430    46.9
19110501 19110531   115.3
19110601 19110630    39.4
19110701 19110731    28.0
19110801 19110831    20.6
19110901 19110930    23.9
19111001 19111031    52.9
19111101 19111130    28.6
19111201 19111231    72.6
19120101 19120131    17.5
19120201 19120229     2.8
19120301 19120331    76.3
19120401 19120430    42.4
19120501 19120531    17.6
19120601 19120630    80.3
19120701 19120731    40.9
19120801 19120831    19.1
19120901 19120930   101.9
19121001 19121031    62.6
19121101 19121130    38.2
19121201 19121231    72.0
19130101 19130131    32.4
19130201 19130228     1.9
19130301 19130331    52.0
19130401 19130430    57.9
19130501 19130531    10.5
19130601 19130630    52.1
19130701 19130731    28.4
19130801 19130831    53.5
19130901 19130930    32.2
19131001 19131031    51.6
19131101 19131130    94.9
19131201 19131231    25.7
19140101 19140131     4.6
19140201 19140228     7.1
19140301 19140331    43.2
19140401 19140430    68.7
19140501 19140531    22.0
19140601 19140630     5.8
19140701 19140731    41.2
19140801 19140831    16.8
19140901 19140930    21.7
19141001 19141031     7.4
19141101 19141130    46.9
19141201 19141231    40.8
19150101 19150131     3.8
19150201 19150228    48.3
19150301 19150331    36.7
19150401 19150430    61.1
19150501 19150531    62.3
19150601 19150630    33.0
19150701 19150731    19.6
19150801 19150831    43.8
19150901 19150930    18.9
19151001 19151031    67.3
19151101 19151130    38.6
19151201 19151231     2.4
19160101 19160131   104.4
19160201 19160229    54.6
19160301 19160331    10.0
19160401 19160430   124.5
19160501 19160531    15.7
19160601 19160630    44.6
19160701 19160731    63.6
19160801 19160831    72.6
19160901 19160930    29.7
19161001 19161031    64.5
19161101 19161130   147.8
19161201 19161231   149.8
19170101 19170131    27.2
19170201 19170228    40.2
19170301 19170331    70.1
19170401 19170430    91.8
