PRCP       094063 18901101 20110630 missing_value=99999.9 SORELL (WHITLEA)                          
18901101 18901130    57.7
18901201 18901231    54.1
18910101 18910131    53.9
18910201 18910228    35.1
18910301 18910331    25.8
18910401 18910430    34.5
18910501 18910531    76.2
18910601 18910630    68.3
18910701 18910731    66.2
18910801 18910831    35.3
18910901 18910930     6.9
18911001 18911031    82.4
18911101 18911130    62.2
18911201 18911231   141.9
18920101 18920131    58.2
18920201 18920229     4.1
18920301 18920331    29.5
18920401 18920430    75.4
18920501 18920531    44.2
18920601 18920630    40.1
18920701 18920731    54.4
18920801 18920831    15.5
18920901 18920930    26.2
18921001 18921031    39.6
18921101 18921130    24.6
18921201 18921231    26.7
18930101 18930131   111.5
18930201 18930228     2.6
18930301 18930331    18.3
18930401 18930430    92.7
18930501 18930531   104.3
18930601 18930630    83.0
18930701 18930731   121.1
18930801 18930831    32.8
18930901 18930930    27.9
18931001 18931031    43.2
18931101 18931130    41.8
18931201 18931231    55.9
18940101 18940131    50.0
18940201 18940228    18.0
18940301 18940331    53.1
18940401 18940430    45.2
18940501 18940531    62.2
18940601 18940630    32.0
18940701 18940731    61.5
18940801 18940831   105.4
18940901 18940930    31.2
18941001 18941031    29.2
18941101 18941130    19.3
18941201 18941231    61.7
18950101 18950131     8.9
18950201 18950228    21.6
18950301 18950331    89.4
18950401 18950430    52.8
18950501 18950531    17.5
18950601 18950630    23.1
18950701 18950731    33.5
18950801 18950831    76.2
18950901 18950930    37.1
18951001 18951031    46.5
18951101 18951130    13.0
18951201 18951231    72.6
18960101 18960131    23.1
18960201 18960229    36.0
18960301 18960331    30.0
18960401 18960430    22.3
18960501 18960531    24.2
18960601 18960630   105.8
18960701 18960731    42.0
18960801 18960831    79.6
18960901 18960930    23.5
18961001 18961031    42.4
18961101 18961130    24.2
18961201 18961231    13.0
18970101 18970131    77.9
18970201 18970228    61.4
18970301 18970331    30.5
18970401 18970430    20.7
18970501 18970531    89.6
18970601 18970630    23.7
18970701 18970731    14.7
18970801 18970831    61.0
18970901 18970930    54.8
18971001 18971031    45.3
18971101 18971130    53.4
18971201 18971231     1.8
18980101 18980131    11.9
18980201 18980228     1.0
18980301 18980331    59.8
18980401 18980430    47.6
18980501 18980531    66.3
18980601 18980630    30.8
18980701 18980731    78.6
18980801 18980831    43.7
18980901 18980930    35.9
18981001 18981031    62.9
18981101 18981130    53.6
18981201 18981231    65.3
18990101 18990131    72.3
18990201 18990228     2.8
18990301 18990331    58.6
18990401 18990430    62.9
18990501 18990531    28.7
18990601 18990630    59.0
18990701 18990731    25.7
18990801 18990831    21.2
18990901 18990930    70.8
18991001 18991031    30.1
18991101 18991130    73.6
