PRCP       095016 19100701 20180131 missing_value=99999.9 OSTERLEY                                  
19100701 19100731    24.4
19100801 19100831    76.4
19100901 19100930   159.2
19101001 19101031    68.2
19101101 19101130    51.7
19101201 19101231    93.7
19110101 19110131    20.8
19110201 19110228    27.2
19110301 19110331   161.1
19110401 19110430    90.0
19110501 19110531    55.8
19110601 19110630    25.7
19110701 19110731    38.0
19110801 19110831    27.8
19110901 19110930    41.2
19111001 19111031    72.1
19111101 19111130    51.5
19111201 19111231   115.6
19120101 19120131    44.4
19120201 19120229     6.4
19120301 19120331    50.9
19120401 19120430    76.2
19120501 19120531    53.7
19120601 19120630    99.8
19120701 19120731    50.8
19120801 19120831    79.2
19120901 19120930   115.7
19121001 19121031    98.0
19121101 19121130    67.2
19121201 19121231    58.0
19130101 19130131    61.7
19130201 19130228    21.6
19130301 19130331    41.7
19130401 19130430    31.0
19130501 19130531     6.9
19130601 19130630    42.7
19130701 19130731    41.9
19130801 19130831    65.1
19130901 19130930    86.4
19131001 19131031    53.5
19131101 19131130    74.0
19131201 19131231    39.9
19140101 19140131    19.1
19140201 19140228    13.5
19140301 19140331    26.2
19140401 19140430    99.8
19140501 19140531    29.8
19140601 19140630    23.1
19140701 19140731    30.5
19140801 19140831    41.8
19140901 19140930    45.5
19141001 19141031    20.1
19141101 19141130    44.5
19141201 19141231    60.8
19150101 19150131    20.1
19150201 19150228    22.4
19150301 19150331    72.2
19150401 19150430    73.9
19150501 19150531    66.0
19150601 19150630    69.1
19150701 19150731    41.9
19150801 19150831    43.4
19150901 19150930    62.5
19151001 19151031   138.3
19151101 19151130   143.1
19151201 19151231     2.3
19160101 19160131    98.7
19160201 19160229    48.8
19160301 19160331    21.0
19160401 19160430   105.7
19160501 19160531    54.2
19160601 19160630    31.4
19160701 19160731    43.0
19160801 19160831    80.0
19160901 19160930    80.0
19161001 19161031    56.5
19161101 19161130    95.2
19161201 19161231   209.5
19170101 19170131    19.6
19170201 19170228    88.9
19170301 19170331    48.5
19170401 19170430    43.3
19170501 19170531    92.8
19170601 19170630    70.1
19170701 19170731    72.5
19170801 19170831    61.7
19170901 19170930    63.3
19171001 19171031    53.3
19171101 19171130    45.2
19171201 19171231    23.9
19180101 19180131    25.1
19180201 19180228    36.2
19180301 19180331    20.5
19180401 19180430    38.4
19180501 19180531   100.8
19180601 19180630    71.7
19180701 19180731    75.1
19180801 19180831    31.1
19180901 19180930    58.0
19181001 19181031    97.0
19181101 19181130    16.8
19181201 19181231    49.2
19190101 19190131    58.1
19190201 19190228    35.1
19190301 19190331    63.3
19190401 19190430    47.5
19190501 19190531    27.7
19190601 19190630   158.5
19190701 19190731    46.3
19190801 19190831    21.3
19190901 19190930    53.6
19191001 19191031    53.2
19191101 19191130    12.4
19191201 19191231    22.6
19200101 19200131     8.6
19200201 19200229    14.0
19200301 19200331    27.1
19200401 19200430    48.7
19200501 19200531    48.7
19200601 19200630    71.7
19200701 19200731    42.6
19200801 19200831    56.5
19200901 19200930   101.9
19201001 19201031    49.3
19201101 19201130    80.9
19201201 19201231    42.4
19210101 19210131    36.2
19210201 19210228    11.7
19210301 19210331    32.1
19210401 19210430    46.8
19210501 19210531    40.4
19210601 19210630    35.8
19210701 19210731   138.2
19210801 19210831    80.7
19210901 19210930    51.3
19211001 19211031    52.1
19211101 19211130    52.2
19211201 19211231    17.4
19220101 19220131    65.1
19220201 19220228    87.1
19220301 19220331    41.7
19220401 19220430    73.8
19220501 19220531    23.7
19220601 19220630    71.2
19220701 19220731    75.4
19220801 19220831    25.6
19220901 19220930    17.7
19221001 19221031   117.5
19221101 19221130    43.9
19221201 19221231    91.9
19230101 19230131    77.9
19230201 19230228    14.1
19230301 19230331    57.8
19230401 19230430     0.0
19230501 19230531   205.7
19230601 19230630   106.0
19230701 19230731    54.2
19230801 19230831    40.6
19230901 19230930   103.8
19231001 19231031   150.7
19231101 19231130   140.6
19231201 19231231    46.6
19240101 19240131    91.2
19240201 19240229    95.1
19240301 19240331    93.2
19240401 19240430   100.7
19240501 19240531    35.1
19240601 19240630    85.2
19240701 19240731    82.0
19240801 19240831    70.8
19240901 19240930    87.4
19241001 19241031   104.1
19241101 19241130   147.9
19241201 19241231     6.4
19250101 19250131    38.7
19250201 19250228    93.9
19250301 19250331    30.3
19250401 19250430    50.7
19250501 19250531    61.0
19250601 19250630    60.7
19250701 19250731    27.9
19250801 19250831    73.7
19250901 19250930    21.3
19251001 19251031    68.7
19251101 19251130    28.3
19251201 19251231    36.2
19260101 19260131    16.0
19260201 19260228    68.6
19260301 19260331    18.6
19260401 19260430    45.4
19260501 19260531    66.9
19260601 19260630    90.2
19260701 19260731    69.4
19260801 19260831    73.8
19260901 19260930    68.0
19261001 19261031   142.6
19261101 19261130   112.0
19261201 19261231    54.0
19270101 19270131    56.4
19270201 19270228    19.2
19270301 19270331    55.6
19270401 19270430    15.3
19270501 19270531    95.6
19270601 19270630    57.7
19270701 19270731    79.7
19270801 19270831    75.5
19270901 19270930    51.4
19271001 19271031    55.6
19271101 19271130    45.8
19271201 19271231    65.1
19280101 19280131    86.2
19280201 19280229    39.9
19280301 19280331    50.2
19280401 19280430    95.9
19280501 19280531    38.1
19280601 19280630    25.3
19280701 19280731   112.9
19280801 19280831   103.4
19280901 19280930   208.9
19281001 19281031   144.1
19281101 19281130    63.3
19281201 19281231    40.6
19290101 19290131    87.2
19290201 19290228    21.3
19290301 19290331    34.1
19290401 19290430   112.0
19290501 19290531    23.3
19290601 19290630    82.9
19290701 19290731    60.0
19290801 19290831    53.1
19290901 19290930    63.3
19291001 19291031    50.7
19291101 19291130   108.6
19291201 19291231   104.2
19300101 19300131    39.2
19300201 19300228    62.8
19300301 19300331    27.7
19300401 19300430    45.5
19300501 19300531    42.2
19300601 19300630    17.4
19300701 19300731    90.5
19300801 19300831    17.9
19300901 19300930    73.6
