PRCP       097091 19070101 20180131 missing_value=99999.9 SOUTH QUEENSTOWN                          
19061001 19061031   296.7
19061101 19061130   262.1
19061201 19061231   162.8
19070101 19070131   127.0
19070201 19070228   123.0
19070301 19070331   159.8
19070401 19070430   265.1
19070501 19070531   181.2
19070601 19070630   164.0
19070701 19070731   301.8
19070801 19070831   349.5
19070901 19070930   388.2
19071001 19071031   259.6
19071101 19071130    84.4
19071201 19071231   265.4
19080101 19080131    65.9
19080201 19080229   163.2
19080301 19080331   352.2
19080401 19080430   150.0
19080501 19080531   388.1
19080601 19080630   157.0
19080701 19080731   248.1
19080801 19080831   222.1
19080901 19080930   187.7
19081001 19081031   147.7
19081101 19081130   121.2
19081201 19081231   217.9
19090101 19090131   116.1
19090201 19090228    40.9
19090301 19090331   262.1
19090401 19090430   404.2
19090501 19090531   216.5
19090601 19090630   230.9
19090701 19090731   111.6
19090801 19090831   269.7
19090901 19090930   108.7
19091001 19091031   261.0
19091101 19091130   200.7
19091201 19091231   300.1
19100101 19100131    37.9
19100201 19100228   110.6
19100301 19100331    48.5
19100401 19100430   211.4
19100501 19100531   463.4
19100601 19100630   262.0
19100701 19100731    66.2
19100801 19100831   404.6
19100901 19100930   267.7
19101001 19101031   276.1
19101101 19101130   189.0
19101201 19101231   282.0
19110101 19110131    72.9
19110201 19110228   132.5
19110301 19110331   237.7
19110401 19110430   299.2
19110501 19110531   150.0
19110601 19110630   252.9
19110701 19110731   138.9
19110801 19110831   168.9
19110901 19110930   109.9
19111001 19111031   244.0
19111101 19111130   197.2
19111201 19111231   410.7
19120101 19120131   165.7
19120201 19120229    15.2
19120301 19120331   139.6
19120401 19120430   201.1
19120501 19120531   191.1
19120601 19120630   213.8
19120701 19120731    81.7
19120801 19120831   251.5
19120901 19120930   422.7
19121001 19121031   256.8
19121101 19121130   204.0
19121201 19121231   236.2
19130101 19130131   208.7
19130201 19130228    93.6
19130301 19130331   175.5
19130401 19130430   115.0
19130501 19130531   202.2
19130601 19130630   167.3
19130701 19130731   281.4
19130801 19130831   368.1
19130901 19130930   325.2
19131001 19131031   170.3
19131101 19131130   464.3
19131201 19131231   175.7
19140101 19140131   165.3
19140201 19140228    58.3
19140301 19140331   120.1
19140401 19140430   454.1
19140501 19140531   194.6
19140601 19140630   218.7
19140701 19140731   264.1
19140801 19140831   251.0
19140901 19140930   193.1
19141001 19141031    65.5
19141101 19141130   100.8
19141201 19141231   123.0
19150101 19150131   164.4
19150201 19150228   106.8
19150301 19150331   237.3
19150401 19150430   271.2
19150501 19150531   271.9
19150601 19150630   308.2
19150701 19150731   197.0
19150801 19150831   308.9
19150901 19150930   362.6
19151001 19151031   336.0
