PRCP       098000 19091101 20180131 missing_value=99999.9 CITY OF MELBOURNE BAY                     
19091101 19091130    52.1
19091201 19091231    53.8
19100101 19100131    26.7
19100201 19100228    15.3
19100301 19100331    97.5
19100401 19100430    71.7
19100501 19100531   210.1
19100601 19100630   154.0
19100701 19100731   178.9
19100801 19100831   208.8
19100901 19100930   162.5
19101001 19101031    82.9
19101101 19101130    57.1
19101201 19101231   181.6
19110101 19110131     6.9
19110201 19110228   128.2
19110301 19110331    82.1
19110401 19110430    62.3
19110501 19110531   111.0
19110601 19110630   162.6
19110701 19110731   148.5
19110801 19110831    59.3
19110901 19110930    59.6
19111001 19111031    48.3
19111101 19111130    11.4
19111201 19111231   100.8
19120101 19120131    17.7
19120201 19120229     6.2
19120301 19120331    36.0
19120401 19120430    63.4
19120501 19120531    88.1
19120601 19120630    58.0
19120701 19120731   184.3
19120801 19120831    73.2
19120901 19120930   158.0
19121001 19121031    72.6
19121101 19121130    91.0
19121201 19121231    73.1
19130101 19130131    43.2
19130201 19130228    21.0
19130301 19130331    89.3
19130401 19130430    20.8
19130501 19130531    69.6
19130601 19130630    83.5
19130701 19130731   107.5
19130801 19130831   177.6
19130901 19130930   149.1
19131001 19131031    74.3
19131101 19131130    90.8
19131201 19131231    66.8
19140101 19140131    50.7
19140201 19140228     8.6
19140301 19140331    41.1
19140401 19140430   160.2
19140501 19140531    63.9
19140601 19140630    77.2
19140701 19140731    78.0
19140801 19140831    29.9
19140901 19140930    37.6
19141001 19141031    17.8
19141101 19141130    58.1
19141201 19141231   116.6
19150101 19150131    18.6
19150201 19150228     9.2
19150301 19150331    38.3
19150401 19150430    59.0
19150501 19150531   112.6
19150601 19150630   138.4
19150701 19150731   108.0
19150801 19150831   157.1
19150901 19150930   203.7
19151001 19151031   100.6
19151101 19151130    63.6
19151201 19151231     8.5
19160101 19160131    73.1
19160201 19160229    20.4
19160301 19160331     9.6
19160401 19160430    90.5
19160501 19160531    46.3
19160601 19160630   111.0
19160701 19160731    83.0
19160801 19160831   170.1
19160901 19160930    75.3
19161001 19161031   117.7
19161101 19161130    63.1
19161201 19161231    63.4
19170101 19170131    25.4
19170201 19170228    45.8
19170301 19170331    50.1
19170401 19170430    79.8
19170501 19170531   143.6
19170601 19170630    94.9
19170701 19170731   238.8
19170801 19170831    86.7
19170901 19170930   124.8
19171001 19171031   155.9
19171101 19171130    84.8
19171201 19171231    15.3
19180101 19180131    40.7
19180201 19180228    51.7
19180301 19180331    25.4
19180401 19180430    33.2
19180501 19180531   131.4
19180601 19180630   143.9
19180701 19180731   162.9
19180801 19180831    96.1
19180901 19180930    64.8
19181001 19181031   110.2
19181101 19181130    23.7
19181201 19181231    71.7
19190101 19190131    27.0
19190201 19190228    69.8
19190301 19190331    61.5
19190401 19190430    26.6
19190501 19190531   113.6
19190601 19190630   150.5
19190701 19190731   143.2
19190801 19190831    74.2
19190901 19190930    77.2
19191001 19191031    61.3
19191101 19191130    13.4
19191201 19191231    67.9
19200101 19200131    15.9
19200201 19200229    30.9
19200301 19200331    37.9
19200401 19200430    47.7
19200501 19200531    82.2
19200601 19200630   113.1
19200701 19200731   116.6
19200801 19200831   172.0
19200901 19200930    71.8
19201001 19201031    40.2
19201101 19201130    37.0
19201201 19201231    34.1
19210101 19210131    16.8
19210201 19210228    16.0
19210301 19210331    21.5
19210401 19210430    55.1
19210501 19210531    73.5
19210601 19210630   163.0
19210701 19210731   107.8
19210801 19210831   121.4
19210901 19210930   100.8
19211001 19211031    50.1
19211101 19211130    61.7
19211201 19211231    53.8
19220101 19220131    37.7
19220201 19220228    68.1
19220301 19220331    39.6
19220401 19220430    57.6
19220501 19220531   134.7
19220601 19220630   126.7
19220701 19220731   114.8
19220801 19220831   102.6
19220901 19220930    49.7
19221001 19221031    94.2
19221101 19221130    34.8
19221201 19221231    76.0
19230101 19230131    59.9
19230201 19230228    14.0
19230301 19230331    25.7
19230401 19230430    22.8
19230501 19230531   199.2
19230601 19230630   171.4
19230701 19230731   166.8
19230801 19230831   125.4
19230901 19230930   136.3
19231001 19231031   153.5
19231101 19231130   117.7
19231201 19231231    76.2
19240101 19240131    69.9
19240201 19240229   161.2
19240301 19240331    73.6
19240401 19240430    45.8
19240501 19240531    84.1
19240601 19240630   114.2
19240701 19240731    92.8
19240801 19240831    85.0
19240901 19240930   107.0
19241001 19241031    66.7
19241101 19241130   101.3
19241201 19241231    40.8
19250101 19250131    23.9
19250201 19250228    43.5
19250301 19250331    14.1
19250401 19250430    65.9
19250501 19250531    56.1
19250601 19250630    89.3
19250701 19250731    72.2
19250801 19250831    85.6
19250901 19250930    95.3
19251001 19251031    77.7
19251101 19251130    34.4
19251201 19251231    23.4
19260101 19260131    13.8
19260201 19260228    50.4
19260301 19260331    34.4
19260401 19260430    82.5
19260501 19260531   135.6
19260601 19260630    95.5
19260701 19260731   160.0
19260801 19260831   118.4
19260901 19260930    91.5
19261001 19261031    81.6
19261101 19261130    50.5
19261201 19261231    51.3
19270101 19270131    17.6
19270201 19270228    47.9
19270301 19270331    28.8
19270401 19270430    19.6
19270501 19270531    66.7
19270601 19270630    52.3
19270701 19270731   152.1
19270801 19270831   158.5
19270901 19270930    46.0
19271001 19271031    41.6
19271101 19271130    19.8
19271201 19271231    66.4
19280101 19280131    59.0
19280201 19280229    75.9
19280301 19280331    35.4
19280401 19280430    94.6
19280501 19280531    86.4
19280601 19280630   129.7
19280701 19280731    97.5
19280801 19280831    90.5
19280901 19280930   194.6
19281001 19281031   119.5
19281101 19281130    93.7
19281201 19281231    29.9
19290101 19290131   101.0
19290201 19290228    59.1
19290301 19290331    43.5
19290401 19290430   169.9
19290501 19290531    93.2
19290601 19290630   178.4
19290701 19290731   139.1
19290801 19290831   123.6
19290901 19290930    74.6
19291001 19291031    72.6
19291101 19291130    50.4
19291201 19291231    79.1
19300101 19300131    16.0
19300201 19300228    29.7
19300301 19300331    12.2
19300401 19300430    42.2
19300501 19300531    76.4
19300601 19300630    33.7
19300701 19300731    87.6
19300801 19300831   182.4
19300901 19300930   114.5
19301001 19301031    81.1
19301101 19301130    99.9
19301201 19301231    79.2
19310101 19310131    28.4
19310201 19310228    24.5
19310301 19310331    71.5
19310401 19310430    80.0
19310501 19310531   181.2
19310601 19310630   150.6
19310701 19310731   158.9
19310801 19310831   104.6
19310901 19310930    97.0
19311001 19311031    52.3
19311101 19311130    96.9
19311201 19311231     6.9
19320101 19320131    20.4
19320201 19320229    50.7
19320301 19320331   112.1
19320401 19320430   114.1
19320501 19320531    10.0
19320601 19320630   104.6
19320701 19320731   100.0
19320801 19320831   113.6
19320901 19320930    53.7
19321001 19321031    65.5
19321101 19321130    34.4
19321201 19321231    55.7
19330101 19330131    24.1
19330201 19330228    17.0
19330301 19330331    52.5
19330401 19330430    54.6
19330501 19330531   108.4
19330601 19330630    93.2
19330701 19330731    56.0
19330801 19330831   101.8
19330901 19330930   102.7
19331001 19331031    83.4
19331101 19331130    48.2
19331201 19331231   104.6
19340101 19340131   105.7
19340201 19340228    22.2
19340301 19340331    28.6
19340401 19340430   112.2
19340501 19340531    22.7
19340601 19340630    59.6
19340701 19340731   129.7
19340801 19340831   132.9
19340901 19340930   137.7
19341001 19341031    69.4
19341101 19341130    71.6
19341201 19341231    88.0
19350101 19350131    67.8
19350201 19350228    33.9
19350301 19350331    80.9
19350401 19350430   100.3
19350501 19350531   103.4
19350601 19350630   123.8
19350701 19350731   115.9
19350801 19350831   105.0
19350901 19350930    82.4
19351001 19351031    61.1
19351101 19351130    56.1
19351201 19351231    26.3
19360101 19360131    10.6
19360201 19360229     3.8
19360301 19360331    66.6
19360401 19360430    85.4
19360501 19360531    92.7
19360601 19360630    85.2
19360701 19360731   181.5
19360801 19360831   261.8
19360901 19360930    86.4
19361001 19361031   108.4
19361101 19361130    34.9
19361201 19361231    47.2
19370101 19370131   123.7
19370201 19370228    48.9
19370301 19370331    93.4
19370401 19370430    47.1
19370501 19370531   176.0
19370601 19370630    43.5
19370701 19370731   137.8
19370801 19370831    94.5
19370901 19370930    95.3
19371001 19371031    79.1
19371101 19371130    53.3
19371201 19371231   149.9
19380101 19380131    42.9
19380201 19380228    72.8
19380301 19380331    38.6
19380401 19380430   104.8
19380501 19380531    59.6
19380601 19380630   159.4
19380701 19380731    93.6
19380801 19380831    83.4
19380901 19380930    73.0
19381001 19381031    69.4
19381101 19381130    35.2
19381201 19381231    72.8
19390101 19390131     6.4
19390201 19390228    79.2
19390301 19390331    14.2
19390401 19390430    64.0
19390501 19390531    77.0
19390601 19390630   211.5
19390701 19390731    61.2
19390801 19390831   208.6
19390901 19390930   119.8
19391001 19391031    74.3
19391101 19391130   126.6
19391201 19391231    69.4
19400101 19400131    60.0
19400201 19400229    38.0
19400301 19400331    24.4
19400401 19400430    69.8
19400501 19400531    49.2
19400601 19400630    77.5
19400701 19400731   158.1
19400801 19400831    46.7
19400901 19400930    40.1
19401001 19401031    37.9
19401101 19401130   110.4
19401201 19401231    52.4
19410101 19410131    52.7
19410201 19410228    24.7
19410301 19410331    78.0
19410401 19410430    19.1
19410501 19410531    67.0
19410601 19410630    78.8
19410701 19410731   121.5
19410801 19410831    77.9
19410901 19410930   115.9
19411001 19411031    65.7
19411101 19411130    28.7
19411201 19411231    27.4
19420101 19420131    47.6
19420201 19420228    28.4
19420301 19420331    44.0
19420401 19420430    72.4
19420501 19420531   149.6
19420601 19420630   119.7
19420701 19420731   243.0
19420801 19420831   171.2
19420901 19420930    94.9
19421001 19421031    72.0
19421101 19421130    36.2
19421201 19421231    32.6
19430101 19430131    47.3
19430201 19430228    53.6
19430301 19430331    19.0
19430401 19430430   148.6
19430501 19430531    63.2
19430601 19430630   121.6
19430701 19430731   133.4
19430801 19430831   105.7
19430901 19430930    85.9
19431001 19431031    38.0
19431101 19431130    34.7
19431201 19431231    12.9
19440101 19440131    34.7
19440201 19440229    60.2
19440301 19440331    24.0
19440401 19440430   103.5
19440501 19440531   146.9
19440601 19440630    88.6
19440701 19440731   121.9
19440801 19440831    44.0
19440901 19440930    69.0
19441001 19441031    98.1
19441101 19441130    79.2
19441201 19441231   116.7
19450101 19450131    28.3
19450201 19450228    84.8
19450301 19450331    41.2
19450401 19450430    21.9
19450501 19450531    61.3
19450601 19450630   116.0
19450701 19450731   114.7
19450801 19450831   193.8
19450901 19450930    62.6
19451001 19451031   111.0
19451101 19451130    98.7
19451201 19451231    32.5
19460101 19460131    83.1
19460201 19460228   225.9
19460301 19460331   121.3
19460401 19460430    73.0
19460501 19460531    81.7
19460601 19460630   113.5
19460701 19460731   233.4
19460801 19460831   176.8
19460901 19460930    85.4
19461001 19461031    63.8
19461101 19461130    61.0
19461201 19461231    60.6
19470101 19470131    36.4
19470201 19470228    30.2
19470301 19470331   112.4
19470401 19470430    59.4
19470501 19470531    89.1
19470601 19470630   217.4
19470701 19470731   240.9
19470801 19470831   180.9
19470901 19470930    91.5
19471001 19471031   119.2
19471101 19471130    95.7
19471201 19471231   111.3
19480101 19480131    15.1
19480201 19480229    47.6
19480301 19480331    45.5
19480401 19480430   150.2
19480501 19480531   280.1
19480601 19480630    52.8
19480701 19480731   144.0
19480801 19480831   125.3
19480901 19480930    89.9
19481001 19481031   144.7
19481101 19481130    55.5
19481201 19481231    62.5
19490101 19490131    42.5
19490201 19490228   120.3
19490301 19490331    48.9
19490401 19490430    30.3
19490501 19490531   113.6
19490601 19490630    54.4
19490701 19490731    99.4
19490801 19490831    66.1
19490901 19490930    50.2
19491001 19491031   234.4
19491101 19491130   102.6
19491201 19491231    34.7
19500101 19500131    48.1
19500201 19500228    29.4
19500301 19500331    18.3
19500401 19500430    18.5
19500501 19500531    80.2
19500601 19500630    37.8
19500701 19500731   111.2
19500801 19500831    78.0
19500901 19500930   101.4
19501001 19501031    95.2
19501101 19501130    97.1
19501201 19501231    44.6
19510101 19510131    19.3
19510201 19510228    36.6
19510301 19510331    20.9
19510401 19510430   165.8
19510501 19510531   141.0
19510601 19510630   218.6
19510701 19510731   191.3
19510801 19510831   169.7
19510901 19510930    38.8
19511001 19511031    65.6
19511101 19511130    93.5
19511201 19511231    71.4
19520101 19520131    95.7
19520201 19520229    25.1
19520301 19520331    22.1
19520401 19520430   130.7
19520501 19520531   248.4
19520601 19520630   270.7
19520701 19520731   145.2
19520801 19520831   107.9
19520901 19520930   119.0
19521001 19521031   128.7
19521101 19521130   135.9
19521201 19521231    46.8
19530101 19530131    29.7
19530201 19530228    23.9
19530301 19530331    22.6
19530401 19530430    91.4
19530501 19530531   109.3
19530601 19530630   169.5
19530701 19530731   181.2
19530801 19530831   137.8
19530901 19530930   125.3
19531001 19531031    75.4
19531101 19531130   133.2
19531201 19531231   118.9
19540101 19540131    26.9
19540201 19540228   107.0
19540301 19540331    78.4
19540401 19540430   105.5
19540501 19540531    94.9
19540601 19540630   128.8
19540701 19540731   124.2
19540801 19540831   125.7
19540901 19540930    80.2
19541001 19541031    67.3
19541101 19541130    37.0
19541201 19541231    64.7
19550101 19550131    30.8
19550201 19550228    30.7
19550301 19550331    21.9
19550401 19550430    67.1
19550501 19550531   157.7
19550601 19550630   102.6
19550701 19550731   119.7
19550801 19550831   228.4
19550901 19550930    75.9
19551001 19551031    92.1
19551101 19551130    81.7
19551201 19551231   100.6
19560101 19560131    59.3
19560201 19560229    26.7
19560301 19560331    26.4
19560401 19560430   268.0
19560501 19560531   121.8
19560601 19560630   175.5
19560701 19560731   153.0
19560801 19560831   154.8
19560901 19560930    85.0
19561001 19561031   106.8
19561101 19561130    85.4
19561201 19561231    77.3
19570101 19570131    22.6
19570201 19570228    70.4
19570301 19570331    78.3
19570401 19570430   105.4
19570501 19570531   110.9
19570601 19570630   107.8
19570701 19570731    54.5
19570801 19570831    95.4
19570901 19570930   117.2
19571001 19571031   100.5
19571101 19571130    56.9
19571201 19571231    69.4
19580101 19580131    23.8
19580201 19580228    27.1
19580301 19580331    53.9
