PRCP       099005 18990301 20180131 missing_value=99999.9 FLINDERS ISLAND AIRPORT                   
18990301 18990331    76.0
18990401 18990430    64.8
18990501 18990531   111.0
18990601 18990630    97.3
18990701 18990731    22.4
18990801 18990831    90.0
18990901 18990930    40.0
18991001 18991031    37.5
18991101 18991130    35.1
18991201 18991231    18.9
19000101 19000131    70.8
19000201 19000228    10.1
19000301 19000331   138.8
19000401 19000430    47.0
19000501 19000531    63.3
19000601 19000630    77.3
19000701 19000731    36.6
19000801 19000831   111.6
19000901 19000930    29.6
19001001 19001031    51.2
19001101 19001130    22.2
19001201 19001231    41.8
19010101 19010131    51.0
19010201 19010228    13.1
19010301 19010331    63.6
19010401 19010430   125.2
19010501 19010531    38.8
19010601 19010630    62.1
19010701 19010731    17.4
19010801 19010831    89.3
19010901 19010930    68.6
19011001 19011031    62.1
19011101 19011130    20.9
19011201 19011231    11.3
19020101 19020131    84.8
19020201 19020228    27.0
19020301 19020331    75.4
19020401 19020430    23.5
19020501 19020531    16.2
19020601 19020630    86.2
19020701 19020731    23.8
19020801 19020831    31.3
19020901 19020930   108.0
19021001 19021031    34.5
19021101 19021130    10.1
19021201 19021231    77.8
19030101 19030131    28.9
19030201 19030228    42.7
19030301 19030331   116.6
19030401 19030430    76.9
19030501 19030531    37.6
19030601 19030630   148.7
19030701 19030731   152.4
19030801 19030831    67.4
19030901 19030930    90.5
19031001 19031031    79.6
19031101 19031130    66.0
19031201 19031231    96.8
19040101 19040131    73.1
19040201 19040229    88.3
19040301 19040331    21.4
19040401 19040430    34.9
19040501 19040531    47.2
19040601 19040630    64.0
19040701 19040731    46.8
19040801 19040831    25.6
19040901 19040930    32.6
19041001 19041031    26.2
19041101 19041130    47.5
19041201 19041231    17.2
19050101 19050131    53.8
19050201 19050228    11.3
19050301 19050331    19.2
19050401 19050430    27.0
19050501 19050531   153.6
19050601 19050630   112.3
19050701 19050731   113.2
19050801 19050831    31.3
19050901 19050930    44.9
19051001 19051031    44.4
19051101 19051130    39.7
19051201 19051231    83.6
19060101 19060131     2.1
19060201 19060228    25.3
19060301 19060331    70.2
19060401 19060430    72.6
19060501 19060531    99.6
19060601 19060630    98.2
19060701 19060731   122.2
19060801 19060831    82.2
19060901 19060930    24.0
19061001 19061031   161.7
19061101 19061130    50.8
19061201 19061231    34.3
19070101 19070131    57.1
19070201 19070228     8.4
19070301 19070331    76.4
19070401 19070430   100.1
19070501 19070531    17.1
19070601 19070630    64.8
19070701 19070731    33.9
19070801 19070831    56.9
19070901 19070930    38.8
19071001 19071031    53.1
19071101 19071130    23.5
19071201 19071231    60.6
19080101 19080131    21.6
19080201 19080229    18.3
19080301 19080331    48.8
19080401 19080430    20.2
19080501 19080531    60.9
19080601 19080630    76.4
19080701 19080731    25.3
19080801 19080831    20.3
19080901 19080930    42.3
19081001 19081031    25.7
19081101 19081130    26.4
19081201 19081231    15.6
19090101 19090131    31.9
19090201 19090228    37.6
19090301 19090331    62.8
19090401 19090430    71.0
19090501 19090531    83.4
19090601 19090630    92.3
19090701 19090731   106.8
19090801 19090831    53.2
19090901 19090930    54.6
19091001 19091031    30.9
19091101 19091130    16.9
19091201 19091231    21.4
19100101 19100131    44.7
19100201 19100228    16.0
19100301 19100331    33.4
19100401 19100430    33.9
19100501 19100531    51.4
19100601 19100630   133.1
19100701 19100731    51.2
19100801 19100831    62.0
19100901 19100930    74.7
19101001 19101031    64.3
19101101 19101130    41.4
19101201 19101231    88.8
19110101 19110131    18.6
19110201 19110228    25.6
19110301 19110331   131.4
19110401 19110430    55.8
19110501 19110531    42.7
19110601 19110630   111.9
19110701 19110731    45.9
19110801 19110831    61.2
19110901 19110930    90.1
19111001 19111031    59.9
19111101 19111130    13.0
19111201 19111231    68.2
19120101 19120131    13.6
19120201 19120229    10.8
19120301 19120331    49.1
19120401 19120430    71.7
19120501 19120531    84.4
19120601 19120630    68.1
19120701 19120731    94.5
19120801 19120831    61.2
19120901 19120930   117.9
19121001 19121031    68.2
19121101 19121130    34.8
19121201 19121231    43.8
19130101 19130131     7.0
19130201 19130228     7.9
19130301 19130331   102.8
19130401 19130430    51.4
19130501 19130531    48.2
19130601 19130630    48.3
19130701 19130731    71.8
19130801 19130831    74.2
19130901 19130930    33.1
19131001 19131031    63.7
19131101 19131130    40.4
19131201 19131231    25.7
19140101 19140131    44.3
19140201 19140228    11.3
19140301 19140331    98.5
19140401 19140430   101.1
19140501 19140531    48.5
19140601 19140630    13.7
19140701 19140731    61.3
19140801 19140831    14.3
19140901 19140930    15.4
19141001 19141031     1.2
19141101 19141130    40.8
19141201 19141231    67.4
19150101 19150131    12.6
19150201 19150228    19.8
19150301 19150331    22.8
19150401 19150430    44.6
19150501 19150531    59.3
19150601 19150630    95.9
19150701 19150731    53.8
19150801 19150831   149.1
19150901 19150930    83.4
19151001 19151031    59.1
19151101 19151130    24.6
19151201 19151231    14.2
19160101 19160131   130.4
19160201 19160229    55.5
19160301 19160331    42.6
19160401 19160430    72.2
19160501 19160531    41.2
19160601 19160630    87.0
19160701 19160731    76.8
19160801 19160831    85.7
19160901 19160930   158.9
19161001 19161031    57.7
